StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
51,GBPS DARYA KHAN DHABJEE (Combined),24.81451,67.5093,Combined,Sindh,2,2,521,366
50,GBPS Siddique Jokhio (Combined),24.82958,67.5136,Combined,Sindh,1,1,414,268
14,GBSS Jumma Himayati Goth  (Combine),24.83915,67.25906,Combined,Sindh,2,2,747,584
15,GBSS Jumma Himayati Goth  (Combined),24.83915,67.25909,Combined,Sindh,2,2,1074,892
54,GBPS KHAN MOHD BALOCH GHAGGAR (Combined),24.83924,67.43636,Combined,Sindh,2,2,436,341
16,GBPS Pirano Goth  (Combined),24.84005,67.2818,Combined,Sindh,2,1,534,271
58,GBPS ALI MOHD JOKHIO (Combined),24.84592,67.33775,Combined,Sindh,2,2,1281,813
68,GBPS Natho Khoso Ghaghar (Combined),24.84777,67.42928,Combined,Sindh,2,2,638,429
62,GBPS Soofan Gabole pipri (Combined),24.84778,67.34344,Combined,Sindh,2,2,1236,564
55,GBSS PORT QASIM COLONY (Combined),24.849,67.3017,Combined,Sindh,1,1,383,226
49,GBES Achar Salar (Combined),24.84946,67.48174,Combined,Sindh,2,2,708,646
69,GBSS GHAGHAR VILLAGE (Combined),24.84951,67.42892,Combined,Sindh,2,2,553,351
63,GBSS STEEL TOWN PEEPRI SHACHAL SARMAST SCHOOL (Combined),24.84962,67.33718,Combined,Sindh,2,2,1326,781
64,GBSS STEEL TOWN PEEPRI SHACHAL SARMAST SCHOOL (Combined),24.84962,67.33721,Combined,Sindh,2,2,907,584
60,GGLSS Natho Khoso at Pipri (Combined),24.85024,67.33817,Combined,Sindh,2,2,718,530
65,GGLSS Natho Khoso at Pipri (Combined),24.85024,67.3382,Combined,Sindh,2,2,1160,691
56,GMPS PEPRI VILLAGE ALLAH BUX HIMAYATI (Combined),24.85038,67.33714,Combined,Sindh,2,2,1331,860
57,GMPS PEPRI VILLAGE ALLAH BUX HIMAYATI (Combined),24.85038,67.33717,Combined,Sindh,2,2,1004,674
36,Al Moiz sec School (Combined),24.85127,67.26263,Combined,Sindh,2,2,972,608
37,Al Moiz sec School (Combined),24.85127,67.26266,Combined,Sindh,2,2,1491,766
70,GBPS Haji jangi at Ghaghar (Combined),24.85221,67.42799,Combined,Sindh,2,2,990,538
25,Ali Garh Sec School (Combined),24.85325,67.26027,Combined,Sindh,2,1,574,326
39,Ali Garh Sec School (Combined),24.85325,67.2603,Combined,Sindh,2,2,1056,548
18,GPMS Shafi Goth (Combined),24.85642,67.23815,Combined,Sindh,2,2,1095,761
19,Quaidabad College at Hassan Panwar Goth (Combined),24.85756,67.24768,Combined,Sindh,2,2,912,594
20,Quaidabad College at Hassan Panwar Goth (Combined),24.85756,67.24771,Combined,Sindh,2,2,930,496
61,GBPS Pipri village (Combined),24.85762,67.3404,Combined,Sindh,2,2,1489,861
59,GBPS Baboo Goth Nasirabad Pipri (Combined),24.85783,67.34039,Combined,Sindh,2,2,1824,843
52,GBPS HAMAR KHAN BALOCH GHAGGAR (Combined),24.85812,67.43224,Combined,Sindh,2,2,505,288
67,GBPS Morand Qaisrani (Combined),24.85877,67.38453,Combined,Sindh,1,1,281,222
66,GBPS EIDU GOTH PiPRI (Combined),24.85887,67.33568,Combined,Sindh,2,2,866,557
35,MDA Office (Combined),24.85907,67.27428,Combined,Sindh,2,2,1007,505
38,MDA Office (Combined),24.85907,67.27431,Combined,Sindh,2,2,793,390
23,GBMPS Ismail Jokio (Combined),24.85963,67.26723,Combined,Sindh,1,1,353,209
26,GBPS Dawood Shoro (Combined),24.86098,67.27077,Combined,Sindh,1,1,250,136
28,GBPS Dawood Shoro (Combined),24.86098,67.2708,Combined,Sindh,2,1,389,202
2,GBPS Kohi Goth Building 2 (Combined),24.86205,67.23451,Combined,Sindh,2,2,1032,755
24,Askari Private School (Combined),24.86212,67.26576,Combined,Sindh,2,2,782,502
1,GBPS Kohi Goth Building 1 (Combined),24.86215,67.23473,Combined,Sindh,2,2,933,686
22,GGPS Yousaf Goth (Combined),24.86237,67.2589,Combined,Sindh,2,2,1100,622
71,GBPS  Nishtarabad (Combined),24.8645,67.31316,Combined,Sindh,2,2,578,271
80,Shah Latif Boys Secondry School & College at Steel Town (Combined),24.86684,67.34115,Combined,Sindh,2,2,706,531
82,E-Complex College Gulshan-E-Hadeed Phase I (Combined),24.86733,67.35287,Combined,Sindh,2,2,1377,1196
83,E-Complex College Gulshan-E-Hadeed Phase I (Combined),24.86733,67.3529,Combined,Sindh,2,2,1110,987
84,E-Complex College Gulshan-E-Hadeed Phase I (Combined),24.86733,67.35293,Combined,Sindh,2,2,1349,1155
74,GBSC STEEL TOWN BIN QASIM AT PEEPRI (Combined),24.86773,67.32777,Combined,Sindh,2,2,688,536
75,GBSC STEEL TOWN BIN QASIM AT PEEPRI (Combined),24.86773,67.3278,Combined,Sindh,2,2,1027,902
79,Sir Syed Lower Secondry School Steel Town (Combined),24.86806,67.34274,Combined,Sindh,2,2,357,229
76,GBSS Liaquatabad No.9- Steel Town (Combined),24.86807,67.3278,Combined,Sindh,2,2,704,577
31,GBSS Egro Tech Razaqabad (Combined),24.86876,67.29323,Combined,Sindh,2,1,314,226
32,GBSS Egro Tech Razaqabad (Combined),24.86876,67.29326,Combined,Sindh,2,2,959,607
4,GBLSS Nazar Muhammad Village (Combined),24.86902,67.24478,Combined,Sindh,2,2,555,427
88,New Mader-e-Millat College Gulshan-e-Hadeed-II. (Combined),24.86923,67.36224,Combined,Sindh,2,2,1515,1352
89,New Mader-e-Millat College Gulshan-e-Hadeed-II. (Combined),24.86923,67.36227,Combined,Sindh,2,2,1846,1516
90,New Mader-e-Millat College Gulshan-e-Hadeed-II. (Combined),24.86923,67.3623,Combined,Sindh,2,2,1559,1235
7,GBPS Nazar Muhammad Tayyab Fellowship (Combined),24.86931,67.24284,Combined,Sindh,1,1,203,157
3,GBPS Bachal Buro Saleh Goth (Combined),24.86941,67.24281,Combined,Sindh,1,1,327,234
139,GBPS Samon Village,24.86971,67.21688,Combined,Sindh,2,1,479,378
138,TCF School Samon Village (Combined),24.87026,67.21818,Combined,Sindh,2,2,672,466
85,New Agosh School for Special Children. (Combined),24.87036,67.34974,Combined,Sindh,2,2,1160,890
86,New Agosh School for Special Children. (Combined),24.87036,67.34977,Combined,Sindh,2,2,1280,1070
87,New Agosh School for Special Children. (Combined),24.87036,67.3498,Combined,Sindh,2,2,1846,1452
6,TCF School Gharibabad Deh Landhi (Combined),24.87044,67.25055,Combined,Sindh,1,1,353,211
77,Madir-e-Millat College at Steel Town at gulshan e Hadeed phase 2 (Combined),24.87123,67.33105,Combined,Sindh,2,2,419,367
78,Madir-e-Millat College at Steel Town at gulshan e Hadeed phase 2 (Combined),24.87123,67.33108,Combined,Sindh,2,2,661,542
27,TCF- Mossa Goth (Combined),24.87125,67.28415,Combined,Sindh,2,2,1126,630
