PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 159 - Shah Jhangir Academy Main Road Moinabad Greveyard Model,24.82716,67.13412,Combined,Sindh,2,2,717,643
 160 - Shah Jhangir Academy Main Road Moinabad Greveyard Model,24.82716,67.13415,Combined,Sindh,2,2,578,561
 6 - Khokar Public School Khokar Club  SFC NO.4,24.87814,67.13911,Combined,Sindh,2,2,827,773
 262 - Pak John School Muhammadi Dairah,24.8807,67.18805,Combined,Sindh,2,2,976,910
 263 - Govt. Girls Secondary School No.2 Saudabad Godown School Malir,24.89003,67.18609,Combined,Sindh,2,2,888,717
 229 - Govt Boys Secondary School CDGK No 12-13  Near Shadiyana Hall,24.89289,67.19994,Combined,Sindh,2,2,926,776
 232 - Govt Boys Secondary School CDGK No 12-13  Near Shadiyana Hall,24.89289,67.19997,Combined,Sindh,2,2,1080,877
 231 - Muslim Gov Boys Secondary School Liaquat Market,24.89327,67.1955,Combined,Sindh,2,2,588,525
 163 - King Edward School A-82 Amirabad Model Colony,24.89402,67.18652,Combined,Sindh,2,2,1207,1093
 164 - King Edward School A-82 Amirabad Model Colony,24.89402,67.18655,Combined,Sindh,2,2,1155,1036
 161 - Shahab Academy Moinabad Model Colony,24.89405,67.18528,Combined,Sindh,2,2,950,852
 162 - Shahab Academy Moinabad Model Colony,24.89405,67.18531,Combined,Sindh,2,2,588,504
 225 - Govt. Girls Commerce College  C 1 Area Near Liaquat College Token Shop,24.89481,67.19117,Combined,Sindh,2,2,1211,1032
 226 - Govt. Girls Commerce College C 1 Area Near Liaquat College Token Shop,24.89481,67.1912,Combined,Sindh,2,2,1037,853
 230 - Jalil Academy (private) School Near Norani Masjid Nishter Square,24.89582,67.19822,Combined,Sindh,2,2,849,742
 165 - City Grammer School Moinabad Model Colony-,24.89754,67.18256,Combined,Sindh,2,2,1204,1017
 166 - City Grammer School Moinabad Model Colony,24.89754,67.18259,Combined,Sindh,2,2,899,807
 167 - Jinnah Public School Model Colony,24.89817,67.17735,Combined,Sindh,2,2,1426,1134
 219 - Shama Govt Boys Primary School,24.89846,67.20043,Combined,Sindh,2,2,852,624
 227 - Little Angel School D-2 Saudabad,24.89965,67.19614,Combined,Sindh,2,2,933,789
 228 - Little Angel School D-2 Saudabad,24.89965,67.19617,Combined,Sindh,2,2,791,636
 224 - Govt  Degree Collage for Women S-2 Saudabad,24.89993,67.20023,Combined,Sindh,2,2,1051,958
 168 - GGPS Haji Rahim Khan Jokhio Goth Model  Colony,24.90123,67.18554,Combined,Sindh,2,2,848,648
 212 - Comprehensive Grammer School S-1 Saudabad,24.90156,67.19588,Combined,Sindh,2,2,1020,777
 214 - Murad Memon Girls Secondary School S-2 Saudabad,24.90211,67.20048,Combined,Sindh,2,2,1040,1005
 215 - Murad Memon Girls Secondary School S-2 Saudabad,24.90211,67.20051,Combined,Sindh,2,2,803,744
 171 - GBSS Arman Model Colony,24.90216,67.18526,Combined,Sindh,2,2,1178,1169
 187 - Adam Jee Grammer School & Coaching Model Colony main Road near Police Station,24.90223,67.1901,Combined,Sindh,2,2,1060,1022
 222 - The Smart School S-2 Area,24.90235,67.19747,Combined,Sindh,2,2,964,900
 223 - The Smart School S-2 Area,24.90235,67.1975,Combined,Sindh,2,2,874,832
 180 - FG Model Middle School Model Colony,24.90248,67.18833,Combined,Sindh,2,2,665,620
 181 - FG Model Middle School Model Colony,24.90248,67.18836,Combined,Sindh,2,2,1000,905
 189 - I.M.A Islamic School-  Jannatul Barkat Model Colony  Near Railway Line,24.90276,67.1957,Combined,Sindh,2,2,1288,1127
 190 - Nasira School  Jannatul Barkat Model Colony,24.90287,67.19437,Combined,Sindh,2,2,1150,1085
 169 - White House Grammer School Model Colony,24.90294,67.18212,Combined,Sindh,2,2,810,774
 170 - White House Grammer School Model Colony,24.90294,67.18215,Combined,Sindh,2,2,1047,814
 213 - Sun Rise School S-1 area saudabad,24.90294,67.19726,Combined,Sindh,2,2,845,770
 216 - Oxford Grammer School Indus Mehran,24.90308,67.20041,Combined,Sindh,2,2,731,653
 217 - Oxford Grammer School Indus Mehran,24.90308,67.20044,Combined,Sindh,2,2,1028,975
 218 - British Foundation School- Indus Mehran,24.90323,67.20213,Combined,Sindh,2,2,1115,1100
 188 - Raza Academy Model Colony main Road near Police Station,24.90336,67.19095,Combined,Sindh,2,2,1245,1107
 174 - The Learning Space Jannatul Barkat Model Colony,24.90375,67.19562,Combined,Sindh,2,2,866,843
 175 - The Learning Space Jannatul Barkat Model Colony,24.90375,67.19565,Combined,Sindh,2,2,526,532
 193 - Kamal Ataturk School Model Colony,24.90379,67.19593,Combined,Sindh,2,2,1038,942
 210 - FJ Grammer School Indus Mehran Society Malir,24.90481,67.20235,Combined,Sindh,2,2,721,741
 211 - FJ Grammer School Indus Mehran Society Malir,24.90481,67.20238,Combined,Sindh,2,2,1008,967
 176 - Shaheen High School Model Colony near Lee Brost,24.90538,67.18685,Combined,Sindh,2,2,691,651
 177 - Shaheen High School Model Colony near Lee Brost,24.90538,67.18688,Combined,Sindh,2,2,1027,934
 206 - Superior Grammer School Pak Kauser Town,24.90556,67.20657,Combined,Sindh,2,2,1034,963
 207 - Superior Grammer School Pak Kauser Town,24.90556,67.2066,Combined,Sindh,2,2,997,890
 205 - Happy Home Grammar School- Pak Kauser Town,24.90572,67.20662,Combined,Sindh,2,2,1033,779
 204 - Innocent Primary School Pak Kauser Town Khokhrapar No.2,24.90603,67.20978,Combined,Sindh,2,2,689,539
 208 - The Educator School Pak Kauser Town,24.90634,67.20797,Combined,Sindh,2,2,891,772
 209 - The Educator School Pak Kauser Town,24.90634,67.208,Combined,Sindh,2,2,800,652
 202 - Duaa Academy (Campus-I)- Malir,24.90685,67.20969,Combined,Sindh,2,2,855,680
 203 - Duaa Academy (Campus-II)- Malir,24.90685,67.20972,Combined,Sindh,2,2,1030,776
 184 - GGSS Faryal Model Academy Model Colony,24.90873,67.19654,Combined,Sindh,2,2,1164,1012
 185 - Hira School (Near 9-C stop- Model Colony (Male),24.91121,67.19293,Male,Sindh,4,0,1573,0
 186 - Hira School (Near 9-C stop- Model Colony (Female),24.91121,67.19296,Female,Sindh,0,4,0,1336
 172 - Beacon Askari School "O" Level Branch near Gate No.1 Malir Cannt Model Colony,24.91133,67.18722,Combined,Sindh,2,2,1217,1204
 173 - Beacon Askari School "O" Level Branch near Gate No.1 Malir Cannt Model Colony,24.91133,67.18725,Combined,Sindh,2,2,754,710
 182 - Beacon Askari School "O" Level Branch near Gate No.1 Malir Cannt Model Colony,24.91133,67.18728,Combined,Sindh,2,2,1105,968
