PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 93 - Govt. Girls Primary School University Road (Combined),24.93592,67.13531,Combined,Sindh,2,2,1012,944
 94 - Govt. Girls Primary School University Road (Combined),24.93592,67.13534,Combined,Sindh,2,2,809,766
 95 - Govt. Girls Primary School University Road (Combined),24.93592,67.13537,Combined,Sindh,2,2,1407,1262
 96 - Govt. Girls Primary School University Road (Combined),24.93592,67.1354,Combined,Sindh,2,2,762,635
 97 - Govt. College of Physical Education University Road (Combined),24.93639,67.13613,Combined,Sindh,2,2,1002,928
 79 - New Horizon Academy School (Combined),24.93772,67.14184,Combined,Sindh,2,2,718,543
 81 - Asian School Rizwan Society (Combined),24.93821,67.15004,Combined,Sindh,2,2,1039,962
 82 - Asian School Rizwan Society (Combined),24.93821,67.15007,Combined,Sindh,2,2,1525,1278
 86 - White House Grammer School Rizwan Society (Combined),24.93876,67.15237,Combined,Sindh,2,2,897,818
 42 - Bright Star School Abbas Town (Combined),24.93919,67.09136,Combined,Sindh,2,2,1258,908
 78 - GBPS T.B. Sanatorium (Urdu) (Combined),24.9406,67.14267,Combined,Sindh,2,2,1032,887
 80 - Govt. Boys Primary School Ojha Campus (Combined),24.9406,67.1427,Combined,Sindh,2,2,1523,1223
 83 - Standard Grammar School Gulzar-e-Hijri (Combined),24.9416,67.14919,Combined,Sindh,2,2,816,827
 84 - Standard Grammar School Gulzar-e-Hijri (Combined),24.9416,67.14922,Combined,Sindh,2,2,735,703
 87 - GBPS Haji Ramzan Gabool Goth (Combined),24.94197,67.15498,Combined,Sindh,2,2,887,848
 88 - GBPS Haji Ramzan Gabool Goth (Combined),24.94197,67.15501,Combined,Sindh,2,2,704,478
 89 - GBPS Haji Ramzan Gabool Goth (Combined),24.94197,67.15504,Combined,Sindh,2,2,1638,1270
 85 - K.C.K Grammar School Zohra Nagar Gulzar-e-Hijri  (Combined),24.94276,67.14824,Combined,Sindh,2,2,699,658
 41 - Al- Noor School Abbas Town (Combined),24.94321,67.09312,Combined,Sindh,2,2,765,652
 45 - G.B.P.S Chalbani Soldier Bazar Bakhar Gabool Village U-C 12 Gulshan E Iqbal (Combined),24.94322,67.09113,Combined,Sindh,2,2,760,408
 39 - St.Francis School Abul Hsassan Isphani Road  (Combined),24.94339,67.09747,Combined,Sindh,2,2,1002,930
 38 - Ali Public Secondary School Abbas Town (Combined),24.94359,67.09406,Combined,Sindh,2,2,766,725
 46 - Crown City School Paradise Homes (Combined),24.9437,67.09772,Combined,Sindh,2,2,1360,1265
 47 - Crown City School Paradise Homes (Combined),24.9437,67.09775,Combined,Sindh,2,2,748,701
 40 - Iqra Grammar School (Combined),24.94378,67.09422,Combined,Sindh,2,2,755,644
 49 - St. Spring Field School A-1 Villas (Combined),24.94524,67.09944,Combined,Sindh,2,2,965,959
 50 - St. Spring Field School A-1 Villas (Combined),24.94524,67.09947,Combined,Sindh,2,2,711,693
 70 - GBPS Seeta Nagar- SUPARCO Road (Combined),24.9459,67.1348,Combined,Sindh,2,2,1379,931
 43 - Community Hall Chapal Garden Abu-ul-Hassan Asphani Road (Combined),24.94648,67.0917,Combined,Sindh,2,2,1087,814
 51 - Fatima Zehra Childern Grammar School/ College (Combined),24.94655,67.10119,Combined,Sindh,2,2,919,589
 52 - Fatima Zehra Childern Grammar School/ College (Combined),24.94655,67.10122,Combined,Sindh,2,2,1432,752
 44 - Govt. Boys Primary School Abdullha Palari Bakhar Goth (Combined),24.9468,67.09039,Combined,Sindh,2,2,1236,695
 62 - Kids World Secondary School Khatm E Nabooat Chowk (Combined),24.94728,67.10902,Combined,Sindh,2,2,697,650
