StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
39,GBPS New Kumhar Wara,24.9001,66.96995,Male,Sindh,2,0,1280,0
40,GBPS New Kumhar Wara,24.9001,66.96998,Female,Sindh,0,2,0,954
38,Muttahid Kachi Kumhar Jamat Khana,24.90083,66.96951,Female,Sindh,0,2,0,1006
31,Happy Way Public Dehli Colony,24.9034,66.96753,Male,Sindh,2,0,1200,0
41,Babul Ilam Gujrat Colony,24.90372,66.97134,Combined,Sindh,2,1,1067,368
42,Babul Ilam Gujrat Colony,24.90372,66.97137,Combined,Sindh,1,2,487,866
32,Rabia Children Acadmey,24.90395,66.96944,Combined,Sindh,2,1,872,511
43,KMC Office,24.90398,66.9687,Combined,Sindh,2,1,643,506
113,GGSS M.H Baldia,24.90465,66.96616,Male,Sindh,2,0,1283,0
114,GGSS M.H Baldia,24.90465,66.96619,Combined,Sindh,2,1,1042,417
242,GBPS Muhammad Hussain,24.90465,66.96622,Combined,Sindh,1,1,658,472
245,GBPS Muhammad Hussain,24.90465,66.96625,Combined,Sindh,2,1,1330,245
36,Dehli Public School,24.90467,66.96602,Male,Sindh,2,0,1236,0
37,Dehli Public School,24.90467,66.96605,Combined,Sindh,1,1,662,442
58,Ali Children School Campus II,24.90497,66.96552,Combined,Sindh,1,2,703,807
59,GBPS Gujrat School,24.90499,66.96584,Male,Sindh,3,0,1624,0
45,Jilanai Public School,24.90511,66.97166,Male,Sindh,2,0,1275,0
46,Jilani Public School,24.90511,66.97169,Combined,Sindh,1,2,276,1077
44,Urban Health Centre- Dilawar Mohallah,24.9052,66.96751,Combined,Sindh,1,1,345,285
64,Urban Health Centre,24.9052,66.96754,Female,Sindh,0,3,0,1098
56,GBSS Anjum Colony Baldia,24.90538,66.96654,Male,Sindh,2,0,1448,0
62,Patni Grammer New Anjum,24.90598,66.96814,Combined,Sindh,2,1,1083,588
63,Patni Grammer New Anjum,24.90598,66.96817,Combined,Sindh,2,1,854,513
60,Shafia Grammer Sec  School,24.90667,66.96694,Combined,Sindh,1,3,194,1232
112,GLSS. Rasheedabad,24.90716,66.97616,Female,Sindh,0,3,0,1222
74,Al Baldia Memon School,24.90727,66.9696,Male,Sindh,2,0,1353,0
75,Al-Baldia Memon School,24.90727,66.96963,Female,Sindh,0,2,0,1113
61,GBPS Mehboob Bi,24.90746,66.9665,Combined,Sindh,2,1,1174,417
51,Kamran Academy,24.90757,66.9716,Male,Sindh,2,0,1396,0
52,Kamran Academy,24.90757,66.97163,Female,Sindh,0,2,0,1085
95,Sky Land English Grammar School,24.90768,66.97321,Combined,Sindh,2,1,821,261
47,Iqra Model Elementary School,24.90802,66.97323,Combined,Sindh,2,1,719,525
68,Oma-e-Sara Publci School,24.90856,66.97199,Male,Sindh,2,0,1174,0
69,Oma-e-Sara Publci School,24.90856,66.97202,Combined,Sindh,1,1,870,350
72,Al-Azeem Sec School,24.90856,66.97205,Male,Sindh,2,0,1227,0
73,Al Azeem Sec School,24.90856,66.97208,Combined,Sindh,1,3,269,1150
109,Iqra Pakeeza Secondary School,24.90874,66.96349,Male,Sindh,2,0,1193,0
110,Iqra Pakeeza Secondary School,24.90874,66.96352,Male,Sindh,2,0,719,0
76,Iqra Attarya School Turk Market,24.90921,66.97021,Male,Sindh,2,0,1367,0
77,Iqra Attarya School Turk Market,24.90921,66.97024,Female,Sindh,0,2,0,1031
78,Turk Public School,24.90921,66.97027,Male,Sindh,2,0,1037,0
111,GBPS Madina,24.91034,66.96204,Female,Sindh,0,3,0,1421
19,GBPS Madina,24.91034,66.96207,Combined,Sindh,2,1,985,379
20,GBPS Madina,24.91034,66.9621,Male,Sindh,3,0,1464,0
57,Junnah garah Turk Hall,24.91049,66.97136,Female,Sindh,0,2,0,1260
79,Turk Community Hall,24.91049,66.97139,Female,Sindh,0,2,0,812
48,GBPS Sarhad Road,24.91158,66.97495,Combined,Sindh,2,1,1131,215
49,GBPS Sarhad Road,24.91158,66.97498,Male,Sindh,2,0,1315,0
50,GBPS Sarhad Road,24.91158,66.97501,Female,Sindh,0,2,0,1307
98,GBPS Sarahd Afridi,24.91158,66.97504,Combined,Sindh,2,2,1105,703
106,GBPS Azeemabad,24.91179,66.95802,Male,Sindh,2,0,1453,0
107,GBPS Azeemabad,24.91179,66.95805,Combined,Sindh,2,1,902,575
102,Cresent Public School,24.91205,66.96365,Combined,Sindh,2,2,951,592
103,Cresent Public School,24.91205,66.96368,Combined,Sindh,2,2,859,593
225,Cresent Public School H.No. 590 New Saeedabad Sector 9-A,24.91205,66.96371,Male,Sindh,2,0,1381,0
226,Cresent Public School H No. 592 New Saeedabad Sector 9-A,24.91205,66.96374,Female,Sindh,0,2,0,882
96,Al Mustafa Public School,24.91239,66.96878,Female,Sindh,0,2,0,1086
97,Al Mustafa Public School,24.91239,66.96881,Male,Sindh,2,0,1222,0
67,GM Lakho School,24.91267,66.97359,Female,Sindh,0,3,0,1407
65,Dawood Children School,24.91295,66.97318,Male,Sindh,2,0,1351,0
66,Dawood Children School,24.91295,66.97321,Combined,Sindh,2,1,956,452
80,GBPS Faizul Islam,24.91356,66.9733,Combined,Sindh,2,2,853,598
257,GBSS Shams Mujahid Colony 4-F,24.91416,66.96642,Combined,Sindh,2,1,829,497
143,Al-Syed English School,24.91437,66.96147,Female,Sindh,0,2,0,774
146,Al Syed Secondary School & College,24.91437,66.9615,Male,Sindh,3,0,1428,0
147,Al Syed Secondary School & College,24.91437,66.96153,Female,Sindh,0,3,0,1368
135,A-One English Grammar School,24.9144,66.96075,Combined,Sindh,2,2,731,582
71,GBPS Ghous Nagar,24.91462,66.97492,Combined,Sindh,2,1,1034,420
144,Patail Foundation School,24.91474,66.9585,Combined,Sindh,1,1,505,318
145,Patail Foundation School,24.91474,66.95853,Combined,Sindh,1,1,915,317
92,Aisha Boys Girls Secondary School,24.91532,66.97408,Combined,Sindh,1,1,770,543
93,Aisha Boys Girls Secondary School,24.91532,66.97411,Male,Sindh,2,0,1269,0
94,Aisha Boys Girls Secondary School,24.91532,66.97414,Combined,Sindh,1,2,299,1127
134,Al-Zahra Academy,24.9162,66.96129,Male,Sindh,3,0,1618,0
85,Sindh Public School,24.91655,66.97021,Male,Sindh,2,0,1296,0
86,Sindh Public School,24.91655,66.97024,Combined,Sindh,1,1,691,499
87,Sindh Public School,24.91655,66.97027,Female,Sindh,0,2,0,1026
88,Premier Sec School Ghous Nagar,24.91709,66.96875,Combined,Sindh,2,2,1137,806
89,Premier Sec School Ghous Nagar,24.91709,66.96878,Combined,Sindh,1,1,826,586
132,Climax Foundation School,24.91752,66.96333,Male,Sindh,2,0,1099,0
138,Aim Public School,24.91824,66.96075,Combined,Sindh,2,1,681,512
136,Apex Educator School,24.91884,66.96157,Female,Sindh,0,3,0,1275
130,Graceful Grammer Secondary School Saeedabad,24.91888,66.96345,Male,Sindh,3,0,1437,0
152,Graceful Grammar School St-01,24.91888,66.96348,Male,Sindh,2,0,1216,0
153,Graceful Grammar School St-01,24.91888,66.96351,Combined,Sindh,2,1,863,342
154,Graceful Grammar School St-02,24.91888,66.96354,Female,Sindh,0,2,0,959
122,BT-09  L.B. Wing School,24.91935,66.96406,Combined,Sindh,1,2,370,1111
124,RB-36 School A-3  St-01,24.91935,66.96409,Combined,Sindh,2,2,784,490
125,RB-36 School A-3  St-01,24.91935,66.96412,Combined,Sindh,1,1,660,522
126,RB-36 School A-3  St-02,24.91935,66.96415,Combined,Sindh,2,2,1544,1048
233,KMC School No.13,24.91937,66.9907,Combined,Sindh,2,1,932,557
234,KMC School No.13,24.91937,66.99073,Combined,Sindh,2,1,982,531
235,KMC School No.13,24.91937,66.99076,Combined,Sindh,1,2,783,679
236,KMC School No.13,24.91937,66.99079,Combined,Sindh,2,1,1090,261
237,Muslim Public High Ssecondary School Zia Colony,24.92097,66.98875,Combined,Sindh,2,1,876,469
238,Muslim Public High Ssecondary School Zia Colony,24.92097,66.98878,Combined,Sindh,2,1,1071,402
239,Muslim Public High Secondary School Zia colony,24.92097,66.98881,Male,Sindh,3,0,1425,0
10,GBPS Iqbal Madina,24.92119,66.98023,Male,Sindh,2,0,1348,0
6,Islamic Children Acadamic,24.92122,66.98377,Male,Sindh,2,0,1245,0
7,Islamic Children Acadamic,24.92122,66.9838,Male,Sindh,2,0,1074,0
8,Islamic Children Acadamy,24.92122,66.98383,Female,Sindh,0,3,0,1307
117,GBPS Salahuddin Ayoobi,24.92141,66.97166,Female,Sindh,0,3,0,1872
240,Al-Hamza Grammar ( Hamza Modern),24.9223,66.99271,Female,Sindh,0,2,0,994
243,Bright Children School,24.92259,66.99172,Combined,Sindh,1,1,616,468
244,Bright Children School,24.92259,66.99175,Combined,Sindh,1,2,758,844
246,Polite Grammar School,24.92315,66.99253,Combined,Sindh,2,2,875,803
248,B.M Gramer School Campus 2,24.92315,66.99256,Male,Sindh,2,0,956,0
115,GG M.H Baldia St-01,24.92354,66.9674,Male,Sindh,3,0,1802,0
116,GG M.H Baldia St-02 Primery,24.92354,66.96743,Combined,Sindh,2,1,1162,289
159,GBPS. Jangal Wala St-01,24.92489,66.96955,Male,Sindh,2,0,1285,0
160,GBPS. Jangal Wala St-02,24.92489,66.96958,Female,Sindh,0,2,0,882
4,GBPS Siddiqui  Abidabad,24.92504,66.97857,Combined,Sindh,2,1,832,472
5,GBPS Siddiqui  Abidabad,24.92504,66.9786,Combined,Sindh,2,1,788,525
9,GBPS Siddiqui Abidabad,24.92504,66.97863,Combined,Sindh,2,1,1110,526
162,GBPS. BT-10,24.92575,66.96618,Female,Sindh,0,2,0,890
33,GBPS Mohammad Hussain (Old),24.92579,66.99329,Female,Sindh,0,3,0,1098
241,Bahzad High School,24.92638,66.99324,Combined,Sindh,1,1,780,530
256,GBSS. Shams Mujahid colony 4-F,24.92795,66.99779,Combined,Sindh,2,2,958,642
11,GBPS Baldia Urdu,24.92911,66.967,Combined,Sindh,1,2,405,976
1,Babul Ilam Sec School,24.92944,66.96796,Combined,Sindh,2,1,1081,207
2,Babul Ilam Sec School,24.92944,66.96799,Male,Sindh,3,0,1508,0
3,Babul Ilam Sec School,24.92944,66.96802,Female,Sindh,0,3,0,1316
191,Hasnain Public School,24.93047,66.98232,Male,Sindh,2,0,1257,0
250,Rehber Islamis Sec. School,24.9309,66.99118,Combined,Sindh,2,1,1179,453
251,Rehber Islamia Sec. School,24.9309,66.99121,Male,Sindh,3,0,1548,0
253,GBPS Qudsia,24.93136,66.99758,Combined,Sindh,2,1,1212,508
254,GBPS Qudsia,24.93136,66.99761,Combined,Sindh,2,1,1044,545
255,GBPS Qudsia,24.93136,66.99764,Combined,Sindh,1,2,805,822
194,Top Land Sec-School Qaim Khani,24.93185,66.99258,Combined,Sindh,1,3,317,1120
252,GBPS Al-Mustafa Islam Nagar,24.93199,66.99371,Female,Sindh,0,2,0,1369
24,Moon Sky High School,24.93273,66.97563,Male,Sindh,2,0,922,0
25,Moon Sky High School,24.93273,66.97566,Male,Sindh,2,0,1245,0
26,Moon Sky High School,24.93273,66.97569,Female,Sindh,0,3,0,1263
27,GBPS Gulshan-e-Gazi,24.9337,66.96939,Combined,Sindh,2,1,915,540
28,GBPS Gulshan-e-Gazi,24.9337,66.96942,Female,Sindh,0,2,0,590
247,B.M Gramer School Campus 2,24.93387,66.99503,Male,Sindh,2,0,1300,0
249,B.M Grammar School,24.93387,66.99506,Female,Sindh,0,3,0,1302
166,GBLSS Khyber  8-C,24.93389,66.9673,Combined,Sindh,2,2,900,566
22,Iqra Islamic Academy,24.93468,66.97512,Combined,Sindh,2,1,1348,135
23,Iqra Islamic Academy,24.93468,66.97515,Combined,Sindh,1,2,501,922
12,Bright Future Gulshan-e-Gazi,24.93479,66.97259,Male,Sindh,2,0,1187,0
13,Bright Future Gulshan-e-Gazi,24.93479,66.97262,Male,Sindh,2,0,830,0
14,Bright Future Gulshan-e-Gazi,24.93479,66.97265,Female,Sindh,0,2,0,1146
29,Madina Excellent (  ),24.93499,66.96966,Combined,Sindh,1,1,927,517
30,Madina Excellent (  ),24.93499,66.96969,Male,Sindh,2,0,1187,0
140,Naveed Public School,24.93592,66.96983,Combined,Sindh,1,1,714,559
141,Naveed Public School,24.93592,66.96986,Combined,Sindh,2,2,922,642
17,Allama Iqbal Education Academy,24.93612,66.9696,Combined,Sindh,1,1,842,518
18,New Muslim Sec School,24.93892,66.97376,Female,Sindh,0,3,0,1389
229,GBSS. Farooq-e-Azam  9-B,24.94103,66.96056,Combined,Sindh,1,1,653,431
230,GBSS. Farooq-e-Azam  9-B,24.94103,66.96059,Combined,Sindh,1,1,874,578
21,The Sky Public School,24.9415,66.97421,Combined,Sindh,1,2,409,987
104,Crescent English School,24.94485,66.9336,Male,Sindh,2,0,1568,0
105,Crescent English School,24.94485,66.93363,Combined,Sindh,1,3,278,1324
128,Govt Degree Girls college Baldia,24.95757,66.97964,Combined,Sindh,2,1,958,659
129,Govt Degree Girls college Baldia,24.95757,66.97967,Female,Sindh,0,2,0,881
