StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
204,Gazala Sec. School 14-BI-  UC-8- Sector 14/C- Bilal Colony-  Orangi Town. (Ist Floor) (M),24.8512,67.00012,Male,Sindh,3,0,1482,0
205,Gazala Sec. School 14-BI-  Sector 14/C- Bilal Colony-  UC-8- Orangi Town. (Ground Floor). (F),24.8512,67.00015,Combined,Sindh,1,2,277,1146
235,Shahbaz Model Academy,24.87142,67.02253,Female,Sindh,0,2,0,1051
20,GBPS New Happay Garden at Bismillah Colony,24.92733,66.99164,Combined,Sindh,1,2,570,1115
21,GBPS New Happy Garden at Bismillah Colony,24.92733,66.99167,Male,Sindh,3,0,1535,0
7,Ever Green Loyer Sec. School,24.92796,66.99784,Combined,Sindh,2,1,853,539
31,Al-Habib Public School,24.92845,66.97923,Combined,Sindh,1,1,809,418
33,Al-Habib Public School Shah Moh,24.92845,66.97926,Combined,Sindh,1,2,364,997
30,Hasnain Public School,24.93047,66.98232,Combined,Sindh,2,1,745,383
32,Hasnain Public School,24.93047,66.98235,Male,Sindh,3,0,1490,0
22,Iqra Islamic Foundation l,24.93075,66.98636,Female,Sindh,0,2,0,1053
26,Zafar Public Sec-10,24.93097,66.98558,Combined,Sindh,1,2,361,1107
10,GBPS Bismillah Colony,24.93165,66.98795,Male,Sindh,3,0,1554,0
11,GBPS Bismillah Colony,24.93165,66.98798,Combined,Sindh,1,2,392,597
1,EAB GGSS Sec10,24.9317,66.98817,Male,Sindh,3,0,1609,0
3,EAB GGSS. sec-10,24.9317,66.9882,Male,Sindh,4,0,1768,0
5,Talant World Public School,24.93178,66.98924,Combined,Sindh,3,1,1330,481
6,Talant World Public School,24.93178,66.98927,Combined,Sindh,1,2,827,786
8,Aisha Public School,24.9335,66.98737,Combined,Sindh,3,1,1323,258
9,Aisha Public School,24.9335,66.9874,Female,Sindh,0,2,0,1139
37,Mehran Public School,24.93502,66.99423,Combined,Sindh,1,3,213,1374
36,GBPS. Hanifia Boys Harya Colony,24.93515,66.98634,Male,Sindh,4,0,1742,0
15,GBPS Hanifia Haryana Colony,24.93525,66.98642,Combined,Sindh,2,2,1155,802
4,GBPS. Aqsa Al-Fateh,24.93532,66.99149,Female,Sindh,0,4,0,1460
16,GBPS Yaqoobabad at Haryana Colony,24.93533,66.98529,Combined,Sindh,2,2,1046,667
17,GBPS Ideal Sec School,24.93533,66.98532,Combined,Sindh,3,1,1456,337
18,GBPS Ideal Sec School,24.93533,66.98535,Combined,Sindh,1,2,738,1032
28,GBPS. Yaqoobabad Sec-10,24.93533,66.98538,Male,Sindh,3,0,1709,0
19,Good luck Sec School,24.93554,66.9865,Combined,Sindh,3,1,1519,271
12,Natianal Public School,24.93636,66.98758,Male,Sindh,3,0,1671,0
14,GBPS Banaras No.2,24.93641,66.98802,Female,Sindh,0,4,0,1487
13,National Public School,24.93659,66.98763,Combined,Sindh,2,1,1187,483
35,Superior Model Sec School,24.93692,66.99043,Combined,Sindh,1,3,326,1417
57,The Minhaj School d,24.93764,66.98499,Combined,Sindh,2,1,677,477
58,The Minhaj School d,24.93764,66.98502,Combined,Sindh,1,1,464,302
59,Muslim Millat School,24.9378,66.98384,Combined,Sindh,2,1,779,526
60,Muslim Millat School,24.9378,66.98387,Combined,Sindh,2,2,942,474
61,Muslim Millat School,24.9378,66.9839,Combined,Sindh,2,2,1321,705
85,Shaheen School Fareed Colony,24.93798,66.97977,Combined,Sindh,2,1,1110,646
34,Bright Way Grammar School,24.93831,66.98937,Male,Sindh,4,0,1723,0
95,The weliken High School,24.93881,66.98366,Male,Sindh,2,0,1240,0
96,The Weliken High School,24.93881,66.98369,Female,Sindh,0,2,0,822
53,Islamia Children School,24.93954,66.99082,Female,Sindh,0,4,0,1669
43,Al-Faisal Sec School,24.93957,66.99247,Female,Sindh,0,4,0,1627
56,Al-Raza Grammar School,24.93966,66.98731,Combined,Sindh,2,1,856,593
