StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
133,Sun Rize Public School Sec-X-8 Gulshan-e-Maymar,24.92967,67.03487,Combined,Sindh,2,2,1201,944
20,TCF School Naya Nazimabad,24.95092,67.01595,Combined,Sindh,2,1,1070,464
24,Standard Secondry School,24.9589,67.00394,Combined,Sindh,2,2,895,476
152,Pre Grammar School- Sector 16-B- Gulshan Ahbab- Near German School- UC-6- Orangi Town,24.96963,66.99211,Male,Sindh,3,0,1353,0
153,Pre Grammar School- Sector 16-B- Gulshan Ahbab- Near German School- UC-6- Orangi Town,24.96963,66.99214,Combined,Sindh,1,3,316,1246
146,Naz Children School- Sector 16-A- Al-Khizar Society- UC-6- Orangi Town,24.97157,66.99305,Male,Sindh,3,0,1475,0
144,Royal Education Grammar School- K-536- Gulshan-e-Behar- Sector 16- U.C-6- Orangi Town-,24.97422,66.99129,Male,Sindh,3,0,1618,0
145,Royal Education Grammar- K-536- Gulshan-e-Behar- Sector 16- UC-6- Orangi Town.,24.97422,66.99132,Combined,Sindh,2,2,922,592
147,GBPS Arkania- Jama Masjid Arkania- Sector 16-C- Gulshan Bihar- UC-6- Orangi Town,24.97549,66.99502,Combined,Sindh,1,2,345,1180
148,GBPS Arkania- Jama Masjid Arkania- Sector 16-C- Gulshan Bihar- UC-6- Orangi Town,24.97549,66.99505,Combined,Sindh,2,2,899,677
149,GBPS Arkania- Jama Masjid Arkania- Sector 16-C- Gulshan Bihar- UC-6- Orangi Town,24.97549,66.99508,Combined,Sindh,2,2,863,630
150,Prince Public School- Sector 16-C- Gulshan Bihar- UC-6- Orangi Town,24.97551,66.99179,Male,Sindh,2,0,1123,0
151,Prince Public School- Sector 16-C- Gulshan Bihar- UC-6- Orangi Town,24.97551,66.99182,Female,Sindh,0,2,0,843
23,GBPS Arz Muhammad Goth,24.97565,67.00154,Combined,Sindh,2,2,1479,766
154,Al-Habib Grammar School- Sector 16-C- Gulshan Bihar- UC-6- Orangi Town- (First Floor),24.97631,66.99277,Male,Sindh,3,0,1502,0
155,Al-Habib Grammar School- Sector 16-C- Gulshan Bihar- UC-6- Orangi Town,24.97631,66.9928,Female,Sindh,0,2,0,1035
9,Saima Academy School.,24.97748,67.04365,Female,Sindh,0,2,0,791
6,GBPS- Tapo Manghopir.,24.97796,67.0366,Male,Sindh,2,0,1242,0
14,GBPS Haji Hamza Goth Manghopir.,24.98061,67.03825,Female,Sindh,0,4,0,1446
4,GBLSS- Mushki Para Manghopir.,24.98223,67.04041,Male,Sindh,3,0,1470,0
5,GBLSS- Mushki Para Manghopir.,24.98223,67.04044,Male,Sindh,4,0,1512,0
13,Rural Health Center Manghopir.,24.98385,67.03754,Male,Sindh,4,0,2460,0
