PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 276 - Government Girls Primary School  Goth Mohammad Salah Gajani  (Female),2.343083,-2.109386,Female,Balochistan,0,2,0,822
 175 - GBHS Shahan Palal-II (F),27.97342,67.72997,Female,Balochistan,0,2,0,838
 174 - GBHS Shahan Palal-I ( M),27.97346,67.73056,Male,Balochistan,2,0,1041,0
 179 - Irrigation Banglow Baghtel (F),27.97961,67.7411,Female,Balochistan,0,2,0,582
 173 - CD Baghtail ( Kariya Feri) ( F ),27.97961,67.74165,Female,Balochistan,0,2,0,741
 172 - GBMS Baghtel ( Kariya feri) (M),27.97984,67.74166,Male,Balochistan,2,0,965,0
 178 - GBPS Bghtel ( M),27.98009,67.74178,Male,Balochistan,2,0,656,0
 167 - GBPS Ghulam Muhammad Jamali ( M),27.9923,67.86821,Male,Balochistan,2,0,982,0
 168 - GBPS Ghulam Muhammad Jamali (F),27.99237,67.86837,Female,Balochistan,0,2,0,859
 176 - GBPS Janan Jamali ( Com),27.99781,67.83556,Combined,Balochistan,1,1,615,503
 166 - GBMS Faizal Faqeer ( Com),28.00571,67.88073,Combined,Balochistan,1,1,584,451
 164 - GGHS Gandakha (F),28.0074,67.84798,Female,Balochistan,0,3,0,1357
 163 - GBPS Gandakha (M),28.01118,67.84696,Male,Balochistan,3,0,1649,0
 180 - GBPS New Kot Marri ( Com),28.01609,67.71905,Combined,Balochistan,1,1,554,462
 170 - GBMS Chowki Jamali ( M),28.02054,67.92197,Male,Balochistan,2,0,1083,0
 171 - GGMS Chowki Jamali (F),28.02157,67.9197,Female,Balochistan,0,2,0,891
 177 - GBPS Sukhiya Jamali (Com),28.02749,67.77736,Combined,Balochistan,1,1,541,432
 165 - GBPS Jabal Pur ( Com),28.03359,67.83128,Combined,Balochistan,2,1,826,554
 146 - GBPS Peer Bakhsh Jamali ( Com),28.04614,67.91782,Combined,Balochistan,1,1,570,463
 183 - GBMS Noshki Jadeed-II ( F),28.04861,67.74059,Female,Balochistan,0,2,0,949
 182 - GBHS Noshki Jadeed-I (M),28.04897,67.7406,Male,Balochistan,3,0,1101,0
 181 - GBPS Kandrri ( Goth Abdul Rehman) (Com),28.05235,67.71935,Combined,Balochistan,1,2,703,778
 162 - GBPS Rasool Abad ( Com),28.057,67.78134,Combined,Balochistan,1,1,302,241
 161 - GBPS Pandrani Jadeed (Com),28.06172,67.75081,Combined,Balochistan,2,2,912,862
 169 - GBMS Fazal Muhammad Jamali ( Com),28.0639,67.84862,Combined,Balochistan,1,1,617,441
 158 - Agriculture Form Sibi Jadeed (M),28.06731,67.7977,Male,Balochistan,2,0,774,0
 144 - GBPS Aitabar Khan Jamali (Com),28.06832,67.89004,Combined,Balochistan,1,1,568,471
 159 - CD Sibi Jadeed ( F),28.06885,67.79628,Female,Balochistan,0,2,0,944
 148 - GBPS Bangul Darro (Com),28.07859,67.96686,Combined,Balochistan,1,1,382,284
 147 - GBPS Goth Wali Muhammad Jamali (Deh Jhaloo) (Com),28.08386,67.931,Combined,Balochistan,1,1,411,345
 186 - GBPS Bagh Head (M),28.08443,67.74141,Male,Balochistan,2,0,957,0
 187 - BHU Bagh Head (F),28.0846,67.74012,Female,Balochistan,0,2,0,741
 145 - GBPS Haji Manzoor Bakhshlani (Com),28.09093,67.89399,Combined,Balochistan,1,1,568,371
 149 - GBPS Mehrab Pur (Com),28.10726,68.02694,Combined,Balochistan,1,1,297,212
 143 - CD Mewa Khan Khosa ( Com),28.11063,67.85732,Combined,Balochistan,1,1,644,623
 160 - GBPS Ali Sher Bugti (Com),28.11214,67.77686,Combined,Balochistan,1,1,583,504
 150 - Irrigation Banglow Hadeera Pul (Com),28.12996,67.90591,Combined,Balochistan,2,1,713,587
 156 - GBHS Ahmed Abad (M),28.13406,67.82484,Male,Balochistan,2,0,982,0
 157 - GGPS Ahmed Abad (F),28.13473,67.8216,Female,Balochistan,0,2,0,664
 151 - GBPS Allah Waraya Jamali (Com),28.13593,67.9758,Combined,Balochistan,2,1,1013,811
 141 - GBHS Jaffarabad ( High Section) (F),28.15484,67.87547,Female,Balochistan,0,2,0,828
 140 - GBHS Jaffarabad ( Middle Section) (M),28.15489,67.87538,Male,Balochistan,3,0,1151,0
 155 - GBPS Goth Faiq Ali Jamali ( Sakh Wah) ( Com),28.1557,68.04358,Combined,Balochistan,1,1,583,614
 139 - GBPS Jaffarabad (Com),28.15611,67.88339,Combined,Balochistan,1,1,532,474
 184 - GBPS Goth Muhammad Hassan Pandrani (Berron) (M),28.16402,67.7231,Male,Balochistan,2,0,820,0
 136 - GBMS Allah Dina Rind (Com),28.16449,67.9592,Combined,Balochistan,2,2,972,763
 154 - GBPS Naseer Ahmed Hejwani (M),28.16596,68.02171,Male,Balochistan,3,0,1489,0
