PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 300 - Govt: Boys High School Jiwan Hihg Sectioni (Male),25.04488,61.74506,Male,Balochistan,3,0,1232,0
 301 - Govt: High School  Jiwani MIddle Section (Femlae) New,25.04488,61.74509,Female,Balochistan,0,3,0,968
 295 - Fisheries Office Jiwani. (Male),25.05035,61.74915,Male,Balochistan,3,0,1028,0
 297 - Tehsil Office Town Committee Jiwani.      (Comb),25.05092,61.74842,Combined,Balochistan,2,2,677,534
 298 - Govt: Boys Middle School Reasani Bazar Jiwani. (Male),25.05613,61.74728,Male,Balochistan,3,0,1084,0
 296 - Govt: Middle School Rasani Bazar Jiwani Primary Section (Femlae) New,25.05746,61.74722,Female,Balochistan,0,2,0,777
 299 - Govt: Girls Middle School Reasani Bazar Jiwani. (Female),25.05746,61.74725,Female,Balochistan,0,2,0,895
 302 - Govt: Boys Primary School Bandari. (Comb),25.08317,61.76888,Combined,Balochistan,2,1,575,385
 305 - Govt: Bosys Middle School Gunz. (Comb),25.09895,61.87191,Combined,Balochistan,2,1,565,454
 303 - Govt: Boys Middle School Panwan. (male),25.1105,61.7988,Male,Balochistan,3,0,1067,0
 304 - Govt:  Middle School  Panwan  (Femlae) New,25.1105,61.79883,Female,Balochistan,0,2,0,823
 274 - Govt: Boys High School- Gwatree Bazar- Gwadar Primary Section   (Male),25.11242,62.32571,Male,Balochistan,3,0,972,0
 275 - Govt: Boys High School Gwatree Bazar Gwadar Middle Section. (Female) New,25.11242,62.32574,Female,Balochistan,0,2,0,859
 273 - Govt: Girls High School Mullah Band- Gwadar. (Comb),25.11573,62.32415,Combined,Balochistan,2,1,734,558
 272 - Govt: Primary School- Iqra Khuda Ahmed Mohllah Gwadar. (Comb),25.11698,62.32793,Combined,Balochistan,1,1,458,377
 267 - Civil Dispensory Gwadar (Comb),25.12231,62.32422,Combined,Balochistan,2,2,678,543
 269 - Govt: Model High School-Primary Section Gwadar.(Comb),25.12254,62.32172,Combined,Balochistan,2,2,641,571
 270 - Model High School- High Section Gwadar. (Male),25.12254,62.32175,Male,Balochistan,3,0,1030,0
 271 - Govt: Model High School high Section Gwadar.(Female) New,25.12254,62.32178,Female,Balochistan,0,3,0,951
 281 - Govt: Boys High School Pishukan. (Comb),25.12276,62.06802,Combined,Balochistan,2,2,880,764
 266 - Govt: Primary School-Washdil Mohllah Gwadar. (Comb),25.1229,62.32654,Combined,Balochistan,2,2,698,580
 268 - Tehsil Muncipal Office Gwadar.( Comb),25.12377,62.32215,Combined,Balochistan,2,2,708,616
 261 - Gwadar Gramarr School Gwadar  (Comb),25.12607,62.32034,Combined,Balochistan,2,2,679,630
 260 - Gwadar Club (Comb),25.12619,62.32088,Combined,Balochistan,2,2,760,645
 280 - Govt: Girls High School Pishukan (Comb),25.12625,62.06558,Combined,Balochistan,2,1,622,546
 276 - Govt: Boys Moddle School Konarki Bazar Pishukan Primary Section. (Male),25.12691,62.06371,Male,Balochistan,3,0,1090,0
 277 - Govt: Boys Middle School Konarki Bazar Pishukan Middile Section (female) New.,25.12691,62.06374,Female,Balochistan,0,2,0,838
 264 - Govt: Girls Primary School Gazrawan. (Comb),25.12705,62.32676,Combined,Balochistan,1,1,396,291
 278 - Govt: Primary School Brasi Ward Pishukan. (Male),25.12848,62.07153,Male,Balochistan,3,0,1174,0
 279 - Govt: Girls Primary School Brasi Ward Pishukan (Female) New,25.13044865587245,62.06774576913537,Female,Balochistan,0,2,0,934
 265 - Govt: Boys Primary School Gazrawan ward.(Comb),25.13104,62.32574,Combined,Balochistan,2,1,549,500
 256 - B & R Office Gwadar. (?Male ),25.13424,62.31999,Male,Balochistan,4,0,1665,0
 257 - B & R Sub Divisional Office Gwadar.( Female),25.13426,62.32054,Female,Balochistan,0,4,0,1341
 258 - Govt: Girls High School Gwadar Jadeed (Male),25.13449,62.32137,Male,Balochistan,3,0,939,0
 259 - Govt: Girls High School Jadeed Primary Section (Female) New,25.13449,62.3214,Female,Balochistan,0,2,0,833
 255 - Forest Office Gwadar,25.13611,62.32514,Combined,Balochistan,2,2,953,793
 253 - High School Jadeed (Male),25.13815,62.32399,Male,Balochistan,3,0,1242,0
 254 - Govt: Boys High School Jadeed Primary Section (Female) New,25.13815,62.32402,Female,Balochistan,0,3,0,934
 252 - Govt: Boys Primary School Sorabi (Female) New,25.138419099146347,62.32747020166704,Female,Balochistan,0,3,0,1060
 251 - Local Government Office- Gwadar (Male),25.138509042401118,62.32296758397543,Male,Balochistan,3,0,1272,0
 306 - Govt: Primary School School Kargoshiki. (Comb),25.1583,61.90641,Combined,Balochistan,1,1,404,304
 248 - Govt: Boys Middle School Shambay Sumail Gwadar (Male) New,25.1705,62.33211,Male,Balochistan,3,0,1487,0
 249 - Govt: Girls High School Shambay Sumail- high section . (female),25.17069,62.33216,Female,Balochistan,0,3,0,1291
 250 - Govt: Boys High School Shambay Sumail- Primary section . (Comband),25.17209,62.33248,Combined,Balochistan,2,2,1055,843
 356 - Govt:  High School Ormara. (Comb),25.20425,64.63625,Combined,Balochistan,2,2,648,567
