StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
294,Govt: Middle School Jarasi Banda,32.82315059630692,71.03005819168331,Combined,KPK,2,1,862,576
291,Govt: Girls Primary School Banjakh Banda,32.83641328291649,71.01687168199683,Combined,KPK,1,1,498,329
299,Govt: Primary School Paki Gudi Khel,32.8448377327917,71.05848444776892,Combined,KPK,1,1,593,382
298,Govt: Primary School Hukami Banda,32.844838614820475,71.05846436868453,Combined,KPK,1,1,679,475
292,Govt: Girls Primary School Mina Khel,32.85061188601187,71.04038089318121,Male,KPK,2,0,1068,0
287,Govt: Primary School Kastir Banda,32.85771570158511,70.97959207058892,Male,KPK,2,0,995,0
301,Govt: Primary School Koi Maidan,32.860953667328445,71.12342822383864,Combined,KPK,1,1,697,401
290,Govt: High School Kari Dhand,32.867488910993885,70.9780219277951,Female,KPK,0,3,0,1200
295,Govt: Higher Secondary School Shah Salim,32.87605002969149,71.02284979949411,Male,KPK,2,0,1030,0
297,Govt: Primary School Dagar Sar,32.87848151904115,71.04689370298405,Combined,KPK,1,1,677,482
289,Govt: Middle School Zarin Killa,32.88290523209,70.99335608243022,Male,KPK,3,0,1668,0
281,Govt: Primary School Mona Khel,32.892127166702075,70.97876601060193,Female,KPK,0,2,0,898
280,Govt: Middle School Mona Khel,32.89223167159896,70.97865377119682,Male,KPK,3,0,1201,0
282,Govt: Girls Middle School Nara Banda,32.89589819936333,71.02490499209729,Combined,KPK,2,1,760,580
283,Govt: Middle School Jengarzai Banda,32.899190585573905,71.04439238267432,Male,KPK,2,0,1054,0
336,Govt: Middle School Odien Shah,32.91749827844333,70.97353502993825,Male,KPK,3,0,1287,0
285,Govt: Girls Primary School Chak Manzai,32.92169613130377,70.996297313971,Male,KPK,2,0,1039,0
337,Govt: Girls Middle School odien Shah,32.92245261327897,70.9792406690462,Female,KPK,0,2,0,942
270,Govt: Primary School Shawa Nasrati,32.926842142850994,71.06617130309898,Combined,KPK,2,1,871,593
267,Govt: Girls Primary School Bangi Killa,32.931195398591115,71.03610141298752,Female,KPK,0,2,0,1014
266,Govt: High School Bangi Killa,32.93282023724928,71.03379911496839,Male,KPK,3,0,1393,0
329,Govt: Girls Primary School Machaki Banda,32.933555543798,71.0212410145463,Combined,KPK,1,1,630,485
330,Govt: Primary School Jattan Banda,32.934163834918074,71.00632807268097,Combined,KPK,2,2,847,625
264,Govt; Middle School Mianki Banda,32.94367755261016,71.01951879789262,Male,KPK,2,0,1158,0
269,Govt: Girls Middle School Shahidan Banda,32.94456278548569,71.06620606544807,Female,KPK,0,2,0,901
268,Govt: High School Shahidan Banda,32.945805705408404,71.06516884226846,Male,KPK,3,0,1160,0
265,Govt: Girls High School Minaki Banda,32.95115413000542,71.01860011853664,Female,KPK,0,2,0,883
345,Govt: High School Manzini Banda,32.9520967012779,70.95485644298802,Male,KPK,2,0,945,0
331,Govt: Higher Secondary School Jahangiri Banda,32.95562510197431,70.99733906578467,Combined,KPK,1,1,817,641
327,Govt: Primary School Inzar Khel,32.960054873720104,71.01297511420688,Male,KPK,2,0,803,0
343,Govt: Girls Primary School Laghri Banda,32.961436700788944,70.95181966818006,Male,KPK,2,0,933,0
344,Govt: Girls Primary School Laghri Banda,32.961436700788944,70.9518496681801,Female,KPK,0,2,0,758
258,Govt Primary School Wagi banda,32.96325687009607,71.05284527738576,Male,KPK,3,0,1212,0
326,Govt: Primary School Inzar Muhammad Jan,32.96561383203951,71.00651449620129,Combined,KPK,1,1,671,537
328,Govt: Girls Primary School Inzar Muhammad,32.96561383203951,71.0065444962013,Female,KPK,0,2,0,711
335,Govt: Girls Primary School Gul Adam Banda,32.965927775950846,70.97723417136268,Combined,KPK,2,1,830,661
259,Govt;Girls Primary School Wagi banda,32.966652970739034,71.05508836281372,Female,KPK,0,2,0,865
334,Govt: Girls Primary School Yaghi Mosakan,32.96702346839421,70.98234641875486,Combined,KPK,1,1,406,313
340,Govt: Primary School Niaz Muhammad Koroona,32.96927993580663,70.96685094340084,Male,KPK,2,0,1126,0
342,Govt: High School Khujaki Killa,32.975801787838186,70.95580026397049,Combined,KPK,1,1,582,559
260,Govt;High School Gandiri Khattak,32.979215759646515,71.05529201043527,Male,KPK,3,0,1370,0
300,Improvised Polling Station Monra,32.98089414013866,71.20578060537294,Combined,KPK,1,1,260,147
319,Govt: Primary School Alam Sheri,32.98125728384915,70.92189284376434,Male,KPK,2,0,1024,0
263,Govt;Girls Community Model School Nusrat Abad,32.9825768026548,71.04251119260195,Female,KPK,0,2,0,1028
261,Govt; Girls Primary School Gandiri Khattk,32.98328066283328,71.05803171089717,Female,KPK,0,2,0,1088
324,Govt: Girls high School Khojaki Tattar Khel,32.98498471189161,70.9486075427168,Male,KPK,3,0,1103,0
262,Govt;Primary School Nusrat Abad,32.98694465838992,71.04227791216549,Male,KPK,3,0,1281,0
247,Govt: Girls Primary School Zarki Nasrati,32.98706205134575,71.08443277815343,Female,KPK,0,2,0,911
250,Govt;Primary School Zarki Nasrati,32.98706205134575,71.0844627781534,Combined,KPK,2,1,778,555
246,Govt: High School Zarki Nasrati,32.98755242608173,71.08392932164357,Male,KPK,3,0,1242,0
333,Govt: Middle School Dagar Killa,32.988171615892796,71.00230512453544,Female,KPK,0,3,0,1501
325,Govt: Primary School Tatter Khel,32.989211048316406,70.94380926645235,Female,KPK,0,2,0,884
338,Govt: Primary School Marawatan Banda,32.99228771729297,70.9709975317343,Male,KPK,3,0,1075,0
323,Govt: High School Tatter Khel,32.99439645903474,70.95267281903553,Combined,KPK,2,1,835,696
332,Govt: Primary School Dagar Killa,32.99749245750364,71.01029969159435,Male,KPK,4,0,1816,0
321,Govt: Grils Middle School Muhabbati Killa,32.99980257417579,70.94487937489748,Male,KPK,3,0,1197,0
256,Govt;Girls Primary School Muhabat Khel Bogara,33.000299430695186,71.03387115936076,Male,KPK,3,0,1111,0
257,Govt;Girls Primary School Muhabat khel Bogara,33.000299430695186,71.0339011593608,Female,KPK,0,2,0,918
255,Govt;Girls High School Bogara,33.00086974016736,71.02446084768394,Female,KPK,0,2,0,1110
322,Govt: Girls Primary School Muhabbati Killa Gharbi,33.001154718669646,70.94061813056511,Female,KPK,0,3,0,913
254,Govt;Higher Secondory School Bogara,33.006120076025155,71.02268115501556,Male,KPK,3,0,1340,0
244,Govt: Girls High School Takhte Nasrati,33.00660076221374,71.0843073182279,Male,KPK,3,0,1692,0
243,Govt: High School Takhte Nasrati,33.00712901335918,71.08420750495713,Male,KPK,2,0,908,0
249,Govt: Girls Primary School Takhte Nasrati Payan,33.00749095280893,71.07641851953029,Female,KPK,0,2,0,1064
253,Govt;Girls Primary School Khada banda,33.00804851178347,71.05203472194941,Female,KPK,0,2,0,865
245,Govt: Primary School Takhte Nasrati No. 1,33.0081465206525,71.08502283002858,Female,KPK,0,4,0,2039
248,Govt: Girls Degree College Takhte Nasrati,33.0084289913588,71.07196207149444,Male,KPK,3,0,1308,0
251,Govt;Degree College Takht Nasrati,33.0084289913588,71.0719920714944,Combined,KPK,2,1,806,670
