StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
314,Govt: Primary School Hindi Khel (Comb),32.7945,70.50967,Combined,KPK,2,2,1466,1175
316,Govt Primary School Momitan Khel Jani Khel (Khalid) (Comb),32.81017,70.4712,Combined,KPK,2,2,1920,1551
229,Govt: Primary School Nar Sher Khan (Comb),32.81104,70.75896,Combined,KPK,2,2,798,559
233,GPS Nar Pir Mukamal Shah- Kotka Syed Anwar Shah,32.82302,70.73439,Combined,KPK,2,2,773,555
317,Govt: Middle School Memhood Wali Noor Jani Khel (Comb) PS-I,32.8241,70.43059,Combined,KPK,2,2,1676,1451
318,Govt: Middle School Memhood Wali Noor Jani Khel (Comb) PS-II,32.8241,70.43062,Combined,KPK,2,2,1592,1299
349,Govt: Model High School Nar Shukrullah (Comb),32.83126,70.72249,Combined,KPK,2,2,1336,1103
311,Govt: High School Jani Khel (Comb) PS-II,32.83231,70.50069,Combined,KPK,2,2,755,581
312,Govt: High School Jani Khel (Comb) PS-I,32.83231,70.50072,Combined,KPK,2,2,1025,694
313,Govt: High School Jani Khel (Comb) PS-III,32.83231,70.50075,Combined,KPK,2,2,1482,987
310,Govt: Primary School Malik Shahi (Comb),32.83242,70.51398,Combined,KPK,2,2,1203,692
130,Govt: Girls Primary School Landidak Levet (Comb),32.83716,70.64868,Combined,KPK,2,2,859,520
154,Govt: Primary School Hawed Khass (Comb),32.83816,70.60847,Combined,KPK,2,2,1376,1085
153,Govt: Primary School Multani Landidak (Comb),32.8417,70.63424,Combined,KPK,2,1,560,337
230,Govt: Middle School Nar Hafiz Abad (Comb) PS-I,32.84475,70.75548,Combined,KPK,2,1,560,396
231,Govt: Middle School Nar Hafiz Abad (Comb) PS-II,32.84475,70.75551,Combined,KPK,2,2,709,579
129,Govt: Primary School Khansuba (Comb),32.84943,70.62444,Combined,KPK,2,1,480,398
232,Govt: Primary School Nar Sher Mast (Amanullah) (Comb),32.85149,70.71695,Combined,KPK,2,2,1180,885
327,GGMS Toor Kakki (Male) PS-I,32.85236,70.68327,Male,KPK,3,0,824,0
131,Govt: High School Landidak Naimat Garh (Comb) PS-I,32.85307,70.60377,Combined,KPK,2,1,566,403
132,Govt: High School Landidak Naimat Garh (Comb) PS-II,32.85307,70.6038,Combined,KPK,2,2,1098,947
151,Govt Higher Secondary School Hakeem Haved (Male) PS-I,32.85363,70.61366,Male,KPK,4,0,2174,0
152,Govt Higher Secondary School Hakeem Haved (Female) PS-II,32.85363,70.61369,Female,KPK,0,3,0,1062
