PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 247 - GGHS No.3 Hafiz Samandar (F),31.83226888697218,70.90149087193123,Female,KPK,0,4,0,1211
 249 - GGPS Bura Shah D.I.Khan (F),31.83397272,70.9063208,Female,KPK,0,3,0,1065
 250 - Gomal Medical College D.I.Khan  East Portion (M),31.83544962,70.90703329,Male,KPK,4,0,1241,0
 245 - GGHSS No.1 Nizam Khan (F),31.835528894218427,70.9034033730127,Female,KPK,0,3,0,1122
 1 - GDC Paharpur,31.83553,70.90341,Male,KPK,3,0,930,0
 244 - GGHSS No.1 Nizam Khan (M),31.83553,70.90344,Male,KPK,3,0,1159,0
 251 - GGDC No.1 D.I.Khan (F),31.83566687,70.90627355,Female,KPK,0,3,0,1039
 254 - GGDC No.1 D.I.Khan ( C ),31.83566937,70.90624704,Combined,KPK,2,2,639,554
 246 - GPS No.3 D.I.Khan (M),31.83693097,70.90206503,Male,KPK,4,0,1404,0
 255 - GHSS No.2 10th Class Quaid Block D.I.Khan (M),31.83851382,70.90103636,Male,KPK,3,0,1114,0
 256 - GHS No.6 D.I.Khan R/Portion (F),31.8386867,70.89989799,Female,KPK,0,3,0,1047
 259 - GGHS Sherazi No.8 D.I.Khan (M),31.83926687,70.90539129,Male,KPK,4,0,1136,0
