PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 15 - GPS Tarr,34.57939690646965,71.61976946936355,Combined,FATA,2,1,1019,746
 97 - GPS Khairabad  Nawagai,34.64608717108761,71.26169390713636,Combined,FATA,2,1,773,597
 167 - GGHS Ghazi Baba,34.7222083,71.4914635,Combined,FATA,1,1,525,331
 168 - GPS Naranj Arang,34.7222083,71.4914935,Combined,FATA,3,1,1185,721
 172 - GPS Walai Arang,34.7222083,71.4915235,Combined,FATA,1,1,635,454
 173 - GPS Ardu Arang,34.7222083,71.4915535,Combined,FATA,2,1,899,569
 175 - GMS Bado Arang,34.7222083,71.4915835,Combined,FATA,3,1,1053,687
 105 - GPS Doda,34.7266631,71.514482,Combined,FATA,2,1,999,796
 17 - Veternory Hospital Panjkora  PS I,34.7292072,71.5139197,Combined,FATA,2,1,774,406
 18 - Veternory Hospital Panjkora  PS II,34.7292072,71.5139497,Combined,FATA,3,1,1035,467
 20 - GPS Sarlara,34.7292072,71.5139797,Female,FATA,0,1,0,857
 25 - GPS Kohi  Sar  Barang,34.7292072,71.5140097,Combined,FATA,2,1,922,673
