StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
124,GPS Khap Yanga (M/F),33.37527,70.50389,Combined,FATA,1,1,334,115
70,GPS Palosin Wazir (M/F),33.42,70.58889,Combined,FATA,2,1,1677,468
117,BHU Manduri (Male),33.44722,70.44473,Male,FATA,2,0,1538,0
118,GGMS Manduri (Female),33.44722,70.44476,Female,FATA,0,2,0,1124
120,GPS Ahmadi Shama (M/F),33.44722,70.44479,Combined,FATA,1,1,549,411
121,GGPS Chappri (M/F),33.44722,70.44482,Combined,FATA,1,1,903,681
71,improvise Gulishing Wazir (M/F),33.45778,70.56445,Combined,FATA,1,1,909,166
72,GPS Doll Ragha (M/F),33.46278,70.56389,Combined,FATA,1,1,1070,535
73,GPS Chapper (M/F),33.46305,70.56306,Combined,FATA,2,1,1225,794
122,GPS Sara Ghorga (M/F),33.48917,70.40361,Combined,FATA,1,1,561,424
123,GPS Talo Kunj (M/F),33.49472,70.36694,Combined,FATA,1,1,428,199
74,GPS Tari Khoidad Khel (M/F),33.49778,70.69528,Combined,FATA,1,1,714,287
78,GPS Zawa (M/F),33.49805,70.69473,Combined,FATA,1,1,623,306
76,BHU Qurat (M/F),33.49805,70.69528,Combined,FATA,1,1,420,202
111,GHS Shah Ibrahaim (Male),33.49833,70.37778,Male,FATA,2,0,1173,0
114,CHC Bagan (M/F),33.49917,70.38139,Combined,FATA,1,1,976,765
119,GGPS Uhat (M/F),33.49917,70.38142,Combined,FATA,1,1,679,529
116,GGPS Bagan (Female),33.49944,70.38306,Female,FATA,0,2,0,1336
112,GGPS Bagzai (Female),33.51694,70.34444,Female,FATA,0,1,0,829
115,GHS Bagan (Male),33.51694,70.34447,Male,FATA,2,0,1689,0
110,GGHS ALizai (Female),33.53361,70.35001,Female,FATA,0,2,0,1377
109,GHS Alizai (Male),33.53583,70.34834,Male,FATA,2,0,1799,0
75,GPS Saper Kot (M/F),33.54472,70.68555,Combined,FATA,1,1,646,252
69,GPS Pastawani (M/F),33.54805,70.44972,Combined,FATA,1,1,902,671
77,GPS Omigai (M/F),33.55833,70.59528,Combined,FATA,1,1,356,133
106,GPS Maro Khel (M/F),33.56667,70.32639,Combined,FATA,1,1,279,198
68,GPS Kudalai (M/F),33.56722,70.52695,Combined,FATA,1,1,466,238
107,GHS Bilyamin (Male),33.57083,70.30473,Male,FATA,1,0,1026,0
108,GGMS Bilyamin (Female),33.57555,70.31111,Female,FATA,0,1,0,731
67,GPS Mundan (M/F),33.57722,70.53861,Combined,FATA,1,1,507,354
104,GMS Arawali (M/F),33.58889,70.32361,Combined,FATA,1,1,949,708
63,GPS Jalamai (M/F),33.59472,70.36444,Combined,FATA,1,1,471,325
64,GPS Narari (M/F),33.59472,70.36447,Combined,FATA,1,1,657,554
102,GPS Tangai (Male/Female),33.59833,70.30139,Combined,FATA,1,1,322,257
66,GGPS Manatoo (F),33.615,70.48722,Female,FATA,0,1,0,826
105,GHS Makhizai (M/F),33.6175,70.30167,Combined,FATA,1,1,776,533
65,GHS Manatoo (M),33.62194,70.48416,Male,FATA,2,0,1251,0
82,GGPS Kalki Mela Marghan (M/F),33.63389,70.52889,Combined,FATA,2,1,1334,941
101,GPS Mingak (M/F),33.63583,70.30305,Combined,FATA,1,1,298,180
99,GHS Sakhi Ahmad Shah (Male),33.63945,70.31667,Male,FATA,1,0,898,0
103,CHC Wali  China (M/F),33.64,70.21361,Combined,FATA,1,1,221,116
80,GGPS Shamkhai (M/F),33.64167,70.51056,Combined,FATA,1,1,661,523
81,GGPS Kotki (M/F),33.64194,70.5239,Combined,FATA,1,1,414,273
100,GGPS Sakhi Ahmad Shah (Femal),33.64278,70.31667,Female,FATA,0,1,0,622
98,GPS Shashu (M/F),33.65445,70.32166,Combined,FATA,1,1,637,463
62,GPS Gawakai (M/F),33.65778,70.40445,Combined,FATA,1,1,712,475
79,GPS Navi Killi (M/F),33.66389,70.50166,Combined,FATA,1,1,1028,680
85,GPS Marghan Dara (M/F),33.66722,70.55278,Combined,FATA,1,1,609,414
97,GGPS Durrani (Female),33.67028,70.31944,Female,FATA,0,2,0,1086
96,GPS Durrani (Male),33.67111,70.32056,Male,FATA,2,0,1556,0
48,IPS New Suffa Model School at warasta (M/F),33.67861,70.41056,Combined,FATA,2,1,1165,910
94,GHS Kochi (Male),33.68084,70.30389,Male,FATA,2,0,1503,0
95,GGPS Kochi (Female),33.68084,70.31223,Female,FATA,0,1,0,985
83,GGPS Kot Naki Marghan (M/F),33.68111,70.59,Combined,FATA,2,2,1877,1296
84,GPS Tatang (M/F),33.68139,70.46555,Combined,FATA,1,1,1055,738
130,GHS Pir Qayyum (Male),33.68639,70.32667,Male,FATA,4,0,3563,0
131,GGPS Pir Qayyum (Female),33.69,70.32806,Female,FATA,0,3,0,2679
86,GPS Mirmat Khel,33.69056,70.58694,Combined,FATA,1,1,280,175
87,GPS Samandar Kalay,33.69056,70.58697,Combined,FATA,1,1,435,329
89,GPS Wam ALi Sjher Zai (M/F),33.69056,70.587,Combined,FATA,1,1,423,219
90,GHS Tindo (M),33.69473,70.40611,Male,FATA,2,0,1700,0
91,GGHS Tindo (F),33.69556,70.39833,Female,FATA,0,2,0,1298
125,Town Committee Office Sadda (Male),33.70083,70.32972,Male,FATA,3,0,2138,0
126,GPS Sadda (Female),33.7025,70.3275,Female,FATA,0,2,0,1570
88,GPS Dar Kaly (M/F),33.70389,70.59139,Combined,FATA,2,2,1717,1217
129,Tehsil Headquarter Office Sadda (M/F),33.70444,70.32694,Combined,FATA,1,1,767,644
127,GHS Sadda (Male),33.70444,70.33945,Male,FATA,2,0,1355,0
128,GGHS Sadda (Female),33.70583,70.34084,Female,FATA,0,1,0,1030
46,GPS Wrasta Mila (M/F),33.71139,70.55862,Combined,FATA,1,1,518,316
