PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 190 - Islambad Model College for Girls  Rawat Part-I,33.49283,73.19247,Male,Islamabad,4,0,1079,0
 191 - Islambad Model College for Girls  Rawat  Part-II,33.49283,73.1925,Female,Islamabad,0,4,0,983
 188 - Uzair Ali Shaheed Model School for Boys (I-X)- Bani Saran  Part-I,33.49471,73.18711,Male,Islamabad,4,0,1100,0
 189 - Uzair Ali Shaheed Model School for Boys (I-X)- Bani Saran  Part-II,33.49471,73.18714,Female,Islamabad,0,4,0,961
 183 - Hammad Aziz Shaheed Model School for Boys (I-V)- Bhangrial Kurd,33.50423,73.16175,Combined,Islamabad,2,2,647,626
 182 - Islamabad Model School for Girls (I-VIII) Bhangreel,33.50436,73.16196,Combined,Islamabad,1,1,343,299
 180 - Islamabad Model School for Girls (I-VIII) Mohri Rawat  Part-I,33.50924,73.20284,Male,Islamabad,4,0,1021,0
 181 - Islamabad Model School for Girls (I-VIII) Mohri Rawat  Part-II,33.50924,73.20287,Female,Islamabad,0,3,0,897
 187 - Abdullah Ghani Shaheed Model School for Boys (I-V)- Kortana,33.51085,73.17682,Combined,Islamabad,2,2,474,408
 176 - Islamabd Model School for Boys (I-V) Chak Mohri  Sihala  Part-I,33.5179659,73.2280639,Male,Islamabad,3,0,803,0
 177 - Islamabd Model School for Boys (I-V) Chak Mohri  Sihala  Part-II,33.5179659,73.2280939,Female,Islamabad,0,3,0,721
 178 - Islamabd Model School for Boys (I-V) Chak Mohri  Sihala   Part-III,33.5179659,73.2281239,Male,Islamabad,3,0,884,0
 179 - Islamabd Model School for Boys (I-V) Chak Mohri  Sihala   Part-IV,33.5179659,73.2281539,Female,Islamabad,0,3,0,834
 234 - Islamabad Model School For Girls-    (I -VIII)  Rajwal (Part-I),33.52088,73.1325,Male,Islamabad,4,0,1031,0
 184 - Islambad Model School for Girls ( I-V)  Rawat  Part-I,33.52106,73.22773,Male,Islamabad,3,0,928,0
 185 - Islambad Model School for Girls ( I-V)  Rawat   Part-II,33.52106,73.22776,Female,Islamabad,0,4,0,829
 186 - Islambad Model School for Girls ( I-V)  Rawat,33.52106,73.22779,Combined,Islamabad,2,2,637,591
 205 - Arhaam Khan Shaheed Model School for Boys (I-V)- Mohra Kalu  Part-I,33.52686,73.11669,Male,Islamabad,3,0,835,0
 206 - Arhaam Khan Shaheed Model School for Boys (I-V)- Mohra Kalu  Part-II,33.52686,73.11672,Female,Islamabad,0,2,0,633
 204 - Behram Khan Shaheed Model School for Boys (I-V)- Humak,33.53487,73.13839,Combined,Islamabad,2,2,621,510
 192 - Army Public School- (DHA-PH-2)  Part-I,33.53557,73.1317,Male,Islamabad,3,0,900,0
 193 - Army Public School- (DHA-PH-2)  Part-II,33.53557,73.13173,Male,Islamabad,3,0,911,0
 194 - Army Public School  (DHA-PH- Part-III,33.53557,73.13176,Female,Islamabad,0,3,0,850
 195 - Army Public School  (DHA-PH-2)  Part-IV,33.53557,73.13179,Female,Islamabad,0,3,0,847
 203 - Islambad Model School for Girls (I-V) Humak,33.53596,73.13882,Combined,Islamabad,2,2,697,625
 208 - Islamabad Model College for Girls Mohra Nagial Part-I,33.53761,73.11697,Male,Islamabad,4,0,1280,0
 209 - Islamabad Model College for Girls Mohra Nagial Part-II,33.53761,73.117,Male,Islamabad,4,0,1279,0
 210 - Islamabad Model College for Girls Mohra Nagial  Part-III,33.53761,73.11703,Female,Islamabad,0,4,0,1100
