StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
22,The Gardian School West Service Road New Shakrial (Male),33.63956,73.10809,Male,Islamabad,4,0,1156,0
23,The Gardian School West Service Road New Shakrial (Female),33.63956,73.10812,Female,Islamabad,0,3,0,832
24,The Gardian School West Service Road New Shakrial (Male),33.63956,73.10815,Male,Islamabad,4,0,1183,0
25,The Gardian School West Service Road New Shakrial (Female),33.63956,73.10818,Female,Islamabad,0,3,0,927
20,Haider Amin Shaheed Model School for Boys (I-X)- Khanna Nai Abadi (Male),33.6429536,73.1107314,Male,Islamabad,3,0,899,0
21,Haider Amin Shaheed Model School for Boys (I-X)- Khanna Nai Abadi(Female),33.6429536,73.1107614,Female,Islamabad,0,3,0,698
19,Islamabad Model School for Girls  (I-X) New Shakrial   (Female),33.6432003,73.1132463,Female,Islamabad,0,2,0,426
16,Islamabad Model School for Girls   (I-X) New Shakrial (Male),33.6432003,73.1132763,Male,Islamabad,4,0,1150,0
17,Islamabad Model School for Girls   (I-X) New Shakrial (Female),33.6432003,73.1133063,Female,Islamabad,0,3,0,838
18,Islamabad Model School for Girls  (I-X) New Shakrial   (Male),33.6432003,73.1133363,Male,Islamabad,2,0,581,0
26,Islamabad Model School for Boys  (I-X) Khana New Abdi- (Male),33.64393,73.1112,Male,Islamabad,4,0,1304,0
27,Islamabad Model School for Boys  (I-X) Khana New Abdi- (Female),33.64393,73.11123,Female,Islamabad,0,2,0,960
28,Islamabad Model School for Boys  (I-X) Khana New Abdi- (Male),33.64393,73.11126,Male,Islamabad,3,0,691,0
29,Islamabad Model School for Boys  (I-X) Khana New Abdi-(Female),33.64393,73.11129,Female,Islamabad,0,3,0,551
320,Islamabad Model School  (I-V) No-2  I-9/1 (Male),33.6521,73.05315,Male,Islamabad,4,0,1155,0
321,Islamabad Model School  (I-V) No-2  I-9/1 (Female),33.6521,73.05318,Female,Islamabad,0,4,0,1102
322,Islamabad Model School- (I-V)- No-2- I-9/1- (Male),33.6521,73.05321,Male,Islamabad,2,0,575,0
323,Islamabad Model School- (I-V)- No-2- I-9/1- (Female),33.6521,73.05324,Female,Islamabad,0,2,0,578
324,Islamabad Model College For Girls (VI-XII)   I-9/1 (Male),33.65273,73.05284,Male,Islamabad,4,0,1230,0
325,Islamabad Model College For Girls (VI-XII)   I-9/1 (Female),33.65273,73.05287,Female,Islamabad,0,4,0,1055
14,Usama Tahir Shaheed Model College for Boys (I-XII)- Jaba Tali (Male),33.6529158,73.1380953,Male,Islamabad,4,0,1377,0
15,Usama Tahir Shaheed Model College for Boys (I-XII)- Jaba Tali (Female),33.6529158,73.1381253,Female,Islamabad,0,3,0,1228
13,Al-Uswa Model School New Sohan (Female),33.65401,73.11061,Female,Islamabad,0,2,0,736
10,Islamabad Model School for Girls  (I-VIII) Sohan  (Female),33.6546982,73.1116528,Female,Islamabad,0,1,0,421
7,Islamabad Model School for Girls  (I-VIII) Sohan  (Male),33.6546982,73.1116828,Male,Islamabad,4,0,987,0
8,Islamabad Model School for Girls  (I-VIII) Sohan  (Female),33.6546982,73.1117128,Female,Islamabad,0,3,0,844
9,Islamabad Model School for Girls  (I-VIII) Sohan  (Male),33.6546982,73.1117428,Male,Islamabad,3,0,1520,0
5,Yaseen Shaheed Model School for Boys (I-V)- Sohan- (Male),33.6549411,73.0967863,Male,Islamabad,4,0,1434,0
6,Yaseen Shaheed Model School for Boys (I-V)- Sohan (Female),33.6549411,73.0968163,Female,Islamabad,0,4,0,1224
312,Usama Bin Tariq Shaheed Model School for Boys (VI-X)- I-9/4- No.1 (Male),33.6560728,73.063125,Male,Islamabad,4,0,1192,0
313,Usama Bin Tariq Shaheed Model School for Boys (VI-X)- I-9/4- No.1 (Female),33.6560728,73.063155,Female,Islamabad,0,4,0,1115
316,Islamabad Model School For Girls (VI-X)  I-9/4 (Combined),33.65639,73.06068,Combined,Islamabad,2,2,412,370
11,Al-Raza Public School Sohan (Male),33.65663,73.10892,Male,Islamabad,4,0,1259,0
12,Al-Raza Public School Sohan (Female),33.65663,73.10895,Female,Islamabad,0,3,0,947
317,Islamabad Model School No.1  (I-V)   I-9/4 (Male),33.657289,73.0649259,Male,Islamabad,4,0,1151,0
318,Islamabad Model School No.1  (I-V)   I-9/4 (Female),33.657289,73.0649559,Female,Islamabad,0,4,0,1031
319,Islamabad Model School No.1  (I-V)   I-9/4 (Combined),33.657289,73.0649859,Combined,Islamabad,2,2,447,412
314,Maher Ali Azam Shaheed Model School for Boys (VI-X)- I-9/4- No.2 (Male),33.65776,73.06151,Male,Islamabad,3,0,895,0
315,Maher Ali Azam Shaheed Model School for Boys (VI-X)- I-9/4- No.2 (Female),33.65776,73.06154,Female,Islamabad,0,3,0,771
301,Yasirullah Shaheed Model School for Boys (I-VIII)- I-8/1  (Combined),33.65924,73.07103,Combined,Islamabad,1,1,347,297
1,The Message School Sohan Islamabad   (Male),33.6600521,73.0984786,Male,Islamabad,4,0,1186,0
2,The Message School Sohan Islamabad  (Female),33.6600521,73.0985086,Female,Islamabad,0,3,0,923
3,The Message School Sohan Islamabad   (Male),33.6600521,73.0985386,Male,Islamabad,2,0,554,0
4,The Message School Sohan Islamabad  (Female),33.6600521,73.0985686,Female,Islamabad,0,2,0,477
302,Islamabad Model College  for Girls  I-8/4 (Male),33.6618235,73.0690276,Male,Islamabad,3,0,867,0
303,Islamabad Model College  for Girls  I-8/4 (Female),33.6618235,73.0690576,Female,Islamabad,0,3,0,748
304,Islamabad Model College  for Girls  I-8/4 (Male),33.6618235,73.0690876,Male,Islamabad,4,0,980,0
305,Islamabad Model College  for Girls  I-8/4 (Female,33.6618235,73.0691176,Female,Islamabad,0,4,0,1030
308,Islamabad Model School  for Girls (VI-X) I-8/1 (Male),33.66307,73.07083,Male,Islamabad,3,0,821,0
309,Islamabad Model School  for Girls (VI-X) I-8/1 (Female),33.66307,73.07086,Female,Islamabad,0,3,0,715
310,Islamabad Model School  for Girls (VI-X) I-8/1 (Male),33.66307,73.07089,Male,Islamabad,4,0,1352,0
311,Islamabad Model School  for Girls (VI-X) I-8/1 (Female),33.66307,73.07092,Female,Islamabad,0,4,0,1301
293,Islamabad Model College for Girls I-8/2 - (Male),33.66556,73.06831,Male,Islamabad,4,0,1106,0
294,Islamabad Model College for Girls I-8/2 - (Female),33.66556,73.06834,Female,Islamabad,0,4,0,1066
295,Islamabad Model College for Girls I-8/2 - (Male),33.66556,73.06837,Male,Islamabad,2,0,611,0
296,Islamabad Model College for Girls I-8/2 - (Female),33.66556,73.0684,Female,Islamabad,0,2,0,705
165,Islamabad Model School for Girls(I-X) Rawal Town (Male),33.6670443,73.1056388,Male,Islamabad,4,0,968,0
166,Islamabad Model School for Girls  (I-X) Rawal Town (Female),33.6670443,73.1056688,Female,Islamabad,0,3,0,863
167,Islamabad Model School for Girls (I-X) Rawal Town (Male),33.6670443,73.1056988,Male,Islamabad,4,0,1134,0
168,Islamabad Model School for Girls (I-X) Rawal Town (Female),33.6670443,73.1057288,Female,Islamabad,0,4,0,1027
160,Islamabad Model College for Girls Margalla Town.(Male),33.6700633,73.105685,Male,Islamabad,4,0,1418,0
161,Islamabad Model College for Girls Margalla Town.(Female),33.6700633,73.105715,Female,Islamabad,0,4,0,1219
162,Islamabad Model College for Girls Margalla Town.(Combined),33.6700633,73.105745,Combined,Islamabad,2,2,852,812
297,Islamabad Model College for Boys I-8/3 (Male),33.67188,73.07408,Male,Islamabad,4,0,1235,0
298,Islamabad Model College for Boys I-8/3 (Female),33.67188,73.07411,Female,Islamabad,0,4,0,1216
299,Islamabad Model College for Boys I-8/3 (Male),33.67188,73.07414,Male,Islamabad,4,0,1194,0
300,Islamabad Model College for Boys I-8/3 (Female),33.67188,73.07417,Female,Islamabad,0,4,0,1176
87,Fahad Ahmed Shaheed Model School College For Boys- Chakshahzad  (Male),33.67969,73.14201,Male,Islamabad,3,0,986,0
88,Fahad Ahmed Shaheed Model School College For Boys- Chakshahzad  (Male),33.67969,73.14204,Male,Islamabad,3,0,986,0
89,Fahad Ahmed Shaheed Model School College For Boys-Chakshahzad  (Female),33.67969,73.14207,Female,Islamabad,0,3,0,924
90,Fahad Ahmed Shaheed Model School College For Boys-Chakshahzad  (Female),33.67969,73.1421,Female,Islamabad,0,3,0,925
91,Fahad Ahmed Shaheed Model School College For Boys-Chakshahzad  (Female),33.67969,73.14213,Male,Islamabad,3,0,969,0
92,Fahad Ahmed Shaheed Model School College For Boys-Chakshahzad  (Female),33.67969,73.14216,Female,Islamabad,0,3,0,838
281,Islamabad Model School (I-V) No 10- G-9/1 (Male),33.6797,73.02977,Male,Islamabad,4,0,1158,0
282,Islamabad Model School (I-V) No 10- G-9/1 (Female),33.6797,73.0298,Female,Islamabad,0,3,0,1100
283,Islamabad Model School (I-V)  No 10- G-9/1 (Male),33.6797,73.02983,Male,Islamabad,3,0,733,0
284,Islamabad Model School (I-V) l No 10- G-9/1 (Female,33.6797,73.02986,Female,Islamabad,0,3,0,688
291,Islamabad Model School- (I-V)- AIOU- Colony H-8 (Male),33.68123,73.05309,Male,Islamabad,3,0,693,0
292,Islamabad Model School- (I-V)- AIOU- Colony H-8 (Female),33.68123,73.05312,Female,Islamabad,0,2,0,491
274,Islamabad Model School  (I-V)  No.1 G-9/4 (Male),33.68413,73.03856,Male,Islamabad,3,0,845,0
275,Islamabad Model School  (I-V)  No.1 G-9/4 (Female),33.68413,73.03859,Female,Islamabad,0,3,0,878
276,Islamabad Model School  (I-V)  No.1 G-9/4 (Combined),33.68413,73.03862,Combined,Islamabad,2,2,486,426
285,Islamabad Model School (I-V) No.3 G-9/2 (Male),33.68413,73.03865,Male,Islamabad,4,0,1085,0
286,Islamabad Model School (I-V) No.3 G-9/2 (Female,33.68413,73.03868,Female,Islamabad,0,3,0,931
287,Islamabad Model School (I-V) No.3 G-9/2 (Male),33.68413,73.03871,Male,Islamabad,4,0,1125,0
288,Islamabad Model School (I-V) No.3 G-9/2 (Female),33.68413,73.03874,Female,Islamabad,0,4,0,979
277,Islamabad Model School  for Girls (I-X)  G-9/1 (Male),33.68534,73.03151,Male,Islamabad,3,0,785,0
278,Islamabad Model School  for Girls (I-X)  G-9/1 (Female),33.68534,73.03154,Female,Islamabad,0,3,0,801
279,Islamabad Model School  for Girls (I-X)  G-9/1 (Male),33.68534,73.03157,Male,Islamabad,4,0,1141,0
280,Islamabad Model School  for Girls (I-X)  G-9/1 (Female),33.68534,73.0316,Female,Islamabad,0,4,0,1078
269,Adnan Hussain Shaheed Model School for Boys (VI-XII)- G-9/4  (Male),33.6885,73.03756,Male,Islamabad,4,0,1104,0
270,Adnan Hussain Shaheed Model School for Boys (VI-XII)- G-9/4  (female),33.6885,73.03759,Female,Islamabad,0,4,0,1045
251,Islamabad Model School  (I-V) No.3 G-8/1 (Male),33.68885,73.04938,Male,Islamabad,4,0,1277,0
252,Islamabad Model School  (I-V) No.3 G-8/1 (Female),33.68885,73.04941,Female,Islamabad,0,4,0,1109
289,Islamabad Model College for Girls (VI-XII)  G-9/2 (Male),33.68889,73.02595,Male,Islamabad,3,0,928,0
290,Islamabad Model College for Girls (VI-XII)  G-9/2 (Female),33.68889,73.02598,Female,Islamabad,0,3,0,725
253,Islamabad Model School  (I-V) No.4 G-9/2 (Male),33.68949,73.02448,Male,Islamabad,4,0,1144,0
254,Islamabad Model School  (I-V) No.4 G-9/2 (Female),33.68949,73.02451,Female,Islamabad,0,4,0,996
