PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 57 - Aamish Salman Shaheed Model School for Boys (I-V)- Tarnol (Male) Part-I,33.6024862,73.0155374,Male,Islamabad,3,0,998,0
 58 - Aamish Salman Shaheed Model School for Boys (I-V)- Tarnol (Female) Part-II,33.6024862,73.0155674,Female,Islamabad,0,3,0,764
 59 - Aamish Salman Shaheed Model School for Boys (I-V)- Tarnol (Male) Part-III,33.6024862,73.0155974,Male,Islamabad,4,0,1213,0
 60 - Aamish Salman Shaheed Model School for Boys (I-V)- Tarnol (Female) Part-IV,33.6024862,73.0156274,Female,Islamabad,0,3,0,922
 64 - Uzair Ahmed Shaheed Model School for Boys (I-V)- Pind Parian  (Male) Part-I,33.6024862,73.0156574,Male,Islamabad,4,0,1370,0
 65 - Uzair Ahmed Shaheed Model School for Boys (I-V)- Pind Parian  (Female) Part-II,33.6024862,73.0156874,Female,Islamabad,0,3,0,960
 66 - Uzair Ahmed Shaheed Model School for Boys (I-V)- Pind Parian (Combined),33.6024862,73.0157174,Combined,Islamabad,2,2,464,371
 67 - Islambad Model School For Girls (I-X) Badana Kalan (Male) Part-I,33.6024862,73.0157474,Male,Islamabad,4,0,1212,0
 68 - Islambad Model School For Girls (I-X) Badana Kalan (Female) Part-II,33.6024862,73.0157774,Female,Islamabad,0,3,0,835
 69 - Sher Nawaz Shaeed Model School For Boys Badana Kalan (Male) Part-I,33.6024862,73.0158074,Male,Islamabad,3,0,748,0
 70 - Sher Nawaz Model School For Boys Badana Kalan (Female) Part-II,33.6024862,73.0158374,Female,Islamabad,0,2,0,637
 71 - Sher Nawaz Shaheed Model School for Boys- Bhadana Kalan (Male) Part-III,33.6024862,73.0158674,Male,Islamabad,3,0,854,0
 72 - Sher Nawaz Shaheed Model School for Boys- Bhadana Kalan (Female) Part-IV,33.6024862,73.0158974,Female,Islamabad,0,3,0,728
 73 - Arbab Sadiq Ullah Shaheed Model School for Boys (I-X)- Naugazi (Male)  Part-I,33.6024862,73.0159274,Male,Islamabad,4,0,1153,0
 74 - Arbab Sadiq Ullah Shaheed Model School for Boys (I-X)- Naugazi  (female)  Part-II,33.6024862,73.0159574,Female,Islamabad,0,4,0,1088
 61 - Hasnain Sharif Shaheed Model College for Boys (VI-XII)- Tarnol (Male)  Part-I,33.6024862,73.0159874,Male,Islamabad,4,0,1193,0
 62 - Hasnain Sharif Shaheed Model College for Boys (VI-XII)- Tarnol (Female)  Part-II,33.6024862,73.0160174,Female,Islamabad,0,3,0,770
 63 - Hasnain Sharif Shaheed Model College for Boys (VI-XII)- Tarnol (Combined),33.6024862,73.0160474,Combined,Islamabad,2,2,568,495
 52 - Ripah University Near Haji Camp (Combined),33.61892,72.96615,Combined,Islamabad,2,2,609,542
