PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 404 - Government Boys High School Dandot,32.65721,72.95544,Combined,Punjab,2,2,873,834
 406 - Government Boys High School Dandot,32.65721,72.95547,Male,Punjab,2,0,1004,0
 408 - Government Boys High School Dandot,32.65721,72.9555,Combined,Punjab,2,2,910,850
 407 - Union Council Office Dandot,32.65731,72.95794,Female,Punjab,0,2,0,985
 403 - Government Girls High School Dandot,32.65741,72.95854,Combined,Punjab,2,2,667,682
 405 - Government Girls High School Dandot,32.65741,72.95857,Combined,Punjab,2,2,962,911
 409 - Government Mines Labour welfare Elementary School Pidh,32.6792,72.96956,Male,Punjab,2,0,1185,0
 410 - Government Mines Labour welfare Elementary School Pidh,32.6792,72.96959,Female,Punjab,0,2,0,1093
 442 - Government Boys High School Karooli,32.68108,72.77401,Combined,Punjab,2,2,781,774
 443 - Government Boys High School Karooli,32.68108,72.77404,Combined,Punjab,2,2,866,843
 441 - Government  Girls Primary School Malote,32.68779,72.80219,Combined,Punjab,1,1,430,392
 440 - Government Girls Primary School Warrala,32.69085,72.82462,Combined,Punjab,2,1,601,571
 402 - Government Model Primary School Nali Compus.2,32.69459,73.02692,Combined,Punjab,1,1,569,484
 400 - Government Girls Elementary Child Friendly School Ratucha,32.69873,72.9912,Combined,Punjab,2,2,844,838
 401 - Government Boys Elementary School Ratucha,32.70055,72.99292,Combined,Punjab,2,2,588,596
 412 - Government Girls Higher Secondary School Dalwal (Elementary Portion),32.70269,72.88861,Female,Punjab,0,4,0,1598
 411 - Government Boys High School Dalwal,32.70498,72.88784,Male,Punjab,4,0,1718,0
 417 - Government Boys High School Dalwal,32.70498,72.88787,Combined,Punjab,2,2,1090,988
 418 - Government Boys High School Dalwal,32.70498,72.8879,Combined,Punjab,2,2,930,874
 420 - Government Girls Community Model Elementary School Badshah Pur,32.71098,72.85962,Female,Punjab,0,2,0,758
 419 - Government Boys Primary School Badshah Pur,32.71175,72.85878,Male,Punjab,2,0,805,0
 439 - Government Elementary School Choi Jandran,32.71487,72.79089,Combined,Punjab,1,1,519,484
 452 - Government College for Women Choa Saidan Shah,32.71675,72.98607,Combined,Punjab,2,2,867,794
 451 - Government Boys Higher Secondary School Choa Saidan Shah,32.71729,72.98792,Combined,Punjab,1,1,418,393
 414 - Government Girls Elementary School Wahullah,32.71741,72.90127,Female,Punjab,0,3,0,1259
 398 - Government Girls Elementary School Minhala,32.71827,73.00722,Male,Punjab,2,0,1103,0
 399 - Government Girls Elementary School Minhala,32.71827,73.00725,Female,Punjab,0,2,0,983
 397 - Government Girls Elementary School Watli,32.71832,73.04801,Combined,Punjab,2,2,983,840
 450 - Government Girls Primary School No. 01  Choa Saidan Shah,32.71849,72.98632,Female,Punjab,0,3,0,1335
 413 - Government Boys Elementary School Waulah,32.71901,72.90655,Male,Punjab,3,0,1301,0
 415 - Government Boys Elementary School Wahullah,32.71901,72.90658,Male,Punjab,3,0,1202,0
 416 - Government Boys Elementary School Wahullah,32.71901,72.90661,Female,Punjab,0,2,0,1157
 453 - Bright Schoolar Academy Dalwal Road Choa Saidan Shah,32.71928,72.97959,Male,Punjab,2,0,1016,0
 454 - Bright Schoolar Academy Dalwal Road Choa Saidan Shah,32.71928,72.97962,Female,Punjab,0,2,0,1043
 449 - Government Elementary School Boys Choa Saidan Shah,32.72112,72.98655,Male,Punjab,3,0,1451,0
 392 - Government Primary School Ghairibwal Colony (Ismael Wal),32.72263,73.1377,Combined,Punjab,1,1,394,346
 455 - Government Girls Primary School No. 02  Choa Saidan Shah,32.72811,72.98738,Female,Punjab,0,2,0,881
 456 - Government Girls Primary School No. 02  Choa Saidan Shah,32.72811,72.98741,Male,Punjab,2,0,916,0
 428 - Government Girls Elementary School Tatral .,32.72829,72.92541,Female,Punjab,0,4,0,1573
 427 - Government Boys Primary School Tatral .,32.72862,72.92493,Male,Punjab,4,0,1676,0
 422 - Government Girls Elementary School Dalel Pur,32.72894,72.84113,Female,Punjab,0,4,0,1669
 421 - Government Boys High School Dalel Pur,32.73173,72.83548,Male,Punjab,4,0,1736,0
 457 - Government Girls High School Choa Saidan Shah,32.73225,72.98838,Combined,Punjab,2,2,1005,917
 448 - Holy Mission Science Higher Secondary School Chakwal Roadd Choa Saidan Shah,32.73255,72.99357,Combined,Punjab,2,2,954,806
 393 - Government Girls Primary School Sidhandi,32.73347,73.15864,Combined,Punjab,2,2,610,587
 436 - Government Boys High School Khair Pur,32.7344,72.78966,Male,Punjab,3,0,1132,0
 437 - Government Boys High School Khair Pur,32.7344,72.78969,Female,Punjab,0,2,0,1113
 438 - Government Boys High School Khair Pur,32.7344,72.78972,Combined,Punjab,2,2,856,822
 431 - Fauji Foundation Middle School Arrar,32.73497,72.88132,Combined,Punjab,2,2,624,652
 435 - Government Girls Elemantry School Maghal,32.73685,72.86309,Female,Punjab,0,4,0,1534
 434 - Government Boys Primary School Maghal .,32.73701,72.86398,Male,Punjab,4,0,1612,0
 423 - Government High School Dulmial,32.73764,72.92084,Male,Punjab,3,0,1313,0
 424 - Government Girls High School Dulmial,32.7388,72.92085,Female,Punjab,0,3,0,1234
 426 - Government Girls High School Dulmial,32.7388,72.92088,Female,Punjab,0,4,0,1515
 425 - Government High School Dulmial .(Primary Portion),32.73932,72.92203,Male,Punjab,4,0,1512,0
 447 - Government Girls Elementary School Khandoa,32.74158,72.73897,Combined,Punjab,2,2,835,871
 429 - Government Girls High School Dheri Syedan .,32.74609,72.89678,Combined,Punjab,2,1,602,549
 430 - Government Girls High School Dheri Syeedan,32.74609,72.89681,Combined,Punjab,2,2,632,613
 396 - Government Girls High School Saloi,32.74615,73.10014,Combined,Punjab,2,2,835,763
 394 - Government Boys High School Saloi,32.74666,73.09939,Male,Punjab,2,0,1133,0
 395 - Government Boys High School Saloi,32.74666,73.09942,Female,Punjab,0,2,0,1046
 369 - Government Girls High School Lehr Sultan Pur,32.7476,73.05482,Combined,Punjab,2,2,686,656
 370 - Government Girls High School Lehr Sultan Pur,32.7476,73.05485,Combined,Punjab,1,1,536,506
 375 - Government Boys Primary School Chumbi,32.74889,73.00845,Male,Punjab,3,0,1539,0
 376 - Government Girls Elementary School Chumbi,32.74932,73.00742,Female,Punjab,0,2,0,1323
 384 - Government Girls Elementary School Mohan,32.75309,73.11752,Combined,Punjab,1,1,566,532
 371 - Government Boys Elementary School Wahali Zair,32.75551,73.04327,Combined,Punjab,2,2,812,779
 372 - Government Boys Elementary School Wehali Zair,32.75551,73.0433,Combined,Punjab,2,2,783,752
 373 - Government Boys Primary School Khajoola,32.75569,72.98285,Combined,Punjab,2,2,726,710
 388 - Government Boys High School Ara,32.75579,73.21101,Combined,Punjab,2,2,784,768
 389 - Government Boys High School Ara,32.75579,73.21104,Combined,Punjab,1,1,579,564
 374 - Government Boys Elementary School Pir Makhdoom Jahania,32.75702,73.01083,Combined,Punjab,2,2,1099,988
 446 - Government Boys Primary School Chak Khushi,32.75834,72.75896,Combined,Punjab,1,1,443,432
 390 - Government Girls Primary School Dhok Gujar,32.75845,73.20403,Combined,Punjab,1,1,572,538
 379 - Government Boys Primary School Gorah,32.76284,73.09402,Male,Punjab,3,0,1175,0
 432 - Government Boys High School Dharyala Kahoon,32.76326,72.87888,Male,Punjab,3,0,1546,0
 433 - Government Girls Community Model Elementory School Dheryala Kahoon,32.76452,72.87991,Female,Punjab,0,4,0,1524
 380 - Government Girls Primary School Gorah,32.76482,73.09665,Female,Punjab,0,2,0,1172
 391 - Government Girls High School Ara,32.76521,73.20435,Combined,Punjab,1,1,488,444
 385 - Government Girls Primary School Pererha,32.76675,73.12938,Combined,Punjab,1,1,335,325
 444 - Government Elementary School Khokher Bala,32.76682,72.81511,Male,Punjab,3,0,1312,0
 445 - Government Girls High School Khokher Bala,32.76691,72.81326,Female,Punjab,0,3,0,1268
 381 - Child Friendly School Mehinwal,32.77108,73.12103,Combined,Punjab,2,2,1027,922
 377 - Government Boys Higher Secondary School Basharat,32.77983,73.09699,Male,Punjab,3,0,1482,0
 378 - Government Girls High School Basharat,32.78199,73.09422,Female,Punjab,0,3,0,1434
 382 - Government Girls Primary School Lari Shah Nawaz,32.7837,73.11086,Combined,Punjab,2,1,615,599
 383 - Government Girls Primary School Dera Rajgan,32.79002,73.12268,Combined,Punjab,2,1,641,577
 337 - Government High School Dhoke Tahlian,32.79305,72.97698,Combined,Punjab,1,1,421,436
 387 - Government Model Elementry School Lehri Kakan,32.80283,73.15289,Combined,Punjab,2,2,812,746
 386 - Government Boys Primary School Mohri,32.8075,73.16018,Combined,Punjab,2,2,1028,966
 338 - Government Boys Primary School Jaswal,32.81314,72.97276,Combined,Punjab,2,2,876,758
 339 - Government Girls Higher Secondary School Jaswal.,32.8132,72.97314,Combined,Punjab,2,2,858,810
 312 - Government Primary School Choa Ganj Ali Shah,32.81646,73.09647,Combined,Punjab,1,1,327,314
 357 - Government Girls High School Khokher Zeer,32.81721,72.84695,Female,Punjab,0,2,0,1093
 224 - Government Boys Primary School Shamas Abad,32.82355,72.80878,Combined,Punjab,1,1,349,318
 311 - Government Girls Primary School Taniala,32.82574,73.06072,Combined,Punjab,1,1,370,328
 356 - Government High School Khokher Zeer,32.83211,72.84835,Male,Punjab,3,0,1219,0
 358 - Basic Health Unit Khokhar Zer,32.83279,72.84985,Male,Punjab,2,0,884,0
 359 - Basic Health Unit Khokhar Zer,32.83279,72.84988,Female,Punjab,0,2,0,841
 340 - Government Girls Primary School Kot Raja,32.83415,72.99644,Combined,Punjab,2,2,769,665
 223 - Government Girls Primary School Khai,32.83427,72.77647,Female,Punjab,0,3,0,1384
 222 - Government Boys Elementary School Khai,32.83496,72.77752,Male,Punjab,3,0,1451,0
 341 - Government Boys Primary School Shah Said Bulhoo,32.83856,72.94813,Combined,Punjab,2,2,640,665
 348 - Government High School Karyala (Primary Portion),32.83879,72.8765,Combined,Punjab,2,2,765,726
 350 - Government Model Primary School Waryamal,32.83888,72.87144,Combined,Punjab,2,2,682,645
 342 - Government Girls High School Sohawa,32.84,72.99685,Male,Punjab,3,0,1294,0
 343 - Government Girls High School Sohawa,32.84,72.99688,Female,Punjab,0,2,0,1194
 314 - Government Boys Usama Bin Tariq Shaheed High School Dewalian,32.84191,73.00677,Combined,Punjab,2,2,738,666
 318 - Basic Health Unit Trimni,32.84238,73.06504,Combined,Punjab,1,1,483,460
 315 - Government Primary School Dhoke Boda,32.84239,73.07527,Combined,Punjab,2,2,656,583
 349 - Government Girls High School Karyala,32.84347,72.87666,Combined,Punjab,2,2,928,940
 313 - Government Girls Community Model Elementry School Diwalian,32.84485,73.00979,Combined,Punjab,2,1,581,514
 353 - Government Model Primary School Bhallah,32.8462,72.89012,Male,Punjab,2,0,1110,0
 354 - Government Model Primary School Bhallah,32.8462,72.89015,Female,Punjab,0,2,0,1069
