PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 137 - Govt.Boys Primary School Chak Jabot (C) (P),32.832641939255744,73.26481035554673,Combined,Punjab,1,1,346,249
 139 - Govt Model Primary School Pahdial (C) (P),32.833104730640734,73.16310965120951,Combined,Punjab,2,1,732,697
 136 - Govt.Girls Primary School Kohala (C) (P),32.84138617689169,73.22840007648382,Combined,Punjab,1,1,358,327
 279 - Govt.Girls High School Nathwala(M) (P),32.84206588278692,73.57782777739223,Male,Punjab,3,0,1246,0
 280 - Govt. Girls High School Nathwala (F),32.84206588278692,73.5778577773922,Female,Punjab,0,3,0,1115
 281 - Govt.Boys Primary School Gurrah Jattan (C) (P),32.84629343560272,73.55898270291144,Combined,Punjab,1,1,336,329
 135 - Govt.Boys High School Dial (C) (P),32.85091024093822,73.22799698340663,Combined,Punjab,1,1,472,422
 133 - Govt. Boys Primary School Nathot (M) (P),32.854384460101336,73.20817357949598,Male,Punjab,2,0,1098,0
 134 - Govt. Girls High School Nathot (F),32.85444,73.20827,Female,Punjab,0,2,0,1046
 124 - Govt Model Primary School Fore Pothi (C) (P),32.85457781042025,73.38202340210648,Combined,Punjab,1,1,610,486
 283 - Govt Girls Primary School Noor Pur Baghan© (P),32.857570936380284,73.57890467821868,Combined,Punjab,1,1,393,329
 138 - Govt Boys Primary School Hanni (C) (P),32.865985013601325,73.25382355197183,Combined,Punjab,2,2,852,718
 282 - Govt.Girls Community Model Primary School Kari (C) (P),32.86757025278552,73.57393924193816,Combined,Punjab,2,1,603,571
 123 - Govt. Boys Primary School Tatrot (C) (P),32.87414926104045,73.34584592554215,Combined,Punjab,1,1,401,365
 122 - Govt. Boys High School Kakrala (C) (P),32.87610181909588,73.36500182186633,Combined,Punjab,2,1,698,652
 117 - Govt Boys Primary School Bhait. (C). (P),32.87639099233985,73.43970759568289,Combined,Punjab,1,1,535,500
 129 - Govt Boys High School Padhri © (P),32.87752080838553,73.29724711441811,Combined,Punjab,2,2,677,626
 269 - Govt.Model Primary School Janjeel(C) (P),32.87968337891103,73.58463879501745,Combined,Punjab,1,1,289,265
 270 - Govt. Model Primary School Janjeel (C),32.87968337891103,73.5846687950175,Combined,Punjab,1,1,536,511
