StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
278,Govt. Girls H/S Sheikh Pur (Combined),32.56474,74.15754,Combined,Punjab,1,1,375,304
279,Govt. Girls H/S Sheikh Pur (Combined),32.56474,74.15757,Combined,Punjab,1,1,728,583
188,Govt. Islamia H/S No.2  Jalalpur Jattan (Male),32.5852137,74.1103838,Male,Punjab,3,0,1643,0
224,Govt. Boys E/S Mandiala (Combined),32.59284,74.21771,Combined,Punjab,1,1,395,273
225,Govt. Boys E/S Mandiala (Combined),32.59284,74.21774,Combined,Punjab,2,1,420,379
191,CPC Girls PS No. 2 Near nogaza  Jalal Pur Jattan(Female),32.5934822,74.2196636,Female,Punjab,0,2,0,1555
184,Govt. Islamia H/S No. 1 (High Portion) Jalal Pur Jattan (Male),32.603773,74.0793504,Male,Punjab,4,0,2775,0
185,Govt. Islamia H/S No. 1 (High Portion) Jalal Pur Jattan (Male),32.603773,74.0793804,Male,Punjab,2,0,1047,0
190,Govt. Islamia  P/S  No. 2 Adda Tam Tam Jalalpur Jattan (Male),32.603773,74.0794104,Male,Punjab,4,0,3064,0
193,Govt. Islamia H/S No.1 (High Portion) Jalalpur Jattan-Combined,32.603773,74.0794404,Combined,Punjab,2,2,1022,967
194,Govt. Islamia H/S No.1 (Middle Portion) Jalalpur Jattan (Female),32.603773,74.0794704,Female,Punjab,0,4,0,1658
195,Govt.  Islamia  P/S No. 1  near Sadar Police Station Jalalpur Jattan (Male),32.603773,74.0795004,Male,Punjab,3,0,1953,0
207,Govt. CPC E/S for Boys  No. 2  Chah Lalaywala Jalal Pur Jattan  (Male),32.603773,74.0795304,Male,Punjab,2,0,1311,0
208,Govt. CPC E/S for Boys  No. 2  Chah Lalaywala Jalal Pur Jattan -Combined,32.603773,74.0795604,Combined,Punjab,1,1,765,670
209,CPC Girls P/S No.1 Ranay wal road JPJ(Female),32.603773,74.0795904,Female,Punjab,0,2,0,1113
214,Govt. Girls H/S Jalalpur Jattan (Female),32.603773,74.0796204,Female,Punjab,0,3,0,1525
217,Govt. Municipal Model Girls HS Jalal Pur Jattan(Male),32.603773,74.0796504,Male,Punjab,4,0,2385,0
220,Govt. Girls H/S Main bazar Jalal Pur Jattan(Female),32.603773,74.0796804,Female,Punjab,0,4,0,2105
1,Govt.Model P/S Lakhanwal No. 2 Boys Section (Combined),32.6040049,74.0790535,Combined,Punjab,1,1,553,511
2,Govt.Model P/S Lakhanwal No. 2 Boys Section (Combined),32.6040049,74.0790835,Combined,Punjab,1,1,653,436
3,Govt.Boys H/S Lakhanwal (Combined),32.6040049,74.0791135,Combined,Punjab,2,1,812,611
4,Govt.Boys H/S Lakhanwal (Combined),32.6040049,74.0791435,Combined,Punjab,2,2,829,725
5,Govt.Boys H/S Lakhanwal (Combined),32.6040049,74.0791735,Combined,Punjab,1,1,352,326
6,Govt. Girls H/S Lakhanwal  (Primary Portion) (Combined),32.6040049,74.0792035,Combined,Punjab,2,2,644,552
7,Govt. Girls Community model E/S Kassoki Gujrat  (Male),32.6040049,74.0792335,Male,Punjab,2,0,1018,0
8,Govt. Girls Community model E/S Kassoki Gujrat  (Female),32.6040049,74.0792635,Female,Punjab,0,2,0,859
71,Govt. Boys P/S Rehan (Combined),32.6040049,74.0792935,Combined,Punjab,1,1,571,472
72,Govt. Boys P/S  Gondal  Sharif  (Combined),32.6040049,74.0793235,Combined,Punjab,1,1,263,278
9,Govt. Boys P/S Kasooki  (Combined),32.6040049,74.0793535,Combined,Punjab,2,1,745,577
79,Govt. Model  P/S Dhariwal (Combined),32.6040049,74.0793835,Combined,Punjab,2,1,816,636
80,Govt. Boys P/S Ranganwala (Combined),32.6040049,74.0794135,Combined,Punjab,1,1,532,343
81,Govt. Girls P/S  Sheikh Ali Kay  (Combined),32.6040049,74.0794435,Combined,Punjab,1,1,556,406
82,Govt. Boys E/S Paejoki (Combined),32.6040049,74.0794735,Combined,Punjab,2,1,705,542
323,Govt. Model P/S Miakan (Combined),32.6054283,74.0459854,Combined,Punjab,2,1,770,544
324,Govt. Model P/S Miakan (Combined),32.6054283,74.0460154,Combined,Punjab,1,1,417,350
352,Govt. Boys  P/S Jajowal  (Combined),32.6054283,74.0460454,Combined,Punjab,1,1,540,428
13,Govt. boys E/S Nowshera Khawajgan (Combined),32.6063446,74.0841444,Combined,Punjab,2,2,1233,946
14,Girls P/S Noshehra Khawajgan (Combined),32.6063446,74.0841744,Combined,Punjab,1,1,652,435
15,Govt. Girls E/S Behal Pur (Combined),32.6063446,74.0842044,Combined,Punjab,2,2,1067,788
16,Govt. Girls E/S Behal Pur (Combined),32.6063446,74.0842344,Combined,Punjab,1,1,393,348
17,Boys P/S Behal Pur (Combined),32.6063446,74.0842644,Combined,Punjab,2,1,361,323
18,Boys M/S Natt Sharqi (Combined),32.6063446,74.0842944,Combined,Punjab,1,1,810,606
19,Govt. Model P/S Dhool Kalan Markaz Tanda (Combined),32.6063446,74.0843244,Combined,Punjab,2,1,1011,759
237,Govt. Boys H/S Thatha Musa -Combined,32.6063446,74.0843544,Combined,Punjab,1,1,650,538
238,Govt. Boys H/S Thatha Musa -Combined,32.6063446,74.0843844,Combined,Punjab,1,1,535,495
243,Govt. Girls H/S Mehmood Abad  (Combined),32.6063446,74.0844144,Combined,Punjab,1,1,326,320
244,Govt. Girls H/S Mehmood Abad  (Combined),32.6063446,74.0844444,Combined,Punjab,1,1,428,294
245,Boys E/S Dhilu Sharqi (Combined),32.6063446,74.0844744,Combined,Punjab,1,1,685,541
246,Boys P/S Changanwali (Combined),32.6063446,74.0845044,Combined,Punjab,1,1,408,310
247,Girls E/S Kang Buddah (Combined),32.6063446,74.0845344,Combined,Punjab,2,2,1071,830
250,Govt. Boys P/S Shehbaz Pur (Combined),32.6063446,74.0845644,Combined,Punjab,1,1,622,486
43,Govt. Model  P/S Budhan (Combined),32.6063446,74.0845944,Combined,Punjab,1,1,693,548
44,Govt. Boys P/S Gujgran (Combined),32.6063446,74.0846244,Combined,Punjab,1,1,768,634
55,Boys H/S Behlolpur  High Portion (Combined),32.6063446,74.0846544,Combined,Punjab,2,1,1030,760
56,Boys H/S  Behlolpur Middle Portion (Combined),32.6063446,74.0846844,Combined,Punjab,2,1,637,434
57,Govt. Girl PS  Kurri Sharif(Combined),32.6063446,74.0847144,Combined,Punjab,2,2,1119,818
61,Govt. Girls Community Model E/S Shampur Khokhran  (Combined),32.6063446,74.0847444,Combined,Punjab,1,1,407,302
62,Govt. Girls Community Model E/S Shampur Khokhran  (Combined),32.6063446,74.0847744,Combined,Punjab,1,1,657,475
63,Govt. Model  PS Sheikh Chugani (Combined),32.6063446,74.0848044,Combined,Punjab,2,1,621,536
64,Govt. Model P/S  Hattar (Combined),32.6063446,74.0848344,Combined,Punjab,1,1,418,269
65,Govt. Boys P/S Randheer (Combined),32.6063446,74.0848644,Combined,Punjab,1,1,869,621
10,Girls P/S Chak Marzai (Combined),32.6063446,74.0848944,Combined,Punjab,1,1,622,485
11,Govt. Islamia H/S Chopala (Combined),32.6063446,74.0849244,Combined,Punjab,1,1,776,592
12,Govt. Girls H/S Chopala (Combined),32.6063446,74.0849544,Combined,Punjab,1,1,677,559
226,Govt. Girls P/S Noora -Combined,32.6080998,74.0821144,Combined,Punjab,1,1,330,236
227,Govt. Community Model School  Rasul Pur -Combined,32.6080998,74.0821444,Combined,Punjab,1,1,577,470
228,Govt. Model P/S Chak Dhillo at Daud Pur -Combined,32.6080998,74.0821744,Combined,Punjab,2,1,971,846
229,Govt. Girls Primary School- Sohal Khurd-Combined,32.6080998,74.0822044,Combined,Punjab,1,1,574,459
230,Govt. Boys  P/S Sohal Khurd-Combined,32.6080998,74.0822344,Combined,Punjab,1,1,470,329
231,Govt. Girls HSS Sohal Khurd at Gilliwala-Combined,32.6080998,74.0822644,Combined,Punjab,1,1,392,322
232,Govt. Model  P/S Raseeda-Combined,32.6080998,74.0822944,Combined,Punjab,1,1,597,443
233,Govt. Model  P/S Kot Nikka. (Combined),32.6080998,74.0823244,Combined,Punjab,1,1,473,358
234,Govt. Boys P/S Bawrianwala-Combined,32.6080998,74.0823544,Combined,Punjab,1,1,554,427
235,Boys H/S Laddah Saddah-Combined,32.6080998,74.0823844,Combined,Punjab,2,2,1256,1068
236,Govt. Model  P/S  Rambrian Wala -Combined,32.6080998,74.0824144,Combined,Punjab,1,1,465,432
241,Boys P/S Jeowanjal (Combined),32.6080998,74.0824444,Combined,Punjab,2,1,1029,804
257,Girls P/S Tibi Pipli (Combined),32.6080998,74.0824744,Combined,Punjab,2,2,971,757
259,Govt. Model P/S Ranewal Syedan  (Female),32.6080998,74.0825044,Female,Punjab,0,3,0,1335
260,Govt. Model P/S  Ranewal (S)  (Male),32.6080998,74.0825344,Male,Punjab,3,0,1655,0
262,Girls H/S Ikhlas Garh (Primary Portion) (Combined),32.6080998,74.0825644,Combined,Punjab,1,1,673,640
263,Boys P/S Karim Dad (Combined),32.6080998,74.0825944,Combined,Punjab,1,1,491,379
264,Govt. Model P/S Hardas Pur (Combined),32.6080998,74.0826244,Combined,Punjab,1,1,575,469
265,Boys P/S Majra  (Combined),32.6080998,74.0826544,Combined,Punjab,2,1,748,632
266,Govt. Girls P/S Kot Amir Hussain (Combined),32.6080998,74.0826844,Combined,Punjab,2,1,826,688
267,Govt. Girls P/S Kot Amir Hussain (Combined),32.6080998,74.0827144,Combined,Punjab,1,1,255,177
268,Boys P/S Ghuman (Combined),32.6080998,74.0827444,Combined,Punjab,2,2,1082,886
269,Govt. Girls P/S Maroof (Combined),32.6080998,74.0827744,Combined,Punjab,1,1,508,426
270,Govt. Girls P/ S Shah Jahanian  (Combined),32.6080998,74.0828044,Combined,Punjab,1,1,399,303
272,Boys H/S Bhagowal Khurd  (Female),32.6080998,74.0828344,Female,Punjab,0,2,0,1273
273,Govt. Girls Community Model School Bhagowal Khurd  (Male),32.6080998,74.0828644,Male,Punjab,3,0,1489,0
274,Govt. Model P/S  Sohal Kalan (Combined),32.6080998,74.0828944,Combined,Punjab,1,1,615,517
280,Boys E/S Chak Manju (Combined),32.6080998,74.0829244,Combined,Punjab,2,1,823,653
281,Boys E/S Chak Manju (Combined),32.6080998,74.0829544,Combined,Punjab,1,1,497,432
282,Girls E/S Chak Kala (Combined),32.6080998,74.0829844,Combined,Punjab,2,1,803,640
283,Govt. Girls P/S Sook Khurd  (Combined),32.6080998,74.0830144,Combined,Punjab,2,1,955,682
284,Girls P/S Hanjrai (Combined),32.6080998,74.0830444,Combined,Punjab,1,1,521,412
285,Girls P/S Hanjrai (Combined),32.6080998,74.0830744,Combined,Punjab,2,1,967,858
20,Govt. Model P/S Mattianwala (Combined),32.6081003,74.0821178,Combined,Punjab,1,1,833,626
21,Govt. Model  P/S Nijjan (Combined),32.6081003,74.0821478,Combined,Punjab,1,1,411,327
22,Govt. Boys H/S Kotli Bagwan(A) North Side (Combined),32.6081003,74.0821778,Combined,Punjab,1,1,824,542
23,Govt.Boys H/S Kotli Bagwan (B) South Side (Combined),32.6081003,74.0822078,Combined,Punjab,1,1,770,585
24,Govt. Boys P/S Surkhpur (Combined),32.6081003,74.0822378,Combined,Punjab,2,1,969,684
25,Basic  Health Unit- Surkhpur (Combined),32.6081003,74.0822678,Combined,Punjab,2,1,968,685
26,Basic Health Unit- Surkhpur (Combined),32.6081003,74.0822978,Combined,Punjab,2,2,1409,1007
27,Basic Health Unit- Surkhpur (Combined),32.6081003,74.0823278,Combined,Punjab,1,1,200,150
30,Govt. Girls P/S Rangra (Combined),32.6081003,74.0823578,Combined,Punjab,2,1,850,628
33,Govt. Girls M/S Barrilla Sharif (Combined),32.6081003,74.0823878,Combined,Punjab,2,1,833,614
35,Govt. Model P/S Gagian (Combined),32.6081003,74.0824178,Combined,Punjab,1,1,413,376
38,Govt. Model  P/S Chak Sheru (Combined),32.6081003,74.0824478,Combined,Punjab,1,1,841,718
39,Govt.Model  P/S Kakkianwala (Combined),32.6081003,74.0824778,Combined,Punjab,1,1,869,644
40,Govt.E/S Qila Sura Singh (Combined),32.6081003,74.0825078,Combined,Punjab,1,1,645,480
41,Govt. Boys P/S Qila Sura Singh (Combined),32.6081003,74.0825378,Combined,Punjab,2,1,811,567
42,Govt. Boys P/S Qila Sura Singh (Combined),32.6081003,74.0825678,Combined,Punjab,1,1,580,414
45,Govt. Boys P/S Mota (Combined),32.6081003,74.0825978,Combined,Punjab,2,2,1109,890
48,RHC- Tanda (Combined),32.6081003,74.0826278,Combined,Punjab,2,1,619,480
49,RHC- Tanda (Combined),32.6081003,74.0826578,Combined,Punjab,2,1,669,487
52,RHC Tanda (Combined),32.6081003,74.0826878,Combined,Punjab,2,1,747,619
249,Govt. E/S Khasa (Combined),32.6081113,74.082074,Combined,Punjab,1,1,317,260
276,Govt. Girls P/S Kharianwali (Combined),32.6100351,74.0782031,Combined,Punjab,1,1,547,483
277,Boys H/S Sheikh Pur (Combined),32.6100351,74.0782331,Combined,Punjab,2,2,1413,1159
155,Govt. Girls E/S Gharera (Combined),32.6101621,74.0781357,Combined,Punjab,2,1,1027,815
164,Govt. Boys P/S Kolian Hashim (Combined),32.6101621,74.0781657,Combined,Punjab,1,1,475,412
