PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 312 - Government Girls Primary School Nanowali  (P),32.37474,74.57175,Combined,Punjab,1,1,741,521
 196 - Government Model Primary School Rehmat Abad. (P),32.37533,74.57066,Combined,Punjab,1,1,737,579
 313 - Government Boys Primary School  Rajwan. (P),32.37533,74.57069,Combined,Punjab,1,1,516,420
 309 - Government Girls Primary School Tong. (P),32.37747,74.54995,Combined,Punjab,1,1,771,492
 286 - Government Girls Elementary School Bharoke  (P),32.38451,74.62229,Combined,Punjab,1,1,843,617
 289 - Government Girls Primary School Sadharwali. (P),32.38451,74.62232,Combined,Punjab,1,1,654,440
 308 - Government Boys Primary School Gurdan Pur. (P),32.38611,74.58832,Combined,Punjab,2,1,981,733
 288 - Government Girls Primary School Jajjey Ramdas. (P),32.38805,74.64053,Combined,Punjab,1,1,619,430
 195 - Government Girls High School Partanwali(Female) (P),32.39171,74.53632,Female,Punjab,0,2,0,1125
 310 - Government Boys Primary School Ghurri. (P),32.39187,74.57619,Combined,Punjab,1,1,625,431
 197 - Government Girls Primary School Akewali (P),32.39197,74.51339,Combined,Punjab,1,1,466,341
 198 - Government Model Primary School Bhaniwali.  (P),32.39219,74.51517,Combined,Punjab,2,1,906,734
 194 - Government Boys Elementary Schooll Partanwali(Male) (P),32.39288,74.53547,Male,Punjab,2,0,1457,0
 311 - Government Girls Primary School Kohar. (P),32.39789,74.54546,Combined,Punjab,1,1,680,420
 199 - Government Girls Elementry School  Kot Kora. (P),32.39922,74.51792,Combined,Punjab,1,1,575,432
 287 - Government Girls Primary School Chandhar. (P),32.40414,74.64873,Combined,Punjab,1,1,435,269
 304 - Government Girls Primary School Walana. (P),32.40503,74.55574,Combined,Punjab,1,1,750,462
 237 - Government Girls Primary School Chak Gillan. (P),32.40962,74.53279,Combined,Punjab,2,2,1018,734
 301 - Government Girls High School Varyo. (Male) (P),32.40965,74.58525,Male,Punjab,2,0,1194,0
 302 - Government Girls High School Varyo. (Female) (P),32.40965,74.58528,Female,Punjab,0,2,0,963
 294 - Government Girls High School Gunna Kalan (Male) (P),32.41311,74.62885,Male,Punjab,3,0,1618,0
 295 - Government Girls High School Gunna Kalan (Female) (P),32.41311,74.62888,Female,Punjab,0,2,0,1207
 305 - Government Boys Primary School Dhillam Ghazi. (P),32.41486,74.55457,Combined,Punjab,1,1,610,413
 285 - Government Girls Elementary School Wadianwala. (P),32.41528,74.65303,Combined,Punjab,2,1,988,663
 298 - Government Girls Primary School Garbla Sydan. (P),32.41529,74.60845,Combined,Punjab,1,1,532,399
 306 - Government Boys High School Sahu Wali.(Male) (P),32.41572,74.58601,Male,Punjab,2,0,1356,0
 234 - Government Girls Higher Secondery School Hundal.,32.41662,74.52546,Combined,Punjab,1,1,813,545
 231 - Government Boys High School Ladhar  (P),32.41717,74.51757,Combined,Punjab,1,1,811,517
