StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
133,Government Girls Elementary School Doburji Malian. (Male). (P),32.46522,74.52747,Male,Punjab,2,0,1039,0
134,Government Girls Elementary School Doburji Malian. (Female). (P),32.46522,74.5275,Female,Punjab,0,2,0,764
170,Government Girls Elementary School Doburji Malian. (Male). (P),32.46522,74.52753,Male,Punjab,2,0,1547,0
171,Government Girls Elementary School Doburji Malian. (Female). (P),32.46522,74.52756,Female,Punjab,0,2,0,1270
364,Government Model Elementary School Butter. (Female) (P),32.46696,74.49915,Female,Punjab,0,2,0,1093
363,Government Model Elementary School Butter. (Male) (P),32.46704,74.49916,Male,Punjab,2,0,1343,0
362,Government Model Elementary School Butter. (Female) (P),32.46722,74.50372,Female,Punjab,0,2,0,947
361,Government Model Elementary School Butter. (Male) (P),32.46723,74.50372,Male,Punjab,2,0,1194,0
93,Government Model Primary School Jode Wali (Old Girls School Building). (Male) (P),32.46737,74.57474,Male,Punjab,2,0,1421,0
94,Government Boys Primary School Jode Wali Kalan. (Female),32.46909,74.57253,Female,Punjab,0,2,0,1084
95,Basic Health Unit Jode Wali. (Male) (P),32.46941,74.56921,Male,Punjab,2,0,1523,0
96,Basic Health Unit Jode Wali. (Female) (P),32.46941,74.56924,Female,Punjab,0,2,0,1169
143,Agricultural Lab Doburji Arian. (P),32.46974,74.55514,Combined,Punjab,2,1,925,709
144,Agricultural Lab Doburji Arian. (Male) (P),32.46974,74.55517,Male,Punjab,2,0,1533,0
145,Agricultural Lab Doburji Aranian. (Female) (P),32.46974,74.5552,Female,Punjab,0,2,0,1259
135,Government Model Primary School Ram Graha. (Female-Portion)(Male) (P),32.47313,74.53552,Male,Punjab,2,0,1281,0
136,Government Model Primary School Ram Graha. (Male-Portion)(Female) (P),32.47313,74.53555,Female,Punjab,0,2,0,1017
346,Government Boys Municipal Corporation School Bogra. (Male),32.47486,74.52454,Male,Punjab,2,0,1099,0
347,Government Boys Municipal Corporation School Bogra. (Female),32.47486,74.52457,Female,Punjab,0,2,0,959
348,Government Girls Municipal Corporation School Bogra.,32.47486,74.5246,Combined,Punjab,1,1,809,618
137,Government Boys Elementary School Hamza Ghous. (Male) (P),32.47505,74.5428,Male,Punjab,2,0,1132,0
138,Government Boys Elementary School Hamza Ghous. (Female) (P),32.47505,74.54283,Female,Punjab,0,2,0,935
147,Government Girls Elementry School Doburji Arian.(Male)(P),32.47649,74.55522,Male,Punjab,2,0,1408,0
148,Government Girls Elementry School Doburji Arian.(Female)(P),32.47649,74.55525,Female,Punjab,0,2,0,1225
349,Government Girls Primary School Ganjianwali. (P),32.47726,74.49755,Combined,Punjab,1,1,690,553
350,Government Girls High School Adalat Graha (Male) (P),32.47726,74.49758,Male,Punjab,3,0,1769,0
334,Government Girls High School Fateh Garh Road. (Male) (P),32.47756,74.51575,Male,Punjab,3,0,1712,0
335,Government Girls High School Fateh Garh Road. (Female) (P),32.47756,74.51578,Female,Punjab,0,2,0,1444
338,Government Girls High School Fateh Garh. (Female) (P),32.47756,74.51581,Female,Punjab,0,2,0,1354
