StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
367,Government Boys Elementary School Bharoke. (P),32.11178,74.64729,Combined,Punjab,1,1,736,587
366,Government Girls Elementry  School Fateh Wali.,32.11818,74.64566,Combined,Punjab,1,1,426,317
365,Government Boys Primary School Lala Sayda. (P),32.12621,74.65693,Combined,Punjab,2,1,983,695
364,Government Boys Primary School Meero Bhadiar (P),32.13573,74.63885,Combined,Punjab,2,2,1034,797
356,Government Boys High School Saukin  Wind (Male) (P),32.14906,74.61781,Male,Punjab,2,0,1208,0
357,Government Boys High School Saukin  Wind (Female) (P),32.14906,74.61784,Female,Punjab,0,2,0,954
363,Government Boys Primary School Bharoke  (P),32.1499,74.66245,Combined,Punjab,2,1,999,637
372,Government Girls Community Model Thatha Bawa. (P),32.1525,74.62139,Combined,Punjab,1,1,793,566
360,Government Girls Primary School Rajadewali. (P),32.1525,74.62155,Combined,Punjab,1,1,703,543
358,Government Girls High School Saukinwind (Male),32.15383,74.6203,Male,Punjab,2,0,1587,0
359,Government Girls High School Saukinwind. (Female),32.15383,74.62033,Female,Punjab,0,2,0,1250
361,Government Boys Elementary SchoolChuhar Munda. (P),32.15451,74.64525,Male,Punjab,2,0,1271,0
362,Government Boys Elementary SchoolChuhar Munda. (P),32.15451,74.64528,Female,Punjab,0,2,0,924
380,Government Boys High School Dhodha. (Male)  (P),32.16059,74.6883,Male,Punjab,2,0,1502,0
381,Government Boys High School Dhodha. (Female)  (P),32.16059,74.68833,Female,Punjab,0,2,0,1074
383,Government Girls High School Dhodha.,32.16233,74.69751,Combined,Punjab,1,1,844,645
371,Government Model Primary School Shah Hussain. (P),32.16352,74.66909,Combined,Punjab,1,1,803,500
312,Government Girls Primary School Kotli Gopi Rai (P),32.16593,74.72729,Combined,Punjab,1,1,815,568
282,Government Boys Primary School Panjgrain (P),32.17078,74.74944,Combined,Punjab,2,1,955,713
382,Government Model Elementay School  Aidal Pur. (P),32.17831,74.70834,Combined,Punjab,1,1,421,336
313,Government Girls Elementary School Wahga (P),32.17921,74.71698,Combined,Punjab,1,1,551,450
369,Government Community Model School Pejoke (P),32.18298,74.58953,Combined,Punjab,2,1,952,768
