StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
22,Government Boys High School Ghatailian (Male)  (P),32.08213,74.63246,Male,Punjab,2,0,1517,0
20,Government Model Elementary School Malokey. (Male) (P),32.0825,74.571,Male,Punjab,2,0,1246,0
21,Government Model Elementary School Malokey. (Female) (P),32.0825,74.57103,Female,Punjab,0,2,0,929
23,Government Comunity Model School Ghatailian (Female)  (P),32.08336,74.62528,Female,Punjab,0,2,0,1301
150,Government.Model Elementry School Guro Chak/ Uggo Chak. (P),32.09147,74.52393,Combined,Punjab,2,1,924,606
149,Government Girls Model Elementary SchoolLoharanwali. (P),32.1108,74.54326,Combined,Punjab,1,1,626,507
134,Government Girls High School Bhaghat Pur. (Male) (P),32.12517,74.53101,Male,Punjab,2,0,1322,0
135,Government Girls High School Bhaghat Pur. (Female) (P),32.12517,74.53104,Female,Punjab,0,2,0,984
137,Government Girls Primary School Rao Ke. (P),32.13942,74.51841,Combined,Punjab,1,1,644,379
50,Government Boys Primary School Mand. (P),32.13953,74.45084,Combined,Punjab,1,1,714,531
136,Government Boys Primary School Kotli Baba Hira. (P),32.14264,74.49847,Combined,Punjab,1,1,559,418
138,Government Girls Elementary School Chhangi.  (Male) (P),32.14692,74.52621,Male,Punjab,2,0,1203,0
139,Government Boys Elementry  School Changi. (Female),32.14692,74.52624,Female,Punjab,0,2,0,828
28,GBoys Primary School Basu Panu. (P),32.15223,74.56139,Combined,Punjab,2,2,1038,752
142,Government Boys Primary School Nand Pur. (P),32.15362,74.53712,Combined,Punjab,1,1,514,326
29,Government Boys High School Ratta Jathol(Male) (P),32.15556,74.57833,Male,Punjab,2,0,1245,0
30,Government Boys High School Ratta Jathol(Female)(P),32.15556,74.57836,Female,Punjab,0,2,0,955
95,Government Girls Primary School  Thatha Umra. (P),32.16911,74.4819,Combined,Punjab,1,1,486,360
87,Government Boys Elementary School Ismail Ky. (P),32.1718,74.4258,Combined,Punjab,1,1,791,575
31,Government Girls Elementary School Khairay. (P),32.17327,74.59412,Combined,Punjab,1,1,654,482
140,Government Girls Primary School Kot Mokhal. ( Male) (P),32.17563,74.52668,Male,Punjab,2,0,1129,0
141,Government Boys Primery School Mokhal. (Female),32.17563,74.52671,Female,Punjab,0,2,0,800
101,Government Girls Higher Secondery School Satrah. (Male) (P),32.17784,74.51501,Male,Punjab,2,0,1333,0
103,Government Girls Higher Secondery School Satrah. (Male) (P),32.17784,74.51504,Male,Punjab,2,0,1546,0
99,Government Girls Higher Secondery School Satrah. (Male) (P),32.17784,74.51507,Male,Punjab,2,0,1267,0
96,Government Boys Elementary School Mianwali.  (P),32.17791,74.48791,Combined,Punjab,1,1,831,661
98,Government Boys Elemantry School Mianwali. (Female) (P),32.17791,74.48794,Female,Punjab,0,2,0,1162
25,Government Girls Elementry  School Udo Fataha. (Female),32.17969,74.55553,Female,Punjab,0,2,0,907
100,Government Boys Awami High School Satrah. (Female) (P),32.1803,74.50867,Female,Punjab,0,2,0,909
102,Government Boys Awami High School Satrah. (Female) (P),32.1803,74.5087,Female,Punjab,0,2,0,966
104,Government Boys Awami High School Satrah. (Female) (P),32.1803,74.50873,Female,Punjab,0,2,0,1168
107,Government Girls Elementary SchoolVeer Wala.(Male) (P),32.18044,74.50256,Male,Punjab,2,0,1552,0
71,Government Model Primary School Khandowali. (P),32.18044,74.50259,Combined,Punjab,1,1,503,335
24,Government Boys Elementary SchoolUddo Fatah. (Male)  (P),32.18135,74.55631,Male,Punjab,2,0,1227,0
97,Government Boys Primary School No.2 Mianwali. (Male)  (P),32.18153,74.4754,Male,Punjab,2,0,1459,0
89,Government Islamia High School Siranwali.(Male) (P),32.18259,74.46545,Male,Punjab,2,0,1312,0
90,Government Islamia High School Siranwali.(Female) (P),32.18259,74.46548,Female,Punjab,0,2,0,914
93,Government Islamia High School Siranwali. (P),32.18259,74.46551,Combined,Punjab,1,1,647,494
143,Government Girls Elementary School Bhikhi. (P),32.18321,74.44325,Combined,Punjab,1,1,510,389
144,Government Boys Primery School Bhikhi.,32.18405,74.44611,Combined,Punjab,1,1,571,492
27,Government Girls Primary School Pan. (P),32.18416,74.55239,Combined,Punjab,2,1,916,693
91,Government Girls High School Siran wali. (P),32.18492,74.46655,Combined,Punjab,1,1,842,618
92,Government Girls High School Siran wali. (P),32.18492,74.46658,Combined,Punjab,2,2,999,817
105,Government Girls Primary School  Dhandal. (P),32.18532,74.51722,Combined,Punjab,1,1,547,407
94,Government Boys Primary School Langian Wali. (P),32.18678,74.49319,Combined,Punjab,1,1,653,549
88,Government Girsl Primary School Boreke. (P),32.18715,74.42661,Combined,Punjab,1,1,791,543
86,Basic Health Unit Wadala Sandhwan (Female) (P),32.18797,74.40144,Female,Punjab,0,2,0,1219
44,Government Girls Community Model  School Padali. (P),32.188,74.47395,Combined,Punjab,1,1,408,304
82,Government Boys High School Wadala Sandhwan. (Male) (P),32.19051,74.38956,Male,Punjab,2,0,1589,0
84,Government Boys High School Wadala Sandhwan  (P),32.19051,74.38959,Combined,Punjab,1,1,762,672
110,Government Girls Primary School Tahli Wala.. (P),32.19339,74.39332,Combined,Punjab,1,1,627,435
26,Government Boys Primary School Jhangi Shah Khaki. (P) (PEF),32.19421,74.56508,Combined,Punjab,1,1,571,422
125,Government Girls High School Jaharanwala. (Female),32.19495,74.30724,Female,Punjab,0,2,0,1101
83,Government Girls Higher Secondry School Wadala Sandhwan. (Female),32.19535,74.38816,Female,Punjab,0,2,0,1307
