PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 191 - Government Girls High School Waan. (Female),32.17002,74.74908,Female,Punjab,0,2,0,908
 10 - Government Boys Elementary School  Targa(Male) (P),32.33273,74.50175,Male,Punjab,2,0,1426,0
 149 - Government Boys Primary School  Kotha Chistian. (P),32.33358,74.48284,Combined,Punjab,2,1,969,697
 151 - Government Girls High School Bhakriali. (Female),32.33842,74.52306,Female,Punjab,0,2,0,1249
 161 - Government Girls Primary School Kotli Khokhran Kalan.(Male) (P),32.34148,74.50475,Male,Punjab,3,0,1568,0
 171 - Government Model Primary School Pcci Garhi (P),32.34201,74.53887,Combined,Punjab,2,1,964,638
 181 - Government Girls Primary School Hussain Pur Randheer (P),32.34201,74.5389,Combined,Punjab,1,1,760,506
 19 - Government Girls Primary School Chabail Pur(Female)  (P),32.34644,74.4344,Female,Punjab,0,2,0,1117
 145 - Government Girls Elementary School Kot Dina (P),32.34648,74.46613,Combined,Punjab,2,1,911,744
 146 - Government Girls Primary School Majra Khurd (P),32.34773,74.46081,Combined,Punjab,1,1,750,590
 102 - Government Girls Primary School Sahibke (P),32.34833,74.38278,Combined,Punjab,1,1,365,303
 190 - Government Boys Elementary School Waan.(Male) (P),32.35106,74.39857,Male,Punjab,2,0,1143,0
 100 - Government Boys High School Badoke Cheema (Male) (P),32.35232,74.47643,Male,Punjab,3,0,1778,0
 148 - Government Boys Primary School Hadoke (P),32.35269,74.4847,Combined,Punjab,2,1,817,668
 187 - Government Girls Primary School Fateh Garh. (P),32.35345,74.43261,Combined,Punjab,1,1,424,308
 188 - Government Boys High School Ghartal (Male) (P),32.35503,74.40679,Male,Punjab,3,0,1510,0
 189 - Government Boys Primery School Ghartal. (Female),32.35503,74.40682,Female,Punjab,0,2,0,1161
 1 - Government Model Primary School Matakay Nagra.  (P),32.35802,74.52222,Combined,Punjab,1,1,727,520
 111 - Government Boys Primary School No.2 Bhopalwala(Female)  (P),32.36283,74.49015,Female,Punjab,0,2,0,903
 182 - Government Girls High School Bhola Musa.(Male) (P),32.36401,74.52495,Male,Punjab,3,0,1783,0
 147 - Government Boys Primary School Kaulokay (P),32.36499,74.45638,Combined,Punjab,2,1,948,742
 139 - Government Boys High School Jethike (Male) (P),32.36889,74.43806,Male,Punjab,3,0,1716,0
 121 - Government Boys High School Sahowala.(P),32.36901,74.46711,Combined,Punjab,1,1,431,343
 127 - Government Boys Primary School Ballo Chak (Male)  (P),32.36901,74.46714,Male,Punjab,2,0,1201,0
 180 - Government Boys High School Randheer. (P),32.37233,74.53816,Combined,Punjab,1,1,896,687
 128 - Government Grils Primary School Ballo Chak. (Female),32.37346,74.47466,Female,Punjab,0,2,0,959
 14 - Government Girls High School Bhalowali (P),32.37553,74.4607,Combined,Punjab,1,1,836,790
 140 - Government Girls High School Jethike (Female) (P),32.37568,74.46058,Female,Punjab,0,2,0,1484
 101 - Government Girls Model High School Badoke Cheema (Female) (P),32.3766,74.50839,Female,Punjab,0,2,0,1414
 184 - Government Girls Primary School  Kotli Bawarian. (P),32.3766,74.50842,Combined,Punjab,1,1,377,313
 185 - Government Boys Primary School Chak Bhada (P),32.3766,74.50845,Combined,Punjab,1,1,682,597
 186 - Government Girls Primary School Farhad pur. (P),32.3768,74.51113,Combined,Punjab,1,1,342,223
 138 - Government Model Primary School Jharrianwala (Female)(Girls-Portion),32.38083,74.44889,Female,Punjab,0,2,0,835
 129 - Government Boys Primary School Kamal Pur (P),32.38104,74.48852,Combined,Punjab,1,1,782,626
 194 - Government Girls Primary School Noor Pur Saydan (P),32.38549,74.34501,Combined,Punjab,1,1,905,690
 170 - Government Model Primary School Kishan Garh. (P),32.38667,74.41639,Combined,Punjab,1,1,538,411
 172 - Government Model Primary School Kot Mirath (P),32.38667,74.41642,Combined,Punjab,1,1,856,655
 137 - Government Model Primary School Jharanwala(Male)(Boys-Portion) (P),32.38778,74.45611,Male,Punjab,2,0,1096,0
 173 - Government Boys Primary School Kotli Mughlan.,32.38889,74.415,Combined,Punjab,1,1,362,256
 195 - Government Boys High School Malkhanwala (Male)  (P),32.3891,74.32232,Male,Punjab,3,0,1663,0
 178 - Government Boys High School Randheer (Male) (P),32.39028,74.43417,Male,Punjab,2,0,1343,0
 196 - Government Girls High School Malkhanwala (Female) (P),32.3903,74.34285,Female,Punjab,0,2,0,1331
 197 - Government Boys High School Malkhanwala.(P),32.39037,74.34257,Combined,Punjab,1,1,848,707
 179 - Government Girls High School Randheer (Female) (P),32.39139,74.43139,Female,Punjab,0,2,0,995
 18 - Government Girls Primary School Chabail Pur(Male)  (P),32.39139,74.43142,Male,Punjab,2,0,1395,0
 193 - Government Model Primary School Baryar. (P),32.39166,74.30457,Combined,Punjab,1,1,410,324
 175 - Government ModelPrimary School Pir Kot (P),32.39222,74.42555,Combined,Punjab,1,1,654,451
 176 - Government Model Primary School Chaoke Kalan (P),32.39222,74.42558,Combined,Punjab,1,1,694,449
 141 - Government Girls High School Jethike.(P),32.39254,74.47285,Combined,Punjab,1,1,691,545
 177 - Government Boys Elementry School Duburji Chanda Singh (P),32.39333,74.43639,Combined,Punjab,2,1,920,625
 17 - Government MOdel Primary School Ismaeil Awan (P),32.3935,74.49836,Combined,Punjab,1,1,893,735
 169 - Government Girls High School Kopra Khurd (P),32.39361,74.4979,Combined,Punjab,1,1,859,660
 174 - Government Boys Hugh School Roheela (P),32.39417,74.42444,Combined,Punjab,1,1,729,616
 2 - Government Girls Elementary SchoolBogre. (P),32.39511,74.34524,Combined,Punjab,1,1,714,577
 142 - Government Boys High School Jethike (Male) (P),32.3957,74.48428,Male,Punjab,2,0,1334,0
 144 - Union Council Office Jethike (P),32.39572,74.48609,Combined,Punjab,1,1,746,591
 136 - Government Girls Elementary School Adda Begowala (Female) (P),32.3975,74.46444,Female,Punjab,0,2,0,1428
 168 - Government Girls Primery School Kopra Kalan (P),32.39787,74.44682,Combined,Punjab,1,1,787,649
 143 - Government Girls High School Jethike (Female) (P),32.39829,74.47807,Female,Punjab,0,2,0,1153
 104 - Government Girls Haigher Secondery School Kharolian(Male) (P),32.39917,74.40584,Male,Punjab,2,0,1209,0
 209 - Government Model Primary School Ratala Sharif. (P),32.3999,74.36516,Combined,Punjab,1,1,340,221
 167 - Government Model Primary School Gulab Gharh (P),32.4011,74.4511,Combined,Punjab,1,1,528,381
 268 - Government Boys Primary School Nai Abadi Sambrial.,32.4015,74.29673,Combined,Punjab,1,1,831,739
 192 - Government Boys Primary School Kang (P),32.40369,74.3316,Combined,Punjab,2,1,924,752
 269 - Government Girls Elementary School kot Doran (P),32.40615,74.29315,Combined,Punjab,1,1,684,657
 20 - Government Girls Elementary School Kot Karam Bakhsh. (P),32.41173,74.33439,Combined,Punjab,1,1,492,417
 207 - Government Girls Higher Secondery School Kullowal (Male) (P),32.4125,74.365,Male,Punjab,3,0,1628,0
 208 - Government Girls Higher Secondery School Kullowal (Female) (P),32.4125,74.36503,Female,Punjab,0,2,0,1327
 265 - Government Girls Primary School Ali Pur Gujran  (P),32.41288,74.27531,Combined,Punjab,1,1,809,636
 203 - Government Boys High  School Rorras.(P),32.41751,74.35098,Combined,Punjab,2,1,977,674
 103 - Government Model Primary School Raolike (P),32.41806,74.39777,Combined,Punjab,2,1,899,684
 21 - Government Boys Primary School Kotli Marlan (P),32.41898,74.48698,Combined,Punjab,2,1,1005,711
 262 - Government Muslim Awami High School Sambrial. (Female) (P),32.41906,74.23298,Female,Punjab,0,2,0,1273
 263 - Government Boys Primary School Amreek Pura(Male)(P),32.41906,74.23301,Male,Punjab,2,0,1536,0
 159 - Government Boys Primary School panu Atari (P),32.41925,74.48717,Combined,Punjab,1,1,715,482
 198 - Government Model Primary School  Kotli Joian. (P),32.41928,74.33656,Combined,Punjab,1,1,418,316
 272 - Government Girls Higher Secndery  School Begowala(Female)(P),32.42088,74.30453,Female,Punjab,0,2,0,1320
 166 - Government Girls Primary School Dadowali.,32.42105,74.44714,Combined,Punjab,1,1,544,414
 162 - Government Boys Primary School Kotli Khokhran Kalan.(Female),32.4216,74.46226,Female,Punjab,0,2,0,1134
 163 - Government Model Primary School Ghumana Wali. (P),32.42178,74.46233,Combined,Punjab,1,1,609,380
 164 - Government Girls Primary School Kot Dogran (Dogranwala) (P),32.42178,74.46236,Combined,Punjab,1,1,525,352
 160 - Government Model Primary School Kot Malian (Malian Wala) (P),32.42184,74.46561,Combined,Punjab,1,1,903,629
 16 - Government Girls Elementary School Nagoor (P),32.42187,74.46561,Combined,Punjab,2,1,922,747
 204 - Government Boys High  School Rorras. (Male)(P),32.42287,74.34222,Male,Punjab,2,0,1464,0
 201 - Government Girls Primary School Jagat Pur (P),32.42301,74.34231,Combined,Punjab,1,1,694,533
 202 - Government Girls Primary School Abiala (P),32.42301,74.34234,Combined,Punjab,1,1,745,559
 105 - Government Girls Haigher Secondery School Kharolian(Female) (P),32.42334,74.40667,Female,Punjab,0,2,0,930
 106 - Government Girls Primary School Kharolian Khas. (P),32.42417,74.425,Combined,Punjab,2,1,954,723
 107 - Government Boys Primary School Ludhar. (P),32.42417,74.42503,Combined,Punjab,1,1,623,460
 108 - Government Boys Primary School Chak Khina (P),32.42445,74.47,Combined,Punjab,1,1,861,711
 109 - Government Boys Primary School No.1 Bhopalwala. (P),32.42472,74.425,Combined,Punjab,2,1,930,760
 15 - Government Girls Elementry School Dogal. (P),32.42594,74.49592,Combined,Punjab,1,1,578,441
 266 - Government Model Primary School Fardaus pura  (P),32.42629,74.24683,Combined,Punjab,1,1,632,507
 57 - Government Girls Elementary School Lakra Kalan. (P),32.42638,74.46008,Combined,Punjab,1,1,610,492
 58 - Government Girls Primery School Lakra Khurd.,32.42638,74.46011,Combined,Punjab,1,1,388,320
 117 - Government Girls High School Hissa Primary Mohallah Zaildaran Bhopalwala. (Female) (P),32.42677,74.36417,Combined,Punjab,1,1,477,385
 118 - Government Model Elementry School Kotli Noonan (P),32.42677,74.3642,Combined,Punjab,1,1,784,709
 119 - Government Model Primary School Karanwali. (P),32.42677,74.36423,Combined,Punjab,1,1,620,417
 27 - Government Boys Elementry School Kot Ghuman(Male) (P),32.42703,74.29387,Male,Punjab,2,0,1081,0
 115 - Government Girls High School Hissa Primary Mohallah Zaildaran Bhopalwala. (Male) (P),32.42716,74.36692,Male,Punjab,2,0,1331,0
 116 - Government Girls High School Hissa Primary Mohallah Zaildaran Bhopalwala. (Female) (P),32.42716,74.36695,Female,Punjab,0,2,0,1119
 112 - Government Girls High School Hissa Primary Mohallah Zaildaran Bhopalwala.  (P),32.42794,74.36591,Combined,Punjab,2,2,913,846
 113 - Government Girls Elementary School Bhopalwala. (Male) (P),32.42794,74.36594,Male,Punjab,2,0,1540,0
 114 - Government Girls Elementary School Bhopalwala. (Female) (P),32.42807,74.36188,Female,Punjab,0,2,0,1264
 110 - Government Boys Primary School No.2 Bhopalwala(Male)  (P),32.42808,74.36181,Male,Punjab,2,0,1149,0
 199 - Government Girls High School Dhanawali (Male)  (P),32.42824,74.33353,Male,Punjab,2,0,1446,0
 216 - Government Boys Primary School  Kot Mahraj  (P),32.42949,74.37524,Combined,Punjab,1,1,830,588
 271 - Government Girls Higher Secndery  School Begowala(Male)(P),32.43009,74.34464,Male,Punjab,3,0,1592,0
 270 - Government Boys Elementry School Kotli Noonan (P),32.43053,74.3002,Combined,Punjab,1,1,808,650
 205 - Government Girls High School Rorras. (Female),32.43139,74.36472,Female,Punjab,0,2,0,1334
