StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
136,Government Girls High School Bathanwala,31.97186,74.69888,Male,Punjab,3,0,1286,0
137,Government Girls High School Bathanwala,31.97186,74.69891,Female,Punjab,0,2,0,950
134,Government High School Bathanwala,31.9725,74.69691,Combined,Punjab,1,1,556,425
135,Government High School Bathanwala,31.9725,74.69694,Combined,Punjab,1,1,554,350
162,Government Girls Primary School Dai Wala Malahan,31.97378,74.71922,Combined,Punjab,2,1,883,627
140,Government Boys Primary School Chaudhry Chaina.,31.97601,74.76962,Combined,Punjab,2,2,1138,847
141,Government Girls Elementary School Bhahnian,31.98212,74.7845,Combined,Punjab,2,1,755,556
47,Government Muslim High School Baddomalhi,31.98427,74.66357,Male,Punjab,3,0,1461,0
48,Government Muslim High School Baddomalhi,31.98427,74.6636,Female,Punjab,0,2,0,1200
50,Government Girls High School No.2 Nai Abadi Baddomalhi,31.98575,74.66002,Combined,Punjab,2,2,920,713
51,Government Girls High School No.2 Nai Abadi Baddomalhi,31.98575,74.66005,Combined,Punjab,2,1,708,535
158,Government Girls Primary School Thilli Malhian,31.98807,74.6423,Combined,Punjab,2,1,784,538
160,Government Girls Primary School Gagey Wali,31.99022,74.69685,Male,Punjab,3,0,1355,0
161,Government Girls Primary School Gagey Wali,31.99022,74.69688,Female,Punjab,0,2,0,1061
45,Government Girls High School No.1 Baddomalhi,31.99335,74.66851,Male,Punjab,4,0,1873,0
46,Government Girls High School No.1 Baddomalhi,31.99335,74.66854,Female,Punjab,0,3,0,1535
49,Government ? Degree College Baddomalhi,31.99363,74.66221,Combined,Punjab,2,1,616,506
43,Government Islamia High School Badomalhi,31.9938,74.66241,Male,Punjab,3,0,1357,0
44,Government Islamia High School Baddomalhi,31.9938,74.66244,Female,Punjab,0,2,0,1076
159,Government Higher Secondary School Rayya,31.99764,74.72413,Combined,Punjab,2,2,978,764
138,Government Girls Elementary School Narang Chaina,31.99783,74.75298,Combined,Punjab,2,1,743,528
139,Government Primary School Tharpal,32.00218,74.73665,Combined,Punjab,1,1,553,467
146,Government Girls Primary School Salair Mandi,32.00567,74.78624,Combined,Punjab,1,1,416,328
154,Government Girls Primary School Kotli Nawanian,32.00692,74.69625,Combined,Punjab,2,2,960,726
148,Government Boys Elementary School Kullah Manddiala,32.01041,74.75959,Combined,Punjab,2,2,1043,802
147,Government Girls High School Jevan Bhinder,32.01786,74.72845,Combined,Punjab,2,2,1058,788
145,Government Boys Elementary School Hajiwala,32.01952,74.77956,Combined,Punjab,1,1,527,437
156,Government Girls Primary School Bheelowali,32.02179,74.65883,Combined,Punjab,2,1,1061,717
142,Government Girls High School Dairianwala-,32.02746,74.78715,Male,Punjab,3,0,1220,0
143,Government Girls High School Dairianwala,32.02746,74.78718,Female,Punjab,0,2,0,1040
144,Government Girls High School Dairianwala,32.02746,74.78721,Combined,Punjab,2,2,1142,939
152,Government Girls Primary School Briyar,32.02824,74.69695,Combined,Punjab,2,1,1024,661
150,Government Girls Primary School Mahais Bibeywali,32.03243,74.76044,Combined,Punjab,1,1,661,444
133,Government  Girls Elementary School Daud,32.03251,74.77126,Combined,Punjab,2,2,971,738
151,Government Girls Primary School Adukey Khurd,32.03479,74.7398,Combined,Punjab,2,1,929,730
155,Government Girls Elementary School Agarian,32.03662,74.61429,Combined,Punjab,2,1,845,605
149,Government Boys Primary School Mahais Kalan,32.04042,74.75626,Combined,Punjab,2,1,704,422
128,Government Girls High School Pajowali,32.04526,74.81191,Male,Punjab,3,0,1280,0
129,Government Girls High School Pajowali,32.04526,74.81194,Female,Punjab,0,2,0,1033
132,Government Girls Primary School Nangal Wahla,32.04729,74.82472,Combined,Punjab,1,1,661,536
130,Government High School Arud Afghanan,32.04952,74.776,Male,Punjab,3,0,1362,0
131,Government High School Arud Afghanan,32.04952,74.77603,Female,Punjab,0,2,0,1045
127,Government High School Aorang Abad,32.05206,74.81519,Combined,Punjab,2,1,731,566
62,Government Girls Primary School Suttia Bumbia,32.05487,74.83312,Combined,Punjab,2,2,985,774
255,Government Girls High School Hallowal,32.05492,74.69675,Female,Punjab,0,2,0,1326
254,Government S/S School Hallowal,32.05527,74.69123,Male,Punjab,4,0,1925,0
245,Government Girls Primary School Gullah Mohara.,32.05919,74.67491,Combined,Punjab,2,1,931,712
61,Government Girls Primary School Dodey Wali,32.06121,74.85512,Combined,Punjab,2,1,734,593
125,Government Girls Primary School Borewali,32.06155,74.80183,Combined,Punjab,2,1,780,546
244,Government Boys High School Khokhar wali,32.06222,74.65776,Combined,Punjab,1,1,555,469
126,Government Girls Primary School Manddranwala,32.06445,74.82361,Combined,Punjab,1,1,715,556
224,Government Girls Elementry School Dharag Miana,32.06639,74.7382,Combined,Punjab,2,1,746,582
226,Govt. Girls E/S Kalkhana,32.06713,74.7595,Combined,Punjab,2,1,651,544
257,Government High School Dhrag Miana,32.06889,74.72629,Combined,Punjab,2,2,1156,913
122,Government Elementary School Kalas Goraya,32.07026,74.83202,Combined,Punjab,2,1,792,656
222,Government Girls Primary School Raoke,32.07045,74.71727,Combined,Punjab,2,2,1035,812
223,Government Girls Elementary School Rattian,32.07068,74.70746,Combined,Punjab,2,1,712,580
64,Government Girls Primary School Parana Wahla,32.07068,74.96233,Combined,Punjab,2,1,992,799
75,Government Boys Elementary School Mohar Sharif,32.07364,74.87595,Male,Punjab,3,0,1276,0
246,Government EM Islamia High School Chanderkey Mangoley,32.07376,74.64465,Combined,Punjab,2,1,765,630
76,Government Girls Elementary School Mohar Sharif,32.07376,74.87586,Female,Punjab,0,2,0,955
63,Government Girls Primary School Fassipur  P,32.07398,74.9244,Combined,Punjab,1,1,665,511
124,Government Girls Primary School Balian,32.0753,74.82385,Combined,Punjab,2,1,792,562
239,Government Girls Elementary School Mianwali.,32.076,74.66013,Combined,Punjab,2,1,954,668
256,Government Girls Primary School Gopalpur,32.07652,74.70103,Combined,Punjab,1,1,615,461
80,Government Boys High School Ransinwal,32.07837,74.86263,Combined,Punjab,1,1,674,534
81,Government Boys High School Ransinwal,32.07837,74.86266,Combined,Punjab,2,1,691,623
56,Government Girls Primary School Raib,32.08406,74.89051,Male,Punjab,3,0,1157,0
57,Government Girls Primary School Raib,32.08406,74.89054,Female,Punjab,0,2,0,907
236,Government Boys Primary School Walley Key,32.08448,74.74852,Combined,Punjab,2,1,966,680
70,Government Girls Primary School Kotli Bajwa,32.08536,74.88708,Combined,Punjab,1,1,679,524
242,Government Girls Elementary School Bhodhi Mallian,32.08639,74.59222,Combined,Punjab,1,1,700,501
78,Government Girls Primary School Ali Abad  (Boys Portion) (Male) (P),32.08653,74.95083,Male,Punjab,3,0,1111,0
77,Government Girls Primary School Ali Abad,32.08704,74.95131,Combined,Punjab,2,1,828,611
79,Government Girls Primary School Ali Abad,32.08704,74.95134,Female,Punjab,0,2,0,924
