PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 135 - Govt: Middle Primary School Ghawar Kalay (Male),34.392772495601115,71.82160571044551,Male,KPK,4,0,1558,0
 40 - Govt. Degree College Badraga (Female),34.394,71.84392,Female,KPK,0,3,0,949
 41 - Govt. Primary School Khushal Garh (Male),34.39534,71.87206,Male,KPK,4,0,1252,0
 136 - Govt:Girls Primary School Ghawar Kalay (Female),34.400658685907445,71.82229721842326,Female,KPK,0,3,0,1139
 130 - Govt Primary School Ashakai (Combined),34.40101461337091,71.84420775742534,Combined,KPK,2,2,748,618
 129 - Govt: Girls  Middle School Ashakai (Combined),34.40306232226245,71.84366389515328,Combined,KPK,1,1,465,347
 49 - Govt. Primary School Hero Shah Palo Now (P.S-2) (Male),34.40538,71.78973,Male,KPK,4,0,1307,0
 123 - Govt Primary School Salgaro Banda (Male),34.406387607831164,71.81955914125376,Male,KPK,3,0,1157,0
 50 - Govt Girls High School Nehir Bangla (Combined),34.40783447694863,71.79291622493986,Combined,KPK,2,1,617,486
 131 - Govt: Primary School Qadar Kalay  (Male),34.411654544502106,71.82957759639625,Male,KPK,4,0,1476,0
 133 - Govt:High School Koper (Male),34.42202910042137,71.8764670486138,Male,KPK,4,0,1669,0
 134 - Govt: Girls Higher Secondary School Koper (Female),34.422051206098374,71.87779011911417,Female,KPK,0,4,0,1307
 128 - Govt Primary School Ghani Dherai (Combined),34.4222,71.83981,Combined,KPK,2,2,891,656
 33 - Govt Primary School Jarai (Male),34.42375,71.91078,Male,KPK,3,0,1098,0
 125 - Govt Girls Middle School Baghdin Kalay (Female),34.4252180627856,71.85437425209204,Female,KPK,0,4,0,1204
 124 - Govt: Middle School Muhammad Patay (Male),34.42569270686006,71.8508126540762,Male,KPK,4,0,1665,0
 126 - Govt: Higher Secondary School Ghani Dherai (Male),34.4259,71.8507,Male,KPK,4,0,1420,0
 45 - Govt Girls Primary School New Hero Shah No.2 Gul Zada kalay (Female),34.42825204535319,71.8232166647723,Female,KPK,0,3,0,1150
 31 - Govt: Girls Primary School Jharai  (Combined),34.42936776526518,71.90840159274755,Combined,KPK,2,1,691,537
 29 - Govt Primary School Dawa Khan Kalay (Male),34.42978,71.89646,Male,KPK,4,0,1222,0
 34 - Govt: Girls primary School Ghoundo Payan  (Combined),34.43154533244864,71.92773410693965,Combined,KPK,2,1,738,527
