StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
68,Government Girls High School Kohlowala  (Male),32.08641,74.1738,Male,Punjab,4,0,2184,0
69,Government Girls High School Kohlowala  (Female),32.08641,74.17383,Female,Punjab,0,3,0,1654
76,Government Boys Primary School Qila Chand (Combined),32.09139,74.20055,Combined,Punjab,1,1,740,599
72,Federal Science College For Boys (WAPDA  Town) (Male),32.09216,74.18531,Male,Punjab,3,0,1461,0
73,Federal Science College For Boys (WAPDA  Town)  (Female),32.09216,74.18534,Female,Punjab,0,3,0,1351
74,Allied School Haram Campus- St # 1- Jalil Town (Combined),32.09222,74.19722,Combined,Punjab,2,2,1196,995
70,Federal Science College For Girls (WAPDA  Town) (Male),32.0946,74.18031,Male,Punjab,3,0,1534,0
71,Federal Science College For Girls (WAPDA  Town)  (Female),32.0946,74.18034,Female,Punjab,0,3,0,1301
75,Government Girls M/S Kashmir Colony Qila Chand (Combined),32.09611,74.20222,Combined,Punjab,2,2,1008,867
25,Government Boys Elementary School Mian Sansi Mohallah Qaim Ali Shah Mian Sansi Road (Male),32.10222,74.19778,Male,Punjab,4,0,2165,0
49,Government Girls High School Kashmir Colony No. 2 Near Murad Eye Hospital (Combined),32.10222,74.19781,Combined,Punjab,2,2,1059,930
50,Lacas- Judicial Colony Gujranwala Campus-  (Male),32.10611,74.19417,Male,Punjab,3,0,1696,0
51,Lacas- Judicial Colony Gujranwala Campus-   (Female),32.10611,74.1942,Female,Punjab,0,3,0,1488
52,Gujranwala College Of Pharmacy Technician (Male),32.10917,74.18806,Male,Punjab,4,0,2563,0
53,Gujranwala College Of Pharmacy Technician  (Female),32.10917,74.18809,Female,Punjab,0,3,0,1903
78,Sun Rise High School System 40 Foot Bazar  Khiali Shah Pur (Beroon)  (Female),32.10972,74.16722,Female,Punjab,0,3,0,1631
77,Government Boys High School Khiali Shah Pur (Beroon) (Male),32.11278,74.17166,Male,Punjab,4,0,2107,0
81,Government Boys High School Khiali Shah Pur Beroon (Male),32.11278,74.17169,Male,Punjab,4,0,2401,0
82,Government Boys High School Khiali Shah Pur (Beroon)  (Female),32.11278,74.17172,Female,Punjab,0,3,0,1635
57,Government M.C School No. 15- 30 Ft Bazar Sardar Colony (Male),32.1128,74.18059,Male,Punjab,3,0,1791,0
79,Sher Ali High School Iftikhar Colony Khiali Shah Pur Beroon Gujranwala (Male),32.11305,74.16583,Male,Punjab,3,0,1598,0
80,Sher Ali High School Iftikhar Colony Khiali Shah Pur Beroon Gujranwala  (Female),32.11305,74.16586,Female,Punjab,0,2,0,1185
58,Hassan Public School St# 6 Sardar Colony  (Female),32.11329,74.17826,Female,Punjab,0,2,0,1244
56,Ameer Public School- Abu Bakar Park- Gujranwala (Combined),32.11454,74.17787,Combined,Punjab,2,2,1354,864
59,Al-Noor High School (Reg.) Near Jamia Masjid Sakina Khajoor Wali Madni Road Gujranwala  (Male),32.11481,74.17641,Male,Punjab,4,0,2438,0
5,Govt. Primary School Affan G Town Gujranwala (Female),32.1152,74.19181,Female,Punjab,0,4,0,2099
61,The Pakistan School Tower Road Gujranwala (Male),32.11594,74.17143,Male,Punjab,3,0,1677,0
62,The Pakistan School Tower Road Gujranwala  (Female),32.11594,74.17146,Female,Punjab,0,2,0,1282
63,Times School Tower Road Gujranwala (Combined),32.11644,74.17162,Combined,Punjab,2,1,844,589
60,The Royal School Of Science (Female Portion) Girjay Wala Bazar Gujranwala  (Female),32.11759,74.17599,Female,Punjab,0,3,0,1860
54,M.S Memorial School Faisal Colony Gujranwala (Male),32.11827,74.18289,Male,Punjab,3,0,1445,0
55,M.S Memorial School Faisal Colony Gujranwala  (Female),32.11827,74.18292,Female,Punjab,0,2,0,1043
64,Government Boys High School Dairey Wala (Primary Portion) (Combined),32.11923,74.17249,Combined,Punjab,2,1,969,687
39,The Punjab College Of Science for boys- Near Jamia Masjid Faiz E Madina Khiali Shahpur Gujranwala (Male),32.12029,74.17702,Male,Punjab,3,0,1828,0
40,Government Girls Elementary School Opposite Jamia Masjid Faiz E Madina Gujranwala  (Female),32.12029,74.17705,Female,Punjab,0,2,0,1273
41,The Punjab College Of Science for boys- Near Jamia Masjid Faiz E Madina Khiali Shahpur Gujranwala (Male),32.12029,74.17708,Male,Punjab,3,0,1678,0
42,Government Girls Elementary School Opposite Jamia Masjid Faiz E Madina Gujranwala  (Female),32.12029,74.17711,Female,Punjab,0,3,0,1354
1,Government Primary School- Hashmi Colony- Gujranwala (Male),32.12095,74.18985,Male,Punjab,3,0,1590,0
2,Government Primary School- Hashmi Colony- Gujranwala  (Female),32.12095,74.18988,Female,Punjab,0,2,0,1137
21,Nizami High School Hashmi Colony Gujranwala  (Male),32.12097,74.18863,Male,Punjab,3,0,1777,0
22,Nizami High School Hashmi Colony Gujranwala   (Female),32.12097,74.18866,Female,Punjab,0,3,0,1380
45,Faran College- Khiali Shahpur- Gujranwala (Male),32.12103,74.17501,Male,Punjab,3,0,1510,0
47,Faran College- Khiali Shahpur- Gujranwala (Male),32.12103,74.17504,Male,Punjab,3,0,1502,0
46,Government Girls High School Khiali Shah Pur Near Tanki Adda  (Female),32.12136,74.17514,Female,Punjab,0,2,0,1165
48,Government Girls High School Khiali Shah Pur Near Tanki Adda  (Female),32.12136,74.17517,Female,Punjab,0,2,0,1199
43,Askari Public School Near Madrassa Zia Ul Quran Katcha Khiali Road Khiali Gujranwala (Male),32.12146,74.17493,Male,Punjab,3,0,1485,0
44,Askari Public School Near Madrassa Zia Ul Quran Katcha Khiali Road Khiali Gujranwala  (Female),32.12146,74.17496,Female,Punjab,0,2,0,1119
6,Government Girls High School G.T Road Sarfraz Colony Gujranwala (Combined),32.12304,74.19518,Combined,Punjab,2,1,836,669
7,Government Girls High School G.T Road Sarfraz Colony Gujranwala (Male),32.12304,74.19521,Male,Punjab,3,0,1472,0
8,Government Girls High School G.T Road Sarfraz Colony Gujranwala  (Female),32.12304,74.19524,Female,Punjab,0,2,0,1206
36,Government Pakistan Baitul Mal School Khiali Town (Male),32.12375,74.17702,Male,Punjab,3,0,1488,0
37,Government Pakistan Baitul Mal School Khiali Town (Male),32.12375,74.17705,Male,Punjab,2,0,890,0
38,Ravi School Mohallah Khiaban E Tariq Khiali Shahpur   (Female),32.12375,74.17708,Female,Punjab,0,3,0,1678
10,Government Girls Elementary School Mumtaz Colony- Main Road Sarfraz Colony  (Female),32.12399,74.19015,Female,Punjab,0,2,0,1955
23,The Pakistan School- Gulshan-E-Adeel- Hashmi Colony- Gujranwala (Male),32.12399,74.19018,Male,Punjab,3,0,1756,0
24,Government Girls Elementry School Main Road Safraz Colony   (Female),32.12399,74.19021,Female,Punjab,0,2,0,1245
9,Government Girls Elementary School Mumtaz Colony- Main Road Sarfraz Colony (Male),32.12399,74.19024,Male,Punjab,3,0,2715,0
35,Al-Falah International School Cheema Abadi Gujranwala  (Female),32.12433,74.17886,Female,Punjab,0,3,0,1476
33,Government Boys Primary School Asad Colony Bazar No. 5 Near Jamia Lasania Rizvia   (Female),32.12455,74.18327,Female,Punjab,0,2,0,1193
34,Raza Academy Asad Colony Gujranwala (Male),32.12455,74.1833,Male,Punjab,4,0,2119,0
32,Allied School Khiali Campus- Gujranwala (Male),32.12685,74.17889,Male,Punjab,3,0,1598,0
66,Al-Badar Girls High School Gulshan Colony- Sheikhupura Road- Gujranwala (Combined),32.12694,74.18222,Combined,Punjab,2,2,1051,813
67,Nasir Memorial Girls High School Gulshan Colony Sheikhupura Road- Gujranwala (Combined),32.1275,74.18305,Combined,Punjab,2,2,1083,860
83,National Model School Anwer Town (Combined),32.12861,74.15806,Combined,Punjab,2,2,1012,791
129,Government Rural Dispensary Noushera Sansi- Gujranwala (Male),32.1287,74.16476,Male,Punjab,2,0,1212,0
130,Government Rural Dispensary Noushera Sansi- Gujranwala (Male),32.1287,74.16479,Male,Punjab,2,0,1077,0
65,Keen Islamic Public School Street No. 1. Madina Colony Sheikhupura Raod- Gujranwala (Combined),32.12944,74.18166,Combined,Punjab,2,1,790,614
14,Punjab College Of Science Opposite Taj Mahal Marriage Hall - G.T. Road - Gujranwala (Male),32.13119,74.19342,Male,Punjab,3,0,1571,0
15,Punjab College Of Science Opposite Taj Mahal Marriage Hall - G.T. Road - Gujranwala  (Female),32.13119,74.19345,Female,Punjab,0,3,0,1138
131,Government Girls High School Nowshera Sansi- Bhatta Abadi (Female),32.13151,74.16446,Female,Punjab,0,3,0,1654
148,Government Girls High School Nowshera Sansi- Gujranwala  (Female),32.13151,74.16449,Female,Punjab,0,3,0,1480
13,Government Primary School Ali Pura Road- Gujranwala (Combined),32.13308,74.1911,Combined,Punjab,2,2,1151,838
149,Government Girls Community Model School- Noshera Sansi Gujranwala (Male),32.13323,74.16435,Male,Punjab,4,0,2247,0
150,Government Girls Community Model School- Noshera Sansi Gujranwala  (Female),32.13323,74.16438,Female,Punjab,0,3,0,1651
