PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 229 - Government Boys Elementary School Bahri (Combined),32.33815,73.59414,Combined,Punjab,2,1,1016,727
 231 - Government Boys Primary School Randiyali (Combined),32.35069,73.6276,Combined,Punjab,2,1,944,785
 228 - Government Boys Primary School Chak Lakhya (Combined),32.35115,73.58137,Combined,Punjab,1,1,629,381
 313 - Government Model Primary School Manga (Combined),32.36448,73.68014,Combined,Punjab,1,1,844,566
 230 - Government Girl Community Model School Chak Kamal (Combined),32.36771,73.61224,Combined,Punjab,1,1,830,591
 234 - Government Model Primary School Thathi Murid (Combined),32.3732,73.64586,Combined,Punjab,1,1,581,441
 227 - Government Boys Elementary School Dhal (Combined),32.37412,73.56502,Combined,Punjab,2,1,979,724
 314 - Government Girls Elementary School Agroia (Combined),32.38241,73.69768,Combined,Punjab,2,2,1080,933
 312 - Government Primary School Dhbola (Combined),32.38243,73.68249,Combined,Punjab,1,1,491,403
 324 - Government Boys Primary School Sahanpal Sharif (Combined),32.38542,73.72974,Combined,Punjab,2,1,981,802
 239 - Government Model Primary School Kot Hamid Shah (Combined),32.38738,73.59739,Combined,Punjab,1,1,653,563
 315 - Government Girls Primary School Sarang (Combined),32.38878,73.70848,Combined,Punjab,1,1,760,555
 226 - Government Boys Primary School Bumbali (Combined),32.38905,73.57006,Combined,Punjab,2,1,923,681
 322 - Government Boys Elementary School Ranmal Sharif East (Combined),32.39011,73.73929,Combined,Punjab,1,1,572,469
 323 - Government Boys Elementary School Ranmal Sharif West (Combined),32.39011,73.73932,Combined,Punjab,2,1,801,660
 241 - Government Benazir Bhutto Shaheed Boys High School Suleman (Combined),32.39202,73.61976,Combined,Punjab,1,1,679,613
 240 - Government Model Primary School Gujjan (Combined),32.39494,73.62047,Combined,Punjab,1,1,562,457
 233 - Government Boys High School Ghanian (Combined),32.39774,73.64523,Combined,Punjab,2,1,875,665
 316 - Government Zulifqar Ali Bhutto Shaheed Elementary School Bhagat (Combined),32.39827,73.70772,Combined,Punjab,1,1,665,534
 327 - Government Centre Primary School- Jokalian (Combined),32.4001,73.78975,Combined,Punjab,2,1,928,747
 225 - Government Boys Primary School Daday (Combined),32.40037,73.51817,Combined,Punjab,2,1,874,624
 325 - Government Girls High School Jokalian (Combined),32.40182,73.78768,Combined,Punjab,2,1,944,760
 326 - Government Girls High School (Primary Portion) Jokalian (Combined),32.40237,73.7887,Combined,Punjab,2,1,1092,877
 232 - Government Girls High School Ghanian (Combined),32.4034,73.64872,Combined,Punjab,2,1,1063,828
 300 - Government Girls Elementary School Thatha Alia (Combined),32.4062,73.75314,Combined,Punjab,2,1,887,808
 302 - Government Model Primary School Kotla Mehmood Shah (Combined),32.40721,73.76537,Combined,Punjab,1,1,754,561
 238 - Government Primary School Dhreeka Khurd (Combined),32.40723,73.67281,Combined,Punjab,1,1,853,684
 222 - Government Boys Primary School Dougal (Combined),32.41113,73.56734,Combined,Punjab,1,1,747,601
 320 - Government Public Boys High School Pindi Kalu East (Combined),32.4125,73.72687,Combined,Punjab,2,1,953,786
 321 - Government Public Boys High School Pindi Kalu West (Combined),32.4125,73.7269,Combined,Punjab,1,1,497,424
 329 - Government Girls Elementary School Khosar (Combined),32.41273,73.81608,Combined,Punjab,2,1,916,699
 317 - Government Model Primary School Karmanwala (Combined),32.41372,73.69753,Combined,Punjab,2,1,857,522
 223 - Government Girls Primary School Dougal (Combined),32.41397,73.56637,Combined,Punjab,1,1,518,399
 301 - Government Model Primary School Kot Sattar Sharqi (Combined),32.41523,73.75794,Combined,Punjab,2,1,932,747
 298 - Government Model Primary School Kot Paijo (Combined),32.41604,73.76831,Combined,Punjab,1,1,399,331
 344 - Government Girls Primary School Phalia Boota (Combined),32.41647,73.57796,Combined,Punjab,2,1,779,572
 296 - Government Model Primary School Long (Combined),32.41665,73.85081,Combined,Punjab,1,1,650,512
 220 - Government Boys Elementary School Kailu (Combined),32.41667,73.54408,Combined,Punjab,2,1,1141,960
 318 - Government Boys Primary School Jonokay (Combined),32.41708,73.71398,Combined,Punjab,2,1,368,272
 236 - Government Girls Primary School Phiray (Combined),32.41869,73.66853,Combined,Punjab,2,1,983,706
 221 - Government Benazir Bhutto Shaheed Girls High School Kailu (Combined),32.42087,73.53706,Combined,Punjab,1,1,757,582
 309 - Government Model Primary School Charkay (Combined),32.42258,73.83502,Combined,Punjab,2,1,920,723
 235 - Government Boys Elementary School Phiray (Combined),32.4231,73.66318,Combined,Punjab,2,1,934,724
 347 - Government Islamia High School- Phalia City East (Combined),32.4247,73.58651,Combined,Punjab,1,1,631,477
 348 - Government Islamia High School- Phalia City West (Male),32.4247,73.58654,Male,Punjab,3,0,1153,0
 349 - Government Islamia High School- Phalia City North (Male),32.4247,73.58657,Male,Punjab,3,0,1318,0
