PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 249 - Govt. Girls Middle  School Chak No.38 S.B. East (Combined)(P),31.913751777234445,72.89030159377808,Combined,Punjab,2,2,800,680
 250 - Govt.Girls Middle  School Chak No.38 S.B. West(Combined) (P),31.913751777234445,72.8903315937781,Combined,Punjab,1,1,445,401
 188 - GOVERNMENT MODEL PRIMARY SCHOOL HAYAT PUR (T),31.941019073053084,73.11069549969562,Combined,Punjab,1,1,489,383
 264 - Govt. Boys Elementary School Chak NO.32 S.B.(Combined)  (P),31.942616496023152,72.91537657807508,Combined,Punjab,2,2,991,810
 187 - GOVERNMENT GIRLS ELEMENTARY SCHOOL RATA PUR  (T),31.94549449608865,73.08678307171031,Combined,Punjab,2,2,1177,951
 214 - GOVERNMENT BOYS PRIMARY SCHOOL TALIB WALA (T),31.946494368009184,73.14194817968148,Combined,Punjab,2,1,748,622
 186 - GOVERNMENT MODEL PRIMARY SCHOOL CHANI TAJA REHAN (T),31.94794,73.07016,Combined,Punjab,1,1,620,523
 247 - Government Girls High School Chak No.33 S.B.(Combined) (P),31.95007621622148,72.88442679213264,Combined,Punjab,2,1,792,681
 248 - (101) Government Girls High School Chak No.33 S.B.(Combined) (P),31.95007621622148,72.8844567921326,Combined,Punjab,1,1,479,385
 251 - Government Girls Primary Chak No.51 ASB (Combined) (T),31.954008186755857,72.93455261565511,Combined,Punjab,1,1,421,400
 216 - GOVERNMENT GIRLS PRIMARY SCHOOL REHANWAL (T),31.95814,73.13237,Combined,Punjab,2,1,739,565
 215 - GOVERNMENT MODEL PRIMARY SCHOOL REHANWAL (T),31.958142658735525,73.13236724899544,Combined,Punjab,1,1,473,350
 262 - Government Girls Middle School Chak No.31 S.B. East (Male) (P),31.958590656648614,72.92037907620144,Male,Punjab,3,0,1561,0
 263 - Government Girls Middle School Chak No.31 S.B. West (Female) (P),31.958590656648614,72.9204090762014,Female,Punjab,0,2,0,1135
 212 - GOVERNMENT MODEL PRIMARY SCHOOL GORNA COLONY(T),31.96039324364708,73.11579523875545,Combined,Punjab,1,1,760,610
 261 - Government Boys Middle school Chak No.31 S.B.(Combined) (P),31.96127273535055,72.9193749081326,Combined,Punjab,2,1,704,475
 255 - Government Boys High School Chak No.34 S.B.  (Combined)(P),31.961672880370912,72.86675737553371,Combined,Punjab,2,1,807,636
 256 - (108) Government Boys High School Chak No.34 S.B.  (Combined)(P),31.961672880370912,72.8667873755337,Combined,Punjab,1,1,446,297
 257 - Government Girls  High School Chak No.34 S.B. (Combined) (P),31.965835759981175,72.86878171353129,Combined,Punjab,2,2,909,703
 326 - Government Boys Primary School Ghurki (Combined) (T),31.97052221110709,72.9770402256567,Combined,Punjab,1,1,617,512
 258 - Government Boys Elementary School Chak NO.30 S.B. EAST  (Male)   (P),31.97149932502268,72.91749132288028,Male,Punjab,3,0,1584,0
 259 - Government Boys Elementary School Chak NO.30 S.B. West (Female) (P),31.97149932502268,72.9175213228803,Female,Punjab,0,3,0,1390
 204 - GOVERNMENT GIRLS HIGH SCHOOL JAN MUHAMMAD WALA (Male ) (P),31.973852487414035,73.09654949933343,Male,Punjab,3,0,1517,0
 205 - GOVERNMENT GIRLS HIGH SCHOOL JAN MUHAMMAD WALA (FEMALE ) (P),31.973852487414035,73.0965794993334,Female,Punjab,0,2,0,1145
 190 - GOVERNMENT BOYS PRIMARY SCHOOL BHAKHI KHOKHRAN WALI (T),31.975344645599428,73.03982760216023,Combined,Punjab,2,2,878,730
 211 - GOVERNMENT BOYS PRIMARY SCHOOL GORNA (T),31.977103227399414,73.14920128626251,Combined,Punjab,2,1,731,574
 269 - Govt. Girls High School Chak No.29 S.B. East (Combined) (P),31.97783308526342,72.89562283567078,Combined,Punjab,1,1,521,501
 270 - Govt. Girls High School Chak No.29 S.B.  West (Combined) (P),31.97783308526342,72.8956528356708,Male,Punjab,2,0,1062,0
 271 - (133) Govt. Girls High School Chak No.29 S.B.  West (Combined) (P),31.97783308526342,72.8956828356708,Female,Punjab,0,2,0,894
 260 - Govt. Girls High School Chak No.30 S.B. (Combined) (P),31.97831724049296,72.89475149118668,Combined,Punjab,1,1,521,416
 184 - GOVERNMENT BOYS HIGH SCHOOL LAKSEEN (P),31.9793209416796,73.07786326308144,Combined,Punjab,1,1,637,444
 185 - GOVERNMENT BOYS HIGH SCHOOL LAKSEEN (P),31.9793209416796,73.0778932630814,Combined,Punjab,2,1,740,624
 206 - GOVERNMENT BOYS PRIMARY SCHOOL                 CHAK KHANA (P),31.979766898777687,73.12802891558896,Combined,Punjab,2,1,767,580
 254 - Government Girls High School Chak No.35  S.B.(Combined) (P),31.980150937317795,72.84958882525173,Combined,Punjab,2,2,845,673
 189 - GOVERNMENT MODEL PRIMARY SCHOOL   KOT NAJA (T),31.9824548407142,73.0677162890955,Combined,Punjab,2,1,671,494
 193 - GOVERNMENT BOYS PRIMARY SCHOOL CHANNI MUHAMMAD QAZI (T),31.984676768442164,73.06636223824334,Combined,Punjab,2,2,1179,933
 197 - GOVERNMENT GIRLS HIGH SCHOOL DOODHA (P),31.987008897260903,73.01419374691152,Combined,Punjab,2,1,763,626
 198 - GOVERNMENT GIRLS HIGH SCHOOL DOODHA (P),31.987008897260903,73.0142237469115,Combined,Punjab,2,1,788,620
 213 - GOVERNMENT BOYS PRIMARY SCHOOL BURKAN (T),31.98771911939065,73.20502093758333,Combined,Punjab,2,2,658,460
 199 - BASIC HEALTH UNIT DOODHA (T),31.989536539404934,73.02229972672102,Combined,Punjab,2,1,749,570
 194 - GOVERNMENT BOYS HIGH SCHOOL DODHA (P),31.991018465168214,73.0238249973274,Combined,Punjab,2,2,1822,1339
 195 - GOVERNMENT BOYS HIGH SCHOOL DODHA (P),31.991018465168214,73.0238549973274,Male,Punjab,2,0,1110,0
 196 - (226) GOVERNMENT BOYS HIGH SCHOOL DODHA (P),31.991018465168214,73.0238849973274,Female,Punjab,0,2,0,881
 253 - Govt: Girls Middle School Chak No.28/SB (West) (Combined) (P),31.99393048242991,72.87535470053011,Combined,Punjab,2,1,780,641
