PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 310 - GOVERNMENT BOYS MOEDL MIDDLE SCHOOL CHAK NO.165 NB  (COMB)  (T),31.598096540462436,72.24191451783655,Combined,Punjab,1,1,631,491
 312 - GOVERNMENT BOYS  HIGH SCHOOL CHAK .162/164 NB (MALE) (T),31.605501154684248,72.25840187279515,Male,Punjab,3,0,1343,0
 313 - GOVERNMENT BOYS HIGH SCHOOL CHAK .162/164 NB (FEMALE) (T),31.605541625957063,72.25841747802956,Female,Punjab,0,2,0,1130
 308 - GOVERNMENT BOYS PRIMARY SCHOOL No 2- CHAK NO.163 NB (MALE) (T),31.60599783118731,72.24928861488002,Male,Punjab,3,0,1400,0
 309 - GOVERNMENTGIRLS HIGH SCHOOL - CHAK NO.163 NB (FEMALE) (T),31.607214634369807,72.24602899850757,Female,Punjab,0,2,0,1070
 311 - GOVERNMENT BOYS ELEMENTARY SCHOOL CHAK .160/N.B (COMB)  (T),31.625569820649698,72.28894064205377,Combined,Punjab,2,1,821,619
 307 - GOVERNMENT GIRLS ELEMENTARY SCHOOL - CHAK NO.161 NB (FEMALE) (T),31.63550959647124,72.2719683022406,Female,Punjab,0,2,0,990
 306 - GOVERNMENT BOYS PRIMARY SCHOOL - CHAK NO.161 NB (MALE) (T),31.636527737554708,72.27378477817254,Male,Punjab,3,0,1353,0
 285 - GOVERNMENT BOYS  HIGHER SECONDARY  SCHOOL        CHAK NO.157 NB (COMB) (P),31.64950131457545,72.32700799194048,Male,Punjab,3,0,1275,0
 286 - (15) GOVERNMENT BOYS  HIGHER SECONDARY  SCHOOL        CHAK NO.157 NB (COMB) (P),31.64950131457545,72.3270379919405,Female,Punjab,0,2,0,1084
 284 - GOVERNMENT BOYS  HIGHER SECONDARY   SCHOOL        CHAK NO.157 NB  (COMB) (P),31.64954602065771,72.32702950321796,Combined,Punjab,2,1,839,593
 328 - GOVERNMENTBOYS  PRIMARY SCHOOL- CHAK NO.174 NB   (COMB)  (T),31.65090833544784,72.34653527770882,Combined,Punjab,1,1,476,348
 287 - GOVERNMENT BOYS PRIMARY SCHOOL- CHAK NO.158  NB (COMB) (T),31.657737242209944,72.29402732834848,Combined,Punjab,1,1,315,246
 288 - GOVERNMENT GIRLS  MIDDLE  SCHOOL- CHAK NO.159  NB (COMB) (P),31.657737242209944,72.2940573283485,Combined,Punjab,2,1,874,645
 295 - (23) GOVERNMENT GIRLS ELEMENTARY SCHOOL 155 NB (Female),31.66651,72.32273,Female,Punjab,0,2,0,941
 294 - GOVERNMENT BOYS PRIMARY SCHOOL- CHAK NO.155  NB  (Male)  (T),31.66716070511502,72.32216543533464,Male,Punjab,2,0,1174,0
 293 - GOVERNMENT BOYS PRIMARY SCHOOL- CHAK NO.155  NB  (COMB)  (T),31.66719951171171,72.32215412094627,Combined,Punjab,2,1,787,573
 292 - GOVERNMENT BOYS ELEMENTARY SCHOOL- CHAK NO.154  NB  (COMB)  (T),31.67865642146479,72.331609256932,Combined,Punjab,2,2,892,721
 296 - GOVERNMENT BOYS HIGH SCHOOL- CHAK NO.156 NB  (COMB)  (T),31.68044448128515,72.30342556370452,Combined,Punjab,2,2,914,759
