PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 298 - GOVERNMENT BOYS PRIMARY SCHOOL- MURAD WALA  (COMB) (T),31.771890460989134,72.37317351401317,Combined,Punjab,2,2,943,670
 293 - GOVERNMENT GIRLS ELEMENTARY SCHOOL NOOREWALA  (COMB) (P),31.774090569603967,72.31987861290693,Combined,Punjab,2,2,975,738
 292 - GOVERNMENT MODEL PRIMARY SCHOOL GULBANA  (COMB) (T),31.787206790756844,72.3288855839831,Combined,Punjab,2,1,710,568
 296 - GOVERNMENT BOYS HIGH SCHOOL THATHI JALAL (MALE) (P),31.792894613840733,72.38653601836103,Male,Punjab,2,0,1001,0
 297 - GOVERNMENT BOYS HIGH SCHOOL THATHI JALAL (FEMALE) (P),31.792894613840733,72.386566018361,Female,Punjab,0,2,0,697
 288 - GOVERNMENT BOYS PRIMARY SCHOOL- CHAWEKA  (COMB) (T),31.79348811052067,72.26534490361502,Combined,Punjab,2,1,768,604
 289 - GOVERNMENT GIRLS PRIMARY SCHOOL SHAHPUR KANJU  (COMB) (T),31.795265777285497,72.24114569153285,Combined,Punjab,2,2,980,790
 299 - GOVERNMENT BOYS PRIMARY SCHOOL THATHA MUHAMMAD PANAH   (COMB) (T),31.80064238967132,72.42396797067639,Combined,Punjab,1,1,648,552
 305 - GOVERNMENT MODEL PRIMARY SCHOOL WALLAH  (COMB) (T),31.805699920681437,72.3449108789067,Combined,Punjab,2,1,675,482
 286 - GOVERNMENT BOYS HIGH SCHOOL- JAHANIAN SHAH (MALE) (P),31.80708024504305,72.27457211176036,Male,Punjab,4,0,1838,0
 287 - GOVERNMENT BOYS HIGH SCHOOL- JAHANIAN SHAH (FEMALE)  (P),31.80708024504305,72.2746021117604,Female,Punjab,0,3,0,1368
 300 - GOVERNMENT BOYS PRIMARY SCHOOL RABANA  (COMB) (T),31.808967007960625,72.37268577717145,Combined,Punjab,2,2,1022,823
 302 - GOVERNMENT MODEL PRIMARY SCHOOL NOSHEHRA  (COMB) (T),31.80927809706151,72.39895533334948,Combined,Punjab,2,1,695,585
 291 - GOVERNMENT BOYS  HIGH SCHOOL HAVELI MAJOKA (FEMALE) (T),31.816564919880374,72.25886872565124,Female,Punjab,0,3,0,1630
 290 - Govt. Girls Elementary School- Havali Majooka (MALE) (T),31.823263513719066,72.25620776441613,Male,Punjab,4,0,1815,0
 282 - GOVERNMENT BOYS HIGHER  SECONDARY SCHOOL  NEHANG (MALE) (P),31.82741674032506,72.29601392489676,Male,Punjab,3,0,1351,0
 283 - GOVERNMENT BOYS HIGHER SECONDARY SCHOOL  NEHANG (FEMALE) (P),31.82741674032506,72.2960439248968,Female,Punjab,0,2,0,1081
 284 - GOVERNMENT BOYS PRIMARY SCHOOL- FATEH WALA  (COMB) (T),31.828459728136973,72.30956519406126,Combined,Punjab,2,1,706,591
