PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 222 - Government Girls Primary School Jatoi Wala,31.58242,71.95795,Combined,Punjab,1,1,333,293
 217 - Government Boys Elementary School- Dado Wala,31.62254,71.92291,Combined,Punjab,1,1,706,683
 216 - Government Girls Primary School- Dadowala,31.62655,71.91136,Combined,Punjab,1,1,261,284
 218 - Government Boys High School- Shah Hussain,31.66356,71.99615,Combined,Punjab,1,1,619,620
 221 - Gorvernment Girls Primary School Borana,31.66411,71.99599,Female,Punjab,0,2,0,856
 219 - Government Boys High School- Burana Wala (Middle Portion),31.67123,71.98931,Combined,Punjab,2,2,856,800
 220 - Government Boys High School- Burana Wala (Primary Portion),31.67123,71.98934,Male,Punjab,2,0,998,0
 228 - Government Boys High School- Katimar (Middle Portion),31.69474,71.86683,Combined,Punjab,1,1,657,622
 229 - Government Boys High School- Katimar (High Portion),31.69474,71.86686,Combined,Punjab,1,1,400,370
 227 - Government Boys Elementary School- Nawan Saggu,31.73055,71.8526,Combined,Punjab,2,2,781,755
 225 - Government Girls Elementry School- Jharkil,31.73297,71.77077,Combined,Punjab,1,1,451,461
 226 - Government Boys Elementary School- Jarra,31.73298,71.77026,Combined,Punjab,2,2,776,653
 215 - Government Girls Elementary School- Bambool,31.74208,71.95948,Combined,Punjab,1,1,733,642
 213 - Government Boys High School- Bambool (High Portion),31.74554,71.9593,Combined,Punjab,1,1,755,650
 214 - Government Boys High School- Bambool (Middle Portion),31.74554,71.95933,Combined,Punjab,1,1,720,614
 208 - Government Boys High School- Tahla Khatwan (High Portion),31.74968,72.06908,Combined,Punjab,1,1,615,503
 212 - Government Boys High School- Khatwan (Middle Poriton),31.74968,72.06911,Combined,Punjab,1,1,468,412
 237 - Government Boys High School- Obhal,31.75074,72.16253,Combined,Punjab,2,2,855,715
 209 - Basic Health Centre Tehla Khatwan,31.75967,72.07145,Combined,Punjab,1,1,491,403
 210 - Office of Union Council Tahla Khatwan,31.75967,72.07148,Female,Punjab,0,2,0,927
 211 - Government Girls Primary School- Khatwan,31.75976,72.07285,Male,Punjab,2,0,1060,0
 238 - Government Girls Community Model School- Obhal,31.77728,72.18367,Combined,Punjab,2,2,1006,941
 206 - Government Boys Elementry School- Tahla  (East),31.7856,72.03489,Combined,Punjab,1,1,391,344
 207 - Government Boys Elementry School-Tahla,31.7856,72.0349,Combined,Punjab,1,1,564,467
 223 - Government Boys High School- Jharkil (Primary Portion),31.78765,71.82117,Combined,Punjab,1,1,678,660
 224 - Government Boys High School- Jharkil (High Portion),31.78765,71.8212,Combined,Punjab,1,1,446,429
 232 - Government Boys Elementary School- Mekan,31.79285,71.74631,Combined,Punjab,2,2,884,805
 235 - Government Girls High School- Sath Shahani,31.81861,72.20833,Combined,Punjab,1,1,494,421
 236 - Government Girls Primary School- Kot Ahmed Khan,31.82027,72.19816,Combined,Punjab,1,1,339,240
 251 - Government Boys High School- Jamali,31.84274,72.0627,Combined,Punjab,1,1,707,536
 254 - Government Boys Primary School- Jamali (Pacca Road),31.84274,72.06273,Combined,Punjab,1,1,716,580
 253 - Government Girls Primary School- Jamali (Main Road),31.84578,72.05307,Female,Punjab,0,2,0,925
 249 - Government Girls High School- Jamali (High Portion),31.84911,72.04816,Combined,Punjab,1,1,319,273
 250 - Government Girls High School- Jamali (Middle Portion),31.84911,72.04819,Combined,Punjab,2,2,868,665
 234 - Government Boys High School- Sath Shahani (High Portion),31.84949,72.19289,Combined,Punjab,2,2,1129,956
 252 - Government Boys Primary School- Shaheenabad Jamali,31.85007,72.05648,Male,Punjab,2,0,1169,0
 233 - Government Boys Primary School- Burhan,31.85419,72.21254,Combined,Punjab,1,1,662,610
 295 - Government Boys High School- Shahwala (Middle Poriton),31.86852,71.73239,Female,Punjab,0,2,0,782
 296 - Government Girls Primary School Shahwala Janubi,31.86852,71.73242,Male,Punjab,2,0,907,0
 297 - Government Boys High School- Shahwala (Primary Portion),31.86852,71.73245,Combined,Punjab,1,1,667,577
 302 - Extra Assistant Director Agriculture- Office Noorpur,31.87596,71.90582,Male,Punjab,2,0,1133,0
 309 - Govrnment Girls Primary School Mohallah Hussainabad Noorpur,31.87625,71.90821,Female,Punjab,0,2,0,1267
 230 - Government Boys Elementary School- Nikro Shaheed,31.87634,71.90215,Combined,Punjab,1,1,436,413
 308 - Government Middle Special Education Center Noor Pur,31.87757,71.91035,Male,Punjab,4,0,1373,0
 247 - Government Boys Primary School- Kaka,31.87815,72.24619,Combined,Punjab,2,2,832,752
 304 - Government Boys High School-Noorpur (Middle Portion),31.87834,71.90384,Male,Punjab,3,0,1464,0
 303 - Government Girls Primary School- Sadaat- Noorpur,31.87901,71.90586,Female,Punjab,0,2,0,993
 306 - Government Boys Primary School Mohallah Hussainabad Noorpur,31.87901,71.90589,Male,Punjab,2,0,1005,0
 301 - Government Boys Primary School- Eid Gah Mohallah Bagginanwala- Noorpur City,31.88055,71.88585,Female,Punjab,0,2,0,1082
 305 - Government Boys Primary School- No: 02- Noorpur,31.88124,71.90081,Female,Punjab,0,3,0,1341
 271 - Government Boys High School Noorpur Mohallah Farooq Abad (Middle Portion),31.88365,71.90626,Combined,Punjab,1,1,656,558
 272 - Government Boys High School- Noorpur Mohallah Farooq Abad (Primary Portion),31.88365,71.90629,Combined,Punjab,1,1,487,338
