StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
84,GBHS Shahan Palal-I ( M),27.97346,67.73056,Male,Balochistan,2,0,1041,0
85,GBHS Shahan Palal-II (F),27.97346,67.73059,Female,Balochistan,0,2,0,838
89,Irrigation Banglow Baghtel (F),27.97961,67.7411,Female,Balochistan,0,2,0,582
83,CD Baghtail ( Kariya Feri) ( F ),27.97961,67.74165,Female,Balochistan,0,2,0,741
82,GBMS Baghtel ( Kariya feri) (M),27.97984,67.74166,Male,Balochistan,2,0,965,0
88,GBPS Bghtel ( M),27.98009,67.74178,Male,Balochistan,2,0,656,0
77,GBPS Ghulam Muhammad Jamali ( M),27.9923,67.86821,Male,Balochistan,2,0,982,0
78,GBPS Ghulam Muhammad Jamali (F),27.99237,67.86837,Female,Balochistan,0,2,0,859
86,GBPS Janan Jamali ( Com),27.99781,67.83556,Combined,Balochistan,1,1,615,503
76,GBMS Faizal Faqeer ( Com),28.00571,67.88073,Combined,Balochistan,1,1,584,451
74,GGHS Gandakha (F),28.0074,67.84798,Female,Balochistan,0,3,0,1357
73,GBPS Gandakha (M),28.01118,67.84696,Male,Balochistan,3,0,1649,0
90,GBPS New Kot Marri ( Com),28.01609,67.71905,Combined,Balochistan,1,1,554,462
80,GBMS Chowki Jamali ( M),28.02054,67.92197,Male,Balochistan,2,0,1083,0
81,GGMS Chowki Jamali (F),28.02157,67.9197,Female,Balochistan,0,2,0,891
87,GBPS Sukhiya Jamali (Com),28.02749,67.77736,Combined,Balochistan,1,1,541,432
75,GBPS Jabal Pur ( Com),28.03359,67.83128,Combined,Balochistan,2,1,826,554
56,GBPS Peer Bakhsh Jamali ( Com),28.04614,67.91782,Combined,Balochistan,1,1,570,463
92,GBHS Noshki Jadeed-I (M),28.04897,67.7406,Male,Balochistan,3,0,1101,0
93,GBMS Noshki Jadeed-II ( F),28.04897,67.74063,Female,Balochistan,0,2,0,949
91,GBPS Kandrri ( Goth Abdul Rehman) (Com),28.05235,67.71935,Combined,Balochistan,1,2,703,778
72,GBPS Rasool Abad ( Com),28.057,67.78134,Combined,Balochistan,1,1,302,241
71,GBPS Pandrani Jadeed (Com),28.06172,67.75081,Combined,Balochistan,2,2,912,862
79,GBMS Fazal Muhammad Jamali ( Com),28.0639,67.84862,Combined,Balochistan,1,1,617,441
68,Agriculture Form Sibi Jadeed (M),28.06731,67.7977,Male,Balochistan,2,0,774,0
54,GBPS Aitabar Khan Jamali (Com),28.06832,67.89004,Combined,Balochistan,1,1,568,471
69,CD Sibi Jadeed ( F),28.06885,67.79628,Female,Balochistan,0,2,0,944
58,GBPS Bangul Darro (Com),28.07859,67.96686,Combined,Balochistan,1,1,382,284
57,GBPS Goth Wali Muhammad Jamali (Deh Jhaloo) (Com),28.08386,67.931,Combined,Balochistan,1,1,411,345
96,GBPS Bagh Head (M),28.08443,67.74141,Male,Balochistan,2,0,957,0
97,BHU Bagh Head (F),28.0846,67.74012,Female,Balochistan,0,2,0,741
55,GBPS Haji Manzoor Bakhshlani (Com),28.09093,67.89399,Combined,Balochistan,1,1,568,371
59,GBPS Mehrab Pur (Com),28.10726,68.02694,Combined,Balochistan,1,1,297,212
53,CD Mewa Khan Khosa ( Com),28.11063,67.85732,Combined,Balochistan,1,1,644,623
70,GBPS Ali Sher Bugti (Com),28.11214,67.77686,Combined,Balochistan,1,1,583,504
60,Irrigation Banglow Hadeera Pul (Com),28.12996,67.90591,Combined,Balochistan,2,1,713,587
62,GBMS Miah Khan Pandrani Brohi (Com),28.13279,68.0191,Combined,Balochistan,2,1,780,650
66,GBHS Ahmed Abad (M),28.13406,67.82484,Male,Balochistan,2,0,982,0
67,GGPS Ahmed Abad (F),28.13473,67.8216,Female,Balochistan,0,2,0,664
61,GBPS Allah Waraya Jamali (Com),28.13593,67.9758,Combined,Balochistan,2,1,1013,811
51,GBHS Jaffarabad ( High Section) (F),28.15484,67.87547,Female,Balochistan,0,2,0,828
50,GBHS Jaffarabad ( Middle Section) (M),28.15489,67.87538,Male,Balochistan,3,0,1151,0
65,GBPS Goth Faiq Ali Jamali ( Sakh Wah) ( Com),28.1557,68.04358,Combined,Balochistan,1,1,583,614
