StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
43,Animal Husbandry Sara Dakai (Combined),30.49083,69.51826,Combined,Balochistan,1,1,532,338
44,Civil Dispensary Barakwal (Combined),30.654,69.23148,Combined,Balochistan,1,1,672,400
47,Primary School Heera Kibzai (Combined),30.65876,69.38123,Combined,Balochistan,1,1,582,404
46,Civil Dispensery Heera (Combined),30.66749,69.39572,Combined,Balochistan,1,1,599,358
42,Basic Health Unit Kakhaw (Combined),30.69174,69.3084,Combined,Balochistan,1,1,729,502
45,Basic Health Unit (BHU) Toda Kudezai (Combined),30.71173,69.11258,Combined,Balochistan,1,1,593,448
40,High School Murgha Kibzai (Combined),30.73878,69.42002,Combined,Balochistan,2,1,925,703
41,Basic Health Unit Murgha Kibzai (Combined),30.73922,69.42349,Combined,Balochistan,2,2,1065,767
21,Boys Middle School- Dhana Abdullahzai (Combined),30.75165,69.34838,Combined,Balochistan,1,1,442,354
20,Primary School- Tor Tangai (Combined),30.81667,69.36015,Combined,Balochistan,1,1,554,380
38,Primary School- Tang Sar Sharqi (Combined),30.83548,69.58369,Combined,Balochistan,2,2,917,651
39,Primary School Tang Sar Gharbi Zakozai (Combined),30.84873,69.50494,Combined,Balochistan,1,1,328,198
36,Primary School- Kakar Zahrozai (Combined),30.89061,69.45956,Combined,Balochistan,1,1,276,186
37,Primary School- Kekshai (Combined),30.91532,69.62524,Combined,Balochistan,1,1,392,325
19,Basic Health Unit Yaqoobzai (Combined),30.93563,69.28716,Combined,Balochistan,1,1,301,231
18,Primary School- Sabakzai (Combined),30.94973,69.3373,Combined,Balochistan,1,1,427,247
35,Primary School Laka Band (Combined),31.00159,69.50212,Combined,Balochistan,1,1,606,421
12,Primary School Garda Musazai (Combined),31.0058,69.20963,Combined,Balochistan,1,1,359,315
33,Primary School Dewal Muladad (Combined),31.00656,69.44151,Combined,Balochistan,1,1,480,375
34,Primary School Adozai (Combined),31.01444,69.46545,Combined,Balochistan,1,1,471,266
11,Primary School- Cheena Nanezai (Combined),31.01879,69.28773,Combined,Balochistan,1,1,160,121
24,Veternary Dispensary Ali Zai (Combined),31.04992,69.54334,Combined,Balochistan,1,1,595,402
9,High School Mena Bazar (Male),31.06234,69.2743,Male,Balochistan,2,0,1492,0
7,Primary School- Wani Pitaw Abdullah Zai (Combined),31.08885,69.20998,Combined,Balochistan,1,1,362,249
25,Civil Dispensary Kot (Combined),31.09566,69.55968,Combined,Balochistan,1,1,263,177
130,School Building Jirga Nawab Batozai (Combined),31.11567,68.76369,Combined,Balochistan,1,1,161,120
28,Primary School- Takhaya Sulemanzai (Combined),31.11628,69.53806,Combined,Balochistan,1,1,328,219
13,Basic Health Unit (BHU)- Rakhpoor (Combined),31.12107,69.40617,Combined,Balochistan,2,2,888,724
16,Primary School- Chenazai (Combined),31.12939,69.35243,Combined,Balochistan,1,1,219,187
29,Primary School Maroofzai Khosti (Combined),31.13568,69.55344,Combined,Balochistan,1,1,649,463
27,Primary School- Shamamzai (Combined),31.15229,69.50072,Combined,Balochistan,1,1,708,480
5,Primary School- Badinzai (Combined),31.15235,69.28136,Combined,Balochistan,1,1,643,511
6,Boys Primary School Tora Shah Maroofzai Badinzai (Combined),31.15458,69.28288,Combined,Balochistan,2,2,1041,733
30,Primary School- Khosti (Combined),31.16821,69.54913,Combined,Balochistan,1,1,534,300
17,Primary School- Wani (Combined),31.16904,69.39257,Combined,Balochistan,1,1,621,483
126,Civil Dispensery Shaghaloo (Combined),31.17018,68.9616,Combined,Balochistan,1,1,388,298
125,Tehsil Building Shaghaloo (Combined),31.17039,68.96143,Combined,Balochistan,1,1,512,340
4,Primary School- Warsak (Combined),31.18046,69.34129,Combined,Balochistan,1,1,147,125
8,Primary School- Todozai (Combined),31.21708,69.42318,Combined,Balochistan,1,1,627,424
22,High School Garda Babar (Combined),31.22573,69.57241,Combined,Balochistan,2,1,730,600
23,Girls Primary School- Garda Babar (Combined),31.22936,69.57236,Combined,Balochistan,2,2,858,632
31,Primary School- Alghad Sadozai Babar (Combined),31.24496,69.50368,Combined,Balochistan,2,2,890,736
26,Primary School- Ibrahim Khel (Combined),31.2481,69.64662,Combined,Balochistan,1,1,535,409
2,High School- Ali Khan Zai (Combined),31.26274,69.38387,Combined,Balochistan,1,1,758,578
1,Boys Middle School- Shahabzai (Combined),31.27876,69.43612,Combined,Balochistan,2,2,833,687
10,Basic Health Unit Meena Bazar (Female),31.27876,69.43615,Female,Balochistan,0,2,0,1235
32,Primary School- Alghad (Combined),31.30041,69.54938,Combined,Balochistan,2,2,1001,756
79,Boys High School Sheikhan (Male),31.30292,69.46906,Male,Balochistan,2,0,873,0
3,High School Tora Khula (Combined),31.30428,69.32042,Combined,Balochistan,1,1,384,291
81,Boys Primary School Jumakabad (Male),31.32348,69.46598,Male,Balochistan,2,0,1033,0
80,Girls Middle Community School Sheikhan (Female),31.3311,69.46085,Female,Balochistan,0,2,0,767
14,Middle School- Sur Kach (Combined),31.33154,69.20001,Combined,Balochistan,1,1,743,541
58,Girls Higher Secondery School Zhob New Building (Female),31.33427,69.43211,Female,Balochistan,0,2,0,789
82,Girls Middle School New Nasir Abad (Female),31.33493,69.45853,Female,Balochistan,0,2,0,765
62,Girls Community School Ghobani (Female),31.33516,69.4177,Female,Balochistan,0,2,0,795
57,Girls Primary School Eid Gah (Female),31.3372,69.44406,Female,Balochistan,0,2,0,894
67,Animal Husbandery New Building (Male),31.33721,69.43127,Male,Balochistan,2,0,838,0
128,Civil Dispensery Toramo (Combined),31.33793,68.72993,Combined,Balochistan,1,1,703,469
60,District Health Office Zhob (Male),31.3383,69.43166,Male,Balochistan,2,0,1135,0
71,Boys Middle School Nasar Abad (Female),31.33843,69.4551,Female,Balochistan,0,2,0,619
61,Boys High School Appozai (Male),31.33853,69.42846,Male,Balochistan,2,0,1018,0
59,EDO Public Health Office Zhob (Male),31.33876,69.43442,Male,Balochistan,2,0,1102,0
66,Boys High School New Town ( Primary Sction) (Female),31.33899,69.44571,Female,Balochistan,0,2,0,551
84,Girls Middle School Kharotabad (Female),31.33968,69.46104,Female,Balochistan,0,2,0,657
83,Boys Primary School Kharotabad (Male),31.33969,69.46136,Male,Balochistan,2,0,1059,0
65,Animal Husbandery Old Building (Male),31.34146,69.44181,Male,Balochistan,2,0,738,0
68,Female Hospital Zhob (Female),31.34231,69.44568,Female,Balochistan,0,2,0,611
72,Girls High School Nasar Abad (Female),31.34305,69.45357,Female,Balochistan,0,2,0,1006
101,Girls Middle School Wadh Sheikhan (Male),31.34305,69.46391,Male,Balochistan,2,0,914,0
70,High School New Town (High Section) Male,31.34318,69.45253,Male,Balochistan,3,0,1683,0
74,Examination Hall Model High School Zhob (Male),31.34365,69.45192,Male,Balochistan,3,0,798,0
75,Boys Model High School Zhob (Female),31.3439,69.45116,Female,Balochistan,0,2,0,1376
102,Boys High School Wadh Sheikhan (Female),31.34408,69.46306,Female,Balochistan,0,2,0,694
78,DDOE Female Office Zhob (Female),31.34427,69.46039,Female,Balochistan,0,2,0,1087
69,Boys Degree College- Zhob (Male),31.34454,69.45438,Male,Balochistan,2,0,932,0
53,Boys Primary School City Branch (Male),31.34458,69.44658,Male,Balochistan,2,0,1464,0
73,Boys Middle School No.1 Zhob (Male),31.34464,69.45426,Male,Balochistan,3,0,1051,0
54,Girls High School Zhob (Female),31.34472,69.44891,Female,Balochistan,0,2,0,1128
104,Boys Primary School- Zara Takai (Combined),31.34472,69.57643,Combined,Balochistan,1,1,613,635
56,Girls High School Primary Section Zhob (Female),31.34475,69.4491,Female,Balochistan,0,2,0,1088
103,Boys High School Takai (Combined),31.345,69.57599,Combined,Balochistan,1,1,577,549
55,Government Special Primary School Zhob (Male),31.34515,69.44527,Male,Balochistan,2,0,1494,0
77,EDO Work and Services Zhob(Male),31.34516,69.4598,Male,Balochistan,2,0,794,0
129,Primary School Kundar Toramoo (Combined),31.34645,68.71729,Combined,Balochistan,1,1,489,303
52,Girls College- Zhob (Female),31.34711,69.45272,Female,Balochistan,0,2,0,1294
50,Officer Club (Jirga Hall) Zhob (Male),31.34817,69.45182,Male,Balochistan,3,0,568,0
48,Grammer School Zhob (Male),31.34839,69.45155,Male,Balochistan,2,0,810,0
51,B&R Rest House- Zhob (Male),31.34848,69.4517,Male,Balochistan,2,0,1071,0
49,Girls Middle School Islamyar Zhob (Female),31.34973,69.45405,Female,Balochistan,0,2,0,579
64,Girls High School Saqi (Female),31.35015,69.41522,Female,Balochistan,0,2,0,1122
15,Primary School- Shin Kach (Combined),31.35466,69.25209,Combined,Balochistan,1,1,388,306
100,Primary School Hassanzai (Combined),31.35616,69.50981,Combined,Balochistan,1,1,600,470
63,Primary School Muhammad Ali (Male),31.35653,69.42731,Male,Balochistan,2,0,1430,0
99,Primary School Bayen (Combined),31.35991,69.55587,Combined,Balochistan,1,1,186,206
117,Primary School Toni Babar (Combined),31.36397,69.16555,Combined,Balochistan,1,1,272,183
127,Boys Primary School Manzakai (Combined),31.36525,68.97945,Combined,Balochistan,1,1,763,607
105,Primary School Killi Maryam (Combnined),31.39532,69.31428,Combined,Balochistan,1,1,193,154
116,Boys Primary School Shamozai Mulayan (Combined),31.3963,69.18006,Combined,Balochistan,1,1,66,40
98,Primary School Bet Pearaza (Qureshan Mulayan) (Combined),31.42418,69.55745,Combined,Balochistan,1,1,284,191
85,Boys Primary School Deragai (Combined),31.42561,69.39474,Combined,Balochistan,1,1,362,313
114,Primary School sharan Babakar Khail (Combined),31.4426,69.1845,Combined,Balochistan,1,1,208,194
87,Boys High School Viala Mir Baz (Combined),31.45515,69.4733,Combined,Balochistan,1,1,587,525
107,Girls High School Wala Akram (Female),31.46132,69.35213,Female,Balochistan,0,1,0,872
106,Boys High School Wala Akram (Male),31.48231,69.35017,Male,Balochistan,2,0,895,0
86,Primary School Darga Mandezai (Combined),31.48417,69.39896,Combined,Balochistan,1,1,223,228
88,Primary School Akozai (Combined),31.48731,69.45527,Combined,Balochistan,1,1,403,368
89,Boys High School Brunj (Male),31.49996,69.51293,Male,Balochistan,1,0,416,0
90,Girls Middle School Brunj (Female),31.50678,69.51969,Female,Balochistan,0,1,0,376
94,Boys Middle School Omza (combined),31.52903,69.6422,Combined,Balochistan,2,1,454,370
95,Government Middle School Yaseenzai (Combined),31.53371,69.60771,Combined,Balochistan,1,1,253,226
96,Primary School Khozakzai (Combined),31.53384,69.53065,Combined,Balochistan,1,1,403,338
97,Boys Primary School Takari (Combined),31.53626,69.50086,Combined,Balochistan,1,1,288,232
91,Boys Middle School Narezai (Combined),31.5524,69.57747,Combined,Balochistan,1,1,591,503
109,Boys High School Bobe Erabzai (Combined),31.56297,69.35733,Combined,Balochistan,1,1,475,408
131,BHU Kashatoo (Combined),31.56799,67.95778,Combined,Balochistan,1,1,629,422
93,Boys Primary School Safi Kot (Combined),31.60803,69.59176,Combined,Balochistan,1,1,306,225
132,Civil Dispensery Kanokai (Combined),31.61238,68.02444,Combined,Balochistan,1,1,196,151
108,Boys Middle School Asghar Tangi (Combined),31.6197,69.39439,Combined,Balochistan,2,1,782,655
120,Boys High School Hazrat Sahib (Combined),31.62514,69.33269,Combined,Balochistan,1,1,461,329
113,Civil Dispensery Sharan (Combined),31.62794,69.14245,Combined,Balochistan,1,1,559,310
122,Boys High School Qamar Din Karez (Combined),31.65871,68.4034,Combined,Balochistan,2,2,1456,1013
123,Madrasa School Qamar Din Karez (Combined),31.65971,68.40614,Combined,Balochistan,1,1,531,406
124,Masjid Primary School Saleh Karez (Combined),31.65985,68.40605,Combined,Balochistan,1,1,767,560
92,Boys Primary School Mir Ali Khel (Combined),31.6721,69.55707,Combined,Balochistan,1,1,159,119
121,Boys Primary School Tarwaloon (Combined),31.71396,68.39287,Combined,Balochistan,1,1,672,517
115,Civil Dispansary Bahlool (Combined),31.73685,69.21239,Combined,Balochistan,1,1,574,275
118,Boys Middle School Sambaza (Combined),31.77206,69.34956,Combined,Balochistan,1,1,505,356
119,Primary School Hussain Nika (Combined),31.84703,69.29388,Combined,Balochistan,1,1,385,142
110,Boys Middle School Gul Kach (Combined),31.92138,69.50172,Combined,Balochistan,3,1,800,504
111,Boys Middle School Gul Kach (Male),31.92138,69.50175,Male,Balochistan,2,0,1385,0
112,Primary School Rasool Khan (Combined),31.93149,69.47498,Combined,Balochistan,1,1,672,174
