StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
2,Govt: P/S Usmanabad Quetta Protion-III (Male),30.15801,67.03402,Male,Balochistan,3,0,897,0
3,Govt: P/S Usmanabad Quetta Protion-V (Male),30.15801,67.03405,Male,Balochistan,3,0,898,0
32,Govt: Boys Primary School Usmanabad- Usman Killa (Female),30.16008,67.02838,Female,Balochistan,0,0,0,1321
13,Govt: Girls Middle School Usmanabad (Female) Portion I,30.16124,67.02943,Female,Balochistan,0,2,0,874
14,Govt: Girls Middle School Usmanabad (Female),30.16124,67.02946,Female,Balochistan,0,0,0,904
15,Govt: Girls Middle School- Usmanabad Quetta Protion-IV (Male),30.16124,67.02949,Male,Balochistan,2,0,1495,0
11,Govt: Girls High School- Khan Shaheed Abdul Samad Khan Achakzai Street No. 13 Pashtoonabad Portion-III (Male),30.165,67.01773,Male,Balochistan,1,0,1189,0
12,Government Khan shaheed Abdul Samad Khan Achakzai- Girls High School Pashtoonabad Street No.13 Portion-II- (Male),30.165,67.01776,Male,Balochistan,1,0,561,0
4,Dispensary (Atani Hospital) Gali No.16 Pashtoonabad- Portion-I- (Male),30.16878,67.01895,Male,Balochistan,1,0,800,0
5,Dispensary (Atani Hospital) Gali No.16 Pashtoonabad- Portion-II- (Male),30.16878,67.01898,Male,Balochistan,1,0,916,0
7,Dispensary (Atani Hospital) Gali No.16- Pashtoonabad Portion III (Male),30.16878,67.01901,Male,Balochistan,2,0,604,0
1,Moon Light Public School- Abdul Wali Chowk- Kachra Road- Quetta Portion-III (female),30.16968,67.02153,Female,Balochistan,0,1,0,911
16,Govt: P/S Afghan Colony Gali No.17 Pashtoonabad (Male),30.17148,67.01709,Male,Balochistan,1,0,457,0
10,Hall mark English Public shcool Rasheed Chowk Mulla Salam road Pashtoonabad Portion I (Female),30.17278,67.01515,Female,Balochistan,0,0,0,1006
8,Govt: H/S Pashtoonabad Quetta Portion-II- (Male),30.17611,67.01677,Male,Balochistan,3,0,874,0
6,Govt: G/P school Gali No.19 Taro Chowk- presently at High School Pashtoonabad- Quetta Pashtoonabad  (Female),30.17611,67.0168,Female,Balochistan,0,1,0,1204
9,Govt: H/S Pashtoonabad Quetta Portion-I (Male),30.17611,67.01683,Male,Balochistan,1,0,718,0
