StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
82,Government Primary School- Rajay (Combined),28.27512,62.66552,Combined,Balochistan,1,1,444,191
81,Government Primary School Gowalishtab (Combined),28.31068,62.73368,Combined,Balochistan,2,1,617,267
80,Government Primary School- Essa Tahir (Combined),28.59722,63.06662,Combined,Balochistan,1,1,155,134
87,Government Boys Primary School Killi Malik Khuda-e-Nazar Talab (Combined),28.63138,61.84458,Combined,Balochistan,1,1,851,429
31,Government Boys High School- Yak Mach (Male),28.74299,63.84766,Male,Balochistan,2,0,1098,0
32,Government Primary School- Yak Mach (Female),28.74938,63.84612,Female,Balochistan,0,1,0,867
26,Government Primary School- Jujki (Combined),28.79099,64.02032,Combined,Balochistan,1,1,652,523
74,Government Girls Middle School-Shair Abad Nokundi (Combined),28.81891,62.75476,Combined,Balochistan,1,1,159,148
76,Government Girls Pirmary School- Killi Gharibabad Nokundi (Female),28.82056,62.755,Female,Balochistan,0,2,0,1028
75,Government Boys High School- Gharibabad Nokundi (Male),28.82264,62.75213,Male,Balochistan,2,0,1324,0
38,Government Primary School- Killi Siachang (Combined),28.82495,64.65339,Combined,Balochistan,1,1,351,241
72,Government Girls High School- Nokundi (Male),28.82764,62.74199,Male,Balochistan,2,0,988,0
70,Government Boys High School- Nokundi (Male),28.82845,62.74526,Male,Balochistan,3,0,1547,0
71,Governament Girls Primary School- Mashriqi Bazar Nokundi (Female),28.82849,62.74761,Female,Balochistan,0,2,0,1268
73,Government Girls Primary School-Killi Custom Nokundi (Female),28.82889,62.73583,Female,Balochistan,0,2,0,842
21,Government Boys Pirmary School- Nawar (Combined),28.83096,64.55969,Combined,Balochistan,1,1,221,191
7,Government Boys Pirmary School- Killi Baz Muhammad (Male),28.87971,64.40325,Male,Balochistan,2,0,1098,0
9,Government Boys Middle School Killi Noor Bakhsh (Male),28.88,64.4046,Male,Balochistan,2,0,806,0
10,Government Girls Pirmary School- Killi Noor Bakhsh (Female),28.88068,64.40179,Female,Balochistan,0,2,0,673
6,Government Girls Middle School Killi Khan Jan (Female),28.88185,64.41199,Female,Balochistan,0,1,0,783
4,Government Boys Pirmary School- Killi Khan Jan (Male),28.88204,64.40904,Male,Balochistan,2,0,1001,0
8,Agriculture Office-Killi Baz Muhammad (Female),28.88454,64.40369,Female,Balochistan,0,1,0,892
5,Government Girls High School Dalbandin (Female),28.88536,64.40536,Female,Balochistan,0,2,0,921
3,Government Boys High School Dalbandin (Male),28.88539,64.40255,Male,Balochistan,2,0,1127,0
67,Improvised- Killi Muhammad Naseer Kalag (Combined),28.88768,64.40802,Combined,Balochistan,1,1,783,529
