StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
128,Govt. High School Spen Tangi,29.94222,68.09612,Combined,Balochistan,1,1,315,143
126,Govt: P/S Kot Ali Khan,29.97167,68.08556,Combined,Balochistan,2,1,397,291
129,Govt: P/S Inder,29.9727,68.03087,Combined,Balochistan,2,1,639,272
127,Civil Dispensary Peer Shahr,30,68.1,Combined,Balochistan,2,1,454,262
125,Govt: P/S Beli,30.01639,68.06722,Combined,Balochistan,2,1,433,366
124,Govt: P/S Sanari M.Raza,30.0325,68.03917,Combined,Balochistan,2,1,372,313
130,Govt: P/S Zavi,30.05111,67.94611,Combined,Balochistan,1,1,209,117
123,Govt: P/S Warikha,30.05563,68.30525,Combined,Balochistan,2,1,454,294
119,Govt: High School Khidrani,30.065,67.95611,Combined,Balochistan,1,1,343,287
120,Govt: Middle School Aspani,30.07056,67.96166,Combined,Balochistan,2,2,435,395
118,Govt: Primary School Shor Harnai,30.07556,67.95555,Combined,Balochistan,2,2,544,455
122,Govt: Primary School Tuka Zerin,30.07556,68.07444,Combined,Balochistan,2,2,669,424
121,Civil Dispensary Tukka Bala,30.07944,68.08806,Combined,Balochistan,2,2,635,368
116,Govt: P/S Arbooz,30.08083,67.94695,Male,Balochistan,1,0,236,0
117,Govt: Girls P/S Arbooz,30.08083,67.94698,Female,Balochistan,0,1,0,218
115,Govt: Primary School Nazi,30.08667,67.95944,Combined,Balochistan,2,2,383,386
114,Govt: Girls P/S Sheikhan Harnai,30.09028,67.95361,Female,Balochistan,0,2,0,638
113,Govt: P/S Basti Sheikhan Harnai,30.09167,67.95499,Male,Balochistan,3,0,756,0
82,Govt: P/S Babu Mohalla,30.09688,67.93966,Male,Balochistan,2,0,646,0
83,Govt: Girls H/S Harnai,30.09782,67.9402,Female,Balochistan,0,4,0,1258
85,Govt: Girls H/S Gharibabad,30.09867,67.93475,Male,Balochistan,3,0,802,0
86,Govt: Girls H/S Gharibabad (Primary Sec:),30.09867,67.93478,Female,Balochistan,0,2,0,645
81,Govt: H/S Harnai Primary Section,30.1012,67.9379,Female,Balochistan,0,3,0,970
