StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
73,Govt: Boys High School Talli Portion-II (Male),29.53094,68.13046,Male,Balochistan,2,0,914,0
52,Govt: Middle School Marghazani Portion-II (Male),29.5334,67.92489,Male,Balochistan,1,0,402,0
37,Govt Boys High School Allahabad Jakababad Road Sibi Portion-II (Male),29.539,67.87088,Male,Balochistan,1,0,434,0
28,Govt:Boys Primery Section  School  Railway Colony- Sibi (Male),29.5412,67.86931,Male,Balochistan,2,0,889,0
24,O/o the D.D Live Stock Portion-I (Male),29.5413,67.88612,Male,Balochistan,3,0,1014,0
25,O/o the D.D Live Stock  Portion-II (Male),29.5413,67.88615,Male,Balochistan,2,0,526,0
34,O/o the District Health  Officer Allahabad Road Sibi Portion- II (Male),29.5439,67.87449,Male,Balochistan,1,0,468,0
6,O/o the D.D. Agriculture- Sibi Portion-II (Male),29.55084,67.88222,Male,Balochistan,2,0,624,0
9,O/o the Excise & Taxation Office- Sibi (Female),29.55412,67.87653,Female,Balochistan,0,2,0,880
2,Govt: Girls Elemintary College- Sibi (Male),29.55426,67.89481,Male,Balochistan,1,0,473,0
11,Govt: Technical Training Center Luni Road- Sibi  Portion-II (Male),29.56019,67.87644,Male,Balochistan,2,0,793,0
10,Govt: Technical Training Center Luni Road- Sibi Portion-I (Male),29.560191358955542,67.87650038313527,Male,Balochistan,3,0,1131,0
65,Govt: Girls  High School Khajjak Portion-II (Female),29.5967,67.98717,Female,Balochistan,0,2,0,949
63,Govt:   Boys High School Khajjak Portion-II (Male),29.59747,67.98746,Male,Balochistan,3,0,1076,0
68,Govt:  Boys Higher Secondery School Luni (Male),29.63111,67.91867,Male,Balochistan,2,0,988,0
81,Govt: Boys Middle School Sangan-  (Male),29.87412,67.65383,Male,Balochistan,2,0,878,0
82,Govt:  Middle School Sangan (Primary Section) (Female),29.87481,67.65271,Female,Balochistan,0,1,0,306
