StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
121,GovtGirlsPrimary School Ziarano,35.04425,71.70844,Female,KPK,0,1,0,721
120,GovtPrimary School Ziarano  Bala,35.04496,71.70972,Male,KPK,2,0,1097,0
128,GovtMiddle School Shaltalo,35.05693,71.62354,Combined,KPK,2,1,869,520
127,GovtPrimary School Elo Kass,35.06226,71.65082,Combined,KPK,2,1,851,458
119,GovtPrmary School No-2 Jan Batthi,35.06389,71.70322,Combined,KPK,1,1,693,457
125,GovtGirls Primary School  Shahikot,35.06857,71.6655,Combined,KPK,1,1,628,384
129,GovtPrimery School  Sonai,35.06929,71.59383,Combined,KPK,3,1,1207,683
126,GovtGirls Primary School Dogal,35.0693,71.67474,Combined,KPK,1,1,686,498
105,GovtPrimary School Ghurijo,35.07385,71.74781,Combined,KPK,2,1,875,577
108,GovtMiddle School  Bandagai,35.07563,71.72422,Female,KPK,0,1,0,851
107,GovtGirls Primary School  Bandagai,35.07596,71.72524,Male,KPK,2,0,1180,0
103,GovtPrimary School  Maidan Khwar,35.079,71.76962,Combined,KPK,2,1,805,587
100,GovtGirls Highier Secondary  School Bandi Payeen (Baba Sb Cham),35.08704,71.76077,Female,KPK,0,1,0,730
104,GovtPrimary School  Chinda Kot,35.08711,71.77614,Combined,KPK,1,1,779,496
106,GovtHigher Secondery School  Barawal,35.08758,71.75806,Combined,KPK,1,1,672,465
102,GovtGirls Primary School Bandi Payeen(Ghuzano cham),35.08841,71.76359,Female,KPK,0,2,0,1245
73,Govt: Primery School Kot Kass,35.08895,71.99336,Combined,KPK,1,1,714,479
99,GovtPrimary School  Barawal-I,35.08909,71.76251,Male,KPK,2,0,981,0
118,GovtPrimary School Bin Payeen,35.09,71.69786,Female,KPK,0,2,0,993
117,Basic Health Unit Bin Payeen,35.09042,71.69782,Male,KPK,2,0,1460,0
68,GovtHigh School Kair,35.09061,71.88754,Combined,KPK,2,1,807,476
69,GovtPrimary School  Sailkass,35.09071,71.88267,Combined,KPK,1,1,661,424
101,GovtPrimary School  Barawal No.2,35.09111,71.7653,Male,KPK,3,0,1802,0
122,GovtMiddle School Nasrat,35.09708,71.64355,Male,KPK,2,0,1366,0
123,GovtGirlsPrimary School Nasrat,35.09725,71.6412,Female,KPK,0,1,0,809
94,GovtGirls Primary School  Tikerkot   No.2,35.10211,71.78222,Female,KPK,0,1,0,902
72,GovtHigh School  Darora,35.10229,71.98789,Combined,KPK,2,1,1024,640
75,GovtGirls Primary School  Darora,35.10257,71.99426,Combined,KPK,2,1,999,706
74,GovtPrimary School  Darora,35.10275,71.98775,Combined,KPK,1,1,630,399
67,GovtPrimary School Amlooknar,35.10311,71.90962,Combined,KPK,1,1,611,404
78,GovtPrimary School Sra Shah,35.10472,72.00045,Combined,KPK,1,1,615,412
66,GovtPrimary School  Shaga,35.10567,71.92372,Combined,KPK,2,1,885,584
124,GovtPrimary School Batoor,35.1064,71.64848,Combined,KPK,1,1,764,438
93,Govt Primary School  Tikerkot   No.2,35.10708,71.78202,Male,KPK,2,0,1343,0
88,GovtGirls Primary School  Chumra,35.10888,71.98694,Combined,KPK,1,1,273,156
110,GovtGirls Primary School Kharkanai,35.11021,71.74482,Combined,KPK,2,1,875,538
61,GovtPrimary School Chandes,35.11263,71.96854,Combined,KPK,1,1,406,233
59,GovtGirls Primary School  Shamorghar,35.11293,71.93764,Combined,KPK,2,1,873,426
