StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
12,GMS Kotky Paikhel (T),34.79353,71.75665,Combined,KPK,2,1,624,390
7,GHS Barjam Makhai (T),34.79605,71.80479,Combined,KPK,2,1,579,386
17,GHSS Khazana T,34.79623,71.78347,Male,KPK,4,0,1242,0
16,GPS Khazana T,34.79649,71.7838,Male,KPK,2,0,697,0
5,GPS Garra (T),34.79768,71.73637,Combined,KPK,2,1,757,427
14,GPS Paloso Dag,34.804,71.76981,Combined,KPK,2,1,779,471
3,GPS Khona Piquet (T),34.81112,71.69746,Female,KPK,0,1,0,448
15,GHS Hesarak T,34.8169,71.76655,Combined,KPK,1,1,378,261
9,GHS Chinar Makhai,34.81842,71.75368,Combined,KPK,3,1,1109,667
34,GHSS Mian Kaly Shah NO:1 P,34.82178,71.67669,Male,KPK,3,0,1076,0
30,GGHS Munda T,34.82607,71.68443,Female,KPK,0,3,0,1375
38,GPS Lowi Kaly T,34.82848,71.63396,Combined,KPK,3,1,962,660
8,GPS Ghwand Kaly,34.82858,71.75215,Combined,KPK,2,1,636,386
28,GGMS Musa Abad T,34.84414,71.69041,Female,KPK,0,3,0,1230
44,GPS Bazarak T,34.85281,71.67551,Combined,KPK,2,1,659,412
41,BHU Arif T,34.86248,71.65997,Combined,KPK,2,1,782,507
24,GGPS Lowy Shah,34.86467,71.72988,Combined,KPK,2,1,598,334
39,GPS Inzaro Banda T,34.865,71.62858,Combined,KPK,2,1,667,395
45,GGPS Mandezo,34.86732,71.68069,Combined,KPK,2,1,724,460
42,GHS Toor Qilla P,34.86769,71.67357,Combined,KPK,3,1,957,624
21,GHS Takwaro T,34.87042,71.73904,Combined,KPK,2,1,753,451
19,GGHS Shalkandi Dherai T,34.87161,71.71252,Combined,KPK,3,1,1125,661
43,GGPS Barikab T,34.87165,71.67199,Combined,KPK,3,1,758,530
40,GPS Toopan Shah,34.87635,71.65054,Combined,KPK,1,1,576,366
23,GPS Awarai T,34.8782,71.74004,Combined,KPK,2,1,807,457
87,GPS Mayar Kass T,34.88477,71.66972,Male,KPK,4,0,1282,0
86,GPS Mayar No. 1 T,34.88729,71.66496,Combined,KPK,3,1,1175,729
77,GHSS Mayar P,34.89338,71.6604,Combined,KPK,3,1,883,581
20,GPS Godar T,34.89383,71.73223,Combined,KPK,2,1,727,399
80,GGPS Joni Kaly T,34.90049,71.65556,Female,KPK,0,2,0,852
78,GGPS Hakim Abad T,34.90311,71.65142,Combined,KPK,3,1,801,526
85,GPS Chamyarano Banda T,34.90321,71.62769,Combined,KPK,1,1,539,315
81,GPS Gambeer T,34.91122,71.64052,Combined,KPK,3,1,1195,731
49,GPS Sadbar Kaly T,34.92057,71.68086,Combined,KPK,2,1,646,464
53,GGPS Swara Ghondai T,34.92308,71.70821,Combined,KPK,2,1,600,379
13,GGPS Kotky,34.94016,71.80391,Combined,KPK,2,1,748,469
