StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
149,Govt: Primary School Palai Banda (Combined),34.51138563968065,72.08354905463145,Combined,KPK,2,2,747,553
150,Govt: Girls Community Model School Palai (Combined),34.51251814418593,72.08289472398931,Combined,KPK,1,1,457,333
152,Govt Girls Higher Secondary School Palai (P.S-1) (Female),34.51561,72.08642,Male,KPK,2,0,563,0
153,Govt: Girls Higher Secondary School Palai (P.S-2) (Male),34.51561,72.08645,Male,KPK,3,0,1136,0
151,Govt Primary School No.2 Palai (Combined),34.51651,72.0757,Combined,KPK,2,2,648,518
154,Govt Primary School No.1 Palai (Female),34.51831,72.08881,Female,KPK,0,4,0,1312
147,Govt Primary School Jalal Pur (Female),34.52642138874995,72.0799833329838,Female,KPK,0,2,0,805
148,Govt Girls Primary School Jalalpur (Male),34.53114,72.08607,Male,KPK,3,0,1086,0
155,Govt: Middle School Sher Khana  (Male),34.532856008072116,72.09427084346885,Male,KPK,4,0,1644,0
156,Govt: Primary School Sher Khana (Female),34.53300874524214,72.09174493936615,Female,KPK,0,4,0,1244
160,Govt: High School Bazdara Payan (Male),34.537783436701346,72.14053705542435,Male,KPK,3,0,1093,0
146,Govt: Primary School Shah Kot (Combined),34.54194595020642,72.03789664698509,Combined,KPK,1,1,446,292
168,Govt Primary School No.1 Maikhband (Female),34.55224,71.82828,Female,KPK,0,3,0,924
158,Govt Primary School Mura Banda (Combined),34.55959,72.11442,Combined,KPK,2,1,592,479
157,Govt: Middle School Mura Banda Palai (Combined),34.56387336414985,72.11270248400596,Combined,KPK,1,1,422,351
141,Civil Hospital Malakand (Female),34.56518804118635,71.9305645767618,Female,KPK,0,3,0,1152
97,Govt: High School School Zulam Kot (Male),34.56559562260758,71.85356588313329,Male,KPK,4,0,1436,0
140,Govt: High School Malakand (Male),34.56839200269312,71.9261851563233,Male,KPK,4,0,1335,0
144,Govt:Primary School Rang Mohallah (Female),34.57162104705179,71.91903677175132,Female,KPK,0,3,0,926
159,Govt: Primary School Loya Banda (Combined),34.57211100521076,72.1313746721587,Combined,KPK,2,1,537,417
145,Govt: Primary School Atam Banda (Combined),34.57924964338568,71.88953983073951,Combined,KPK,2,1,567,476
142,Govt: Middle School Piran (Combined),34.58293773389036,71.93392823490649,Combined,KPK,2,2,704,599
143,Govt:Primary School Piran (Male),34.58293773389036,71.9339582349065,Male,KPK,4,0,1239,0
98,Govt: Primary School Zulamkot (Female),34.58311,72.03172,Female,KPK,0,4,0,1275
83,Govt: Degree College Agra (P.S-1) (Male),34.58426,71.71387,Male,KPK,3,0,1272,0
84,Govt Degree College Agra (P.S-2) (Female),34.58426,71.7139,Female,KPK,0,2,0,939
138,Govt: High Schoool Jalal Kot (Male),34.585263167370506,71.90354692514245,Male,KPK,4,0,1438,0
82,Govt: High School Agra (Combined),34.58586781020896,71.71134283672858,Combined,KPK,2,2,913,682
8,Govt: Primary School Kalito Banda Batkhela (Male),34.595774511027685,71.98056536369813,Male,KPK,2,0,535,0
86,Govt: Middle School Kama Agra (Female),34.59809,71.71045,Female,KPK,0,3,0,961
87,Govt Girls Primary School Kama Agra (Male),34.59809,71.71048,Male,KPK,4,0,1269,0
53,Govt: High School Nal (Male),34.5999166544737,72.10812222643985,Male,KPK,3,0,930,0
136,Govt: Primary School Kandako (Male),34.60103656356704,71.90103466238232,Male,KPK,3,0,1103,0
54,Govt Girls Middle School Nal (Male),34.60157,72.10865,Male,KPK,3,0,950,0
55,Govt: Primary School Nal (Female),34.60190640144546,72.10947070279538,Female,KPK,0,4,0,1375
88,Govt Primary School Inzargai (Male),34.60382,71.73216,Male,KPK,3,0,1066,0
89,Govt: High School Inzargai (Female),34.60537631721563,71.73043016130539,Female,KPK,0,2,0,786
