StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
89,Govt: Higher Secondary School Fatehpur  (Combined),35.0543,72.48254,Combined,KPK,2,2,1262,979
90,Govt: Primary School No.1 Fatehpur (Male),35.05434,72.48206,Male,KPK,2,0,1848,0
91,Govt: Girls Primary School Fatehpur (Female),35.06367,72.48627,Female,KPK,0,2,0,1329
93,Govt: Girls Higher Secondary School Fatehpur (Female),35.0663,72.48466,Female,KPK,0,2,0,1114
92,Govt: Primary School No.2 Fatehpur (Male),35.0689,72.48808,Male,KPK,2,0,1514,0
85,Govt: Primary School Benorrai  (Combined),35.07315,72.48654,Combined,KPK,1,1,581,434
87,Govt: Primary School Barhampatai (Male),35.07322,72.49873,Male,KPK,2,0,1678,0
88,Govt: Girls Primary School Barhampatai (Female),35.07429,72.49437,Female,KPK,0,2,0,1232
84,Govt: Girls Primary School Chekrai (Combined),35.08451,72.49403,Combined,KPK,1,1,546,359
86,Govt: Primary School Pir Patay  (Combined),35.0913,72.50996,Combined,KPK,2,1,1098,798
97,Govt: Primary/Middle School Jaray (Combined),35.10066,72.50641,Combined,KPK,2,1,1187,779
48,Govt: High School Qandil (Male),35.10538,72.50307,Male,KPK,2,0,1683,0
49,Govt: Primary School Qandil (Female),35.10564,72.50302,Female,KPK,0,2,0,1226
96,Govt: Girls Primary School Chancharay Matta Pia Khwarr (Female),35.10574,72.5377,Female,KPK,0,2,0,1056
95,Govt: High School Chanchargay Middle Branch (Male),35.10666,72.52863,Male,KPK,2,0,1493,0
94,Govt: High School Chancharay (Combined),35.10832,72.51489,Combined,KPK,2,2,1217,967
47,Govt: Primary School Shigal  (Combined),35.11443,72.50505,Combined,KPK,1,1,551,448
46,Govt: Primary School Terat  (Combined),35.11905,72.5061,Combined,KPK,1,1,731,552
45,Govt: Primary School Damana (Rented)  (Combined),35.11966,72.51624,Combined,KPK,1,1,653,494
55,Govt: Primary School Shinkoo (Male),35.12405,72.59852,Male,KPK,4,0,2361,0
44,Govt: Girls Primary School Kalagram (Combined),35.12412,72.5151,Combined,KPK,1,1,603,437
56,Govt: Girls Primary/Middle School Shinkoo (Female),35.12569,72.59555,Female,KPK,0,2,0,1678
52,Govt: Middle School Bashigram (Male),35.1291,72.61315,Male,KPK,2,0,1471,0
53,Govt: Primary School Bashigram (Female),35.12915,72.61285,Female,KPK,0,2,0,1060
54,Govt: Girls Primary School Bashigram  (Combined),35.1292,72.61225,Combined,KPK,2,2,1513,1103
42,Govt: Primary School Terat Dara  (Combined),35.13147,72.481,Combined,KPK,2,1,973,751
43,Govt: Primary School Shameray  (Combined),35.13432,72.50768,Combined,KPK,2,2,1448,1031
31,Govt: Girls Primary School Kuz Kalay Madyan (Female),35.139,72.53514,Female,KPK,0,3,0,2266
34,Govt: Girls High School Madyan (Female),35.1391,72.54008,Female,KPK,0,3,0,1405
35,Agriculture Office Madyan (Female),35.13953,72.54032,Female,KPK,0,2,0,1033
29,Govt: Higher Secondary School Madyan Right Side (Male),35.14017,72.53455,Male,KPK,3,0,1348,0
30,Govt: Higher Secondary School Madyan Left Side (Male),35.14017,72.53458,Male,KPK,3,0,1753,0
32,Govt; Primary School Madyan Right Side (Male),35.14017,72.53461,Male,KPK,3,0,1841,0
33,Govt: Primary School Madyan Left Side (Male),35.14017,72.53464,Male,KPK,3,0,1423,0
57,Govt: High School Chail  (Combined),35.14025,72.58267,Combined,KPK,1,1,694,538
58,Govt: Primary School Chail  (Combined),35.14029,72.58267,Combined,KPK,2,1,1119,794
38,Govt: Primary School Badalai (Combined),35.1432,72.56007,Combined,KPK,2,1,979,705
51,Govt: Primary School Shagai Shahgram  (Combined),35.14523,72.53188,Combined,KPK,2,2,1330,1083
50,Govt: Primary School Kwaro Shahgram  (Combined),35.14695,72.52367,Combined,KPK,2,1,843,649
41,Govt: Primary School Paklai (Combined),35.14749,72.53096,Combined,KPK,1,1,824,593
37,Govt: Primary School Dabargay (Combined),35.15606,72.58989,Combined,KPK,1,1,635,444
36,Govt: Middle School Dabargay  (Combined),35.15638,72.59301,Combined,KPK,2,1,855,541
39,Govt: Middle School Kalagay  (Combined),35.15752,72.54207,Combined,KPK,2,1,1137,785
40,Govt: Middle School Pardesha  (Combined),35.15794,72.51378,Combined,KPK,2,1,1102,752
28,Govt: Primary School Cham Satal (Combined),35.16875,72.52912,Combined,KPK,2,2,1437,1115
26,Govt: Primary School Satal Kuza Gahrrai Right Side (Male),35.17871,72.53436,Male,KPK,3,0,2051,0
27,Govt: Primary School Satal Kuza Gahrrai Left Side (Female),35.17871,72.53439,Female,KPK,0,3,0,1652
13,Govt: Middle School Ayeen (Male),35.18546,72.53998,Male,KPK,3,0,1536,0
