StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
1,Government Primary School Colony Ajmera,0,0,Male,KPK,3,0,1269,0
91,Government Primary School Garang,34.57952,73.08952,Combined,KPK,1,1,385,285
90,Basic Health Unit Batian,34.58101,73.08402,Combined,KPK,1,1,504,358
88,Government Girls Primary School Takya,34.58418,73.05271,Combined,KPK,1,1,658,475
87,Government Primary School Bandigo,34.59469,73.05164,Combined,KPK,1,1,287,219
86,Government High School Bandigo,34.59492,73.05232,Combined,KPK,1,1,750,574
94,Government Girls Primary School Kangri,34.59669,72.98949,Combined,KPK,1,1,441,309
89,Government Primary School Chohan,34.59794,73.06063,Combined,KPK,1,1,765,521
97,Government Primary School Bilandkot,34.5981,72.97195,Female,KPK,0,2,0,852
95,Government High School Bilandkot,34.59827,72.97224,Male,KPK,3,0,1374,0
96,Government High School Meeran,34.59827,72.97227,Combined,KPK,1,1,653,439
104,Government Middle School Banda Bala,34.59934,72.9951,Combined,KPK,1,1,451,304
93,Basic Health Unit KherAbad,34.60803,72.98969,Combined,KPK,1,1,485,344
112,Government Primary School Murad Abad,34.61097,72.94175,Combined,KPK,1,1,220,178
80,Government Girls Higher Secondary School Banian P.S 2,34.61125,73.05646,Female,KPK,0,2,0,1244
111,Government Middle School Garhi Nawab Said,34.61188,72.93697,Combined,KPK,1,1,682,541
7,Government Primary School Ajmera,34.61256,73.05291,Female,KPK,0,1,0,637
78,Government Girls Higher Secondary School Banian P.S 1,34.61256,73.05294,Male,KPK,2,0,987,0
79,Government Primary School Banian,34.61256,73.05297,Male,KPK,2,0,725,0
81,Government High School Dagai,34.61414,73.03784,Combined,KPK,1,1,538,385
109,Government High School Pihari,34.61529,72.95838,Male,KPK,3,0,1351,0
110,Government Primary School Pirhari,34.61564,72.95746,Female,KPK,0,1,0,810
82,Government Primary School Taya Jadeed,34.61758,73.04488,Combined,KPK,1,1,589,410
