StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
172,Govt High School Khair Abad (PS-I),34.34422,73.3196,Male,KPK,3,0,1188,0
173,Govt High School Khair Abad (PS-II),34.34422,73.31963,Female,KPK,0,2,0,890
177,Govt Girls High School Doga,34.37138,73.33804,Combined,KPK,1,1,412,334
175,Basic Health Unit Doga,34.37554,73.33931,Female,KPK,0,2,0,941
174,Govt Higher Secondary School Doga,34.3756,73.33758,Male,KPK,3,0,1056,0
171,Govt Primary School Brar Kot,34.37572,73.39197,Combined,KPK,1,1,385,339
170,Govt Girls Primary School Barar Kot,34.37719,73.3978,Combined,KPK,2,1,564,477
176,Govt Primary School Traida Bandi,34.38068,73.3496,Combined,KPK,1,1,488,406
179,Govt Girls Middle School Karnol,34.38315,73.37915,Male,KPK,4,0,1528,0
180,Govt Girls Primary School Karnol,34.3894,73.3792,Female,KPK,0,3,0,1195
169,Govt Middle School Batang,34.38961,73.39828,Combined,KPK,2,1,494,378
178,Govt Primary School Lower Bhooraj,34.39139,73.35688,Combined,KPK,2,2,737,568
168,Govt Middle School Ghoray Phair,34.40052,73.41066,Combined,KPK,1,1,423,357
157,Govt Higher Secondary School Garhi GarhiHabibullah (PS-I),34.40137,73.38412,Female,KPK,0,2,0,867
159,Govt Higher Secondary School Garhi Habibullah (PS-II),34.40137,73.38415,Female,KPK,0,3,0,1155
161,Rural Health Center Garhi Habibullah (PS-I),34.40231,73.38418,Female,KPK,0,2,0,626
163,Rural Health Center Garhi Habibullah (PS-II),34.40231,73.38421,Female,KPK,0,2,0,718
160,Govt Girls Higher Secondary  School Garhi Habibullah (PS-I),34.40236,73.3772,Male,KPK,2,0,683,0
162,Govt Girls Higher Secondary School Garhi Habibullah (PS-II),34.40236,73.37723,Male,KPK,3,0,949,0
164,Govt High School No. 2 Garhi Habibullah,34.40237,73.38161,Combined,KPK,2,2,771,623
166,Govt Girls Primary School Katha Dobandi,34.40268,73.35588,Combined,KPK,2,2,726,584
156,Govt Primary School Garhi Habibullah (PS-I),34.40318,73.38459,Male,KPK,3,0,1102,0
