StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
118,Government Girls Primary School Datta Khabal Mohri Male PS-I,34.28206,73.23898,Male,KPK,3,0,1234,0
119,Government Girls Primary School Datta Khabal Mohri Female (PS-II),34.28212,73.23895,Female,KPK,0,3,0,1025
116,Government High School Datta,34.28746,73.25165,Male,KPK,4,0,1559,0
126,Government Primary School Chamhora,34.28999,73.21299,Combined,KPK,2,2,962,810
117,Government High School Datta,34.29284,73.25845,Female,KPK,0,4,0,1401
121,Government Primary School No.1 Haryala,34.3,73.22694,Male,KPK,3,0,1209,0
129,Government Girls Primary School Ghazi Kot,34.30488,73.22009,Combined,KPK,2,2,777,625
128,Regional Institute of teachers Educations Ghazikot Mansehra female,34.305,73.21583,Female,KPK,0,4,0,1364
127,Government Primary School Ghazikot,34.30588,73.21529,Male,KPK,4,0,1532,0
102,Social Welfare Officer-Ghazikot Township Mansehra Male PS-I,34.30833,73.20722,Male,KPK,2,0,781,0
103,Social Welfare Officer- Ghazikot Township Mansehra female PS-II,34.30833,73.20725,Female,KPK,0,2,0,1135
122,Government Girls Primary School Haryala,34.30997,73.22589,Female,KPK,0,2,0,972
23,Government Primary School Janglan,34.31018,73.29214,Combined,KPK,2,2,590,501
123,Government Primary School Chakia,34.31232,73.25037,Male,KPK,3,0,1129,0
120,Government High School Khushala,34.31308,73.22928,Combined,KPK,2,2,611,537
22,Government Girls High School Narbeer,34.31579,73.27679,Combined,KPK,2,1,544,442
124,Government Girls Primary School Chakia,34.31624,73.23986,Female,KPK,0,3,0,906
125,Governmnent Girls Middle School Chakia,34.31833,73.2411,Combined,KPK,2,2,767,656
114,Office of the District Officer water Supply mansehra male PS-I,34.31989,73.19208,Male,KPK,3,0,1111,0
115,Office of the District Officer water Supply Mansehra female PS-II,34.31989,73.19211,Female,KPK,0,2,0,926
94,Government Commerce College Mansehra Male PS-I,34.32029,73.20139,Male,KPK,2,0,783,0
96,Government Commerce College Mansehra PS-II,34.32029,73.20142,Male,KPK,2,0,574,0
97,Government Commerece College female Mansehra PS-III,34.32029,73.20145,Female,KPK,0,2,0,521
98,Government Commerce College Mansehra male PS-IV,34.32029,73.20148,Male,KPK,4,0,1235,0
99,Governmnent Commerce College Mansehra female PS-V,34.32034,73.20147,Female,KPK,0,3,0,1162
87,Divisional Forest Office Siran Devision,34.32069,73.20722,Combined,KPK,2,1,506,468
112,Government Primary School Dhangri Bala,34.32074,73.18149,Male,KPK,2,0,683,0
101,Assistant Director Food Controller Mansehra,34.32083,73.20722,Female,KPK,0,4,0,1204
113,Government Girls Primary School Dhangri Bala,34.32096,73.18177,Female,KPK,0,2,0,599
100,Small Industries Office Mansehra,34.32256,73.20522,Male,KPK,4,0,1359,0
86,Government Girls Primary School Aziz Abad Mutrayan Female,34.32325,73.21413,Female,KPK,0,4,0,1564
88,Sub Divisional Office-Public Health Office Mansehra Male PS-1,34.32367,73.195,Male,KPK,3,0,1017,0
89,Sub Divisional OfficePublic Health Office Mansehra Female PS-II,34.32367,73.19503,Female,KPK,0,3,0,943
95,Government Girls Higer Secondary School No 2 Mansehra,34.32416,73.19756,Female,KPK,0,2,0,693
90,District Forest Office -Water Shed Office Mansehra Male(PS-I),34.32524,73.18938,Male,KPK,2,0,773,0
91,District Forest Office -Water Shed Office Mansehra Female (PS-II),34.32524,73.18941,Female,KPK,0,2,0,737
104,King Abdullah Hospital Mansehra Male PS-I,34.3256,73.2015,Male,KPK,3,0,1233,0
105,King Abdullah Hospital Mansehra female PS-II,34.3256,73.20153,Female,KPK,0,3,0,1144
93,Tameer e Nau public School Mansehra,34.32706,73.1946,Female,KPK,0,4,0,1239
61,Government Primary School Sufaida,34.32777,73.24532,Male,KPK,3,0,1310,0
92,Government Girls Primary School Dub No.1 Mansehra,34.32871,73.19509,Male,KPK,4,0,1397,0
62,Government Girls Primary School Sufaida,34.32947,73.24497,Female,KPK,0,3,0,1046
110,Government High School No 1 Chitti Dheri Mansehra Male PS-I,34.32949,73.18536,Male,KPK,4,0,1253,0
111,Government High School No 2 Chitti Dheri Mansehra female PS-II,34.32949,73.18539,Female,KPK,0,4,0,1174
15,Government Primary School Pairan,34.32964,73.29803,Male,KPK,3,0,913,0
109,Government Girls Primary School Chitti Dheri,34.33004,73.18478,Combined,KPK,2,2,579,533
13,Government Higher Secondary School Pairan Male (PS-I),34.3303,73.29828,Male,KPK,3,0,964,0
14,Government Higher Secondary school Pairan female (PS-II),34.3303,73.29831,Female,KPK,0,2,0,832
77,OPF School Safdar Road Mansehra Female (PS-II),34.33064,73.19106,Female,KPK,0,3,0,838
76,OPF school safdar road mansehra male PS-I,34.33075,73.19107,Male,KPK,3,0,957,0
63,Government Middle School Hado Bandi,34.33084,73.22814,Male,KPK,3,0,1194,0
17,Government Girls Primary School Pairan,34.33091,73.3042,Combined,KPK,2,1,562,475
