StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
25,Government Maktab Primary School Baffa Doraha Langora,34.40769,73.18436,Male,KPK,4,0,1295,0
45,Government Primary School Dulla Maira,34.41056,73.25833,Male,KPK,3,0,982,0
7,Government Middle School- Baffa Doraha,34.41506,73.22635,Male,KPK,3,0,1135,0
8,Government Primary School- Baffa Doraha,34.41509,73.22639,Female,KPK,0,2,0,819
21,Government Primary School No.2- Baffa Maira,34.41531,73.20919,Combined,KPK,2,2,711,543
46,Aqsa Islamia Public School Dulla Maira,34.41722,73.26361,Female,KPK,0,2,0,691
26,Government Primary School No.1 Baffa Maira,34.42002,73.19842,Female,KPK,0,3,0,1045
47,Hazara University Mansehra,34.42374,73.24692,Combined,KPK,1,1,376,335
48,Hazara University Mansehra (Department of Managment Sciences) (PS-II),34.42374,73.24695,Male,KPK,4,0,1811,0
49,Hazara University Manshera (Department of Managment Sciences) (PS-III),34.42374,73.24698,Female,KPK,0,4,0,1371
51,Government Higher Secondary School Dhodial (PS-I),34.42476,73.25365,Male,KPK,3,0,1199,0
52,Government Higher Secondary School Dhodial (PS-II),34.42476,73.25368,Female,KPK,0,3,0,1025
3,Government Primary School Inayat Abad,34.42827,73.22154,Female,KPK,0,4,0,1722
4,Government Primary School- Banda Piran (PS-I),34.43002,73.22788,Male,KPK,2,0,909,0
5,Government Primary School Banda Piran (PS-II),34.43002,73.22791,Male,KPK,4,0,1201,0
50,Government Primary School Dhodial,34.43198,73.25635,Combined,KPK,2,1,605,493
58,Government Girls Primary School Badhan,34.43306,73.28694,Combined,KPK,2,1,515,364
1,Agriculture Extension Office- Inayat Abad. (PS-I),34.43365,73.2248,Male,KPK,3,0,925,0
2,Agriculture Office (Research Center)- Inayat Abad. (PS-II),34.43365,73.22483,Male,KPK,4,0,1219,0
53,Government Primary School Girwal,34.43372,73.24717,Male,KPK,3,0,1044,0
54,Government Girls Primary School Girwal,34.43417,73.24805,Female,KPK,0,2,0,807
42,Government Middle School Dhodial,34.43556,73.25417,Female,KPK,0,3,0,1432
40,Government Girls High School Dhodial (PS-I),34.43564,73.25935,Male,KPK,3,0,1210,0
41,Government Girls High School Dhodial (PS-II),34.43564,73.25938,Male,KPK,2,0,615,0
55,Government Middle School Shanai Bala,34.43758,73.26839,Male,KPK,2,0,762,0
9,Government Primary School- Baffa Khurd (Partially Improvised),34.43766,73.21254,Combined,KPK,2,2,795,675
10,Government Middle School Baffa Khurd,34.43788,73.21224,Male,KPK,4,0,1448,0
11,Governmet Girls Primary School Baffa Khurd,34.4385,73.21269,Female,KPK,0,4,0,1231
22,Government Primary School Baffa Kalan,34.43862,73.21941,Combined,KPK,2,2,649,495
12,Government Higher Secondary School Baffa Male (PS-I),34.43864,73.22343,Male,KPK,2,0,1070,0
17,Government Higher Secondary School Baffa Male (PS-II),34.43864,73.22346,Male,KPK,3,0,1027,0
