StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
42,Govt: Primary School Marghuzar (Male),34.67006,72.34048,Male,KPK,2,0,1113,0
40,Govt: Middle School Marghuzar (Male),34.67214,72.33997,Male,KPK,2,0,1168,0
41,Govt: Girls Primary School Marghuzar Right Side (Female),34.67866,72.3405,Female,KPK,0,2,0,865
43,Govt: Girls Primary School Marghuzar Left Side (Female),34.67866,72.34053,Female,KPK,0,2,0,802
45,Govt: Primary School Sheratraf (Combined),34.68204,72.38513,Combined,KPK,2,1,822,564
44,Govt: Girls Primary/MIddle School Gul Bandai (Combined),34.69114,72.34843,Combined,KPK,1,1,574,446
51,Govt: Primary School No.1 Sangar (Male),34.69313,72.46735,Male,KPK,2,0,1111,0
52,Govt: Primary School No.2 Sangar (Female),34.69361,72.47248,Female,KPK,0,1,0,871
39,Govt: Girls Primary School Spal Bandai (Female),34.69732,72.35786,Female,KPK,0,2,0,1014
38,Govt: Middle School Spal Bandai (Male),34.69766,72.35764,Male,KPK,2,0,1516,0
50,Govt: Girls Primary School Meragai (Female),34.70485,72.45173,Female,KPK,0,2,0,1255
34,Govt:Primary School Bakarr (Combined),34.7052,72.39349,Combined,KPK,1,1,578,423
49,Govt: Middle School Meragai (Male),34.70699,72.45444,Male,KPK,3,0,1649,0
36,Govt: High School Chitawar (Male),34.70771,72.34838,Male,KPK,2,0,1605,0
37,Govt: Primary School Kokrrai (Female),34.715,72.34303,Female,KPK,0,3,0,1844
35,Basic Health Unit Islampur (Male),34.71513,72.34208,Male,KPK,2,0,872,0
32,Govt: Primary School Islampur (Combined),34.71883,72.36227,Combined,KPK,2,1,1221,875
30,Govt: High School Islampur (Male),34.71894,72.36255,Male,KPK,2,0,1741,0
48,Govt: Girls High School Jambil (Female),34.71975,72.44746,Female,KPK,0,2,0,1006
31,Govt: Girls Primary School Islampur (Female),34.71997,72.36794,Female,KPK,0,2,0,1219
33,Govt: Primary School Balawoo Islampur (Combined),34.7205,72.37553,Combined,KPK,1,1,615,465
