StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
208,Govt Girls High School- Noordi. (Female),33.91263239819446,73.00078816266144,Female,KPK,0,2,0,806
210,Govt Girls High School- Noordi. (Female),33.91263239819446,73.0008181626614,Female,KPK,0,3,0,915
207,Govt High School- Noordi. (Male),33.914202612670046,72.99498804562833,Male,KPK,3,0,939,0
209,Govt High School- Noordi. (Male),33.91457,72.99479,Male,KPK,3,0,1056,0
205,Govt Girls High School- Chappara. (Male),33.92469518660511,73.02166498603916,Male,KPK,3,0,1083,0
206,Govt Girls High School- Chappara.(Female),33.92501,73.02171,Female,KPK,0,3,0,941
204,Govt Primary School- Sumbal Mohri.(Female),33.931184680534265,73.03133189828192,Female,KPK,0,4,0,1320
227,Govt High School- Kahal. (Female),33.93390422492002,72.96016687232576,Female,KPK,0,4,0,1305
226,Govt High School- Kahal. (Male),33.933927464338254,72.96016755317423,Male,KPK,4,0,1449,0
228,Govt Primary School- Pind Jamal Khan.,33.9343044638699,73.00459769944634,Combined,KPK,2,2,676,563
229,Govt Primary School- Kamalpur.,33.93844163680204,72.99612575188586,Combined,KPK,2,1,471,446
203,Govt Girls Primary School- Koka.(Male),33.940197128441866,73.0294987404143,Male,KPK,4,0,1549,0
231,Govt Girls Primary School- Mirpur. (Female),33.94451175505198,72.94952085046914,Female,KPK,0,4,0,1341
230,Govt Primary School- Mirpur. (Male),33.94475987648319,72.9496069115584,Male,KPK,4,0,1457,0
201,Govt Girls Middle School-Rehana.,33.94628320983258,73.0249847303341,Combined,KPK,2,2,885,736
202,Govt Primary School- Chitri.,33.95646175343988,73.02627573936478,Combined,KPK,1,1,383,311
175,Govt Primary School-Check Shah Muhammad.,33.957025741500296,72.9710127719027,Combined,KPK,1,1,353,271
30,Govt Primary School No.2- Noor Colony.(Male),33.96048820689921,72.93572412831995,Male,KPK,3,0,971,0
192,Govt Primary School- Gheba.,33.960955287140926,73.02028521677767,Combined,KPK,2,2,829,640
34,Govt Girls High School- T & T Colony.,33.968679486006465,72.92155076824903,Combined,KPK,2,2,671,620
171,Govt Primary School- Maira Ali Khan.,33.96926260895588,72.99101910247171,Combined,KPK,2,2,767,590
33,Govt High School- T & T Colony.,33.96928957717475,72.92525326042686,Combined,KPK,2,2,654,686
31,Govt Girls Middle School Noor Colony. (Female),33.97288,72.91784,Female,KPK,0,2,0,838
43,Govt Primary School- Noor Colony No.1.,33.97302845865542,72.91783550494657,Combined,KPK,2,2,476,431
44,Govt Girls  Primary School- Noor Colony No.1.,33.97307696019381,72.91789018318161,Combined,KPK,2,2,610,551
35,Govt Girls Community Middle Model School- Street No.07 TIP. (Male),33.97379549145824,72.93327932128905,Male,KPK,4,0,1530,0
37,Govt Girls Community Middle Model School- Street No.07 TIP. (Female),33.97381709906573,72.93329904257834,Female,KPK,0,4,0,1428
