StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
88,Govt Girls Higher Secondary School  Zarobi  (F) (P)*,34.02284,72.55324,Female,KPK,0,2,0,703
85,Govt:High School Zarobi (M) 1st PS (P)*,34.0237,72.55296,Male,KPK,2,0,827,0
86,Govt:High School Zarobi (M) 2nd P.S (P)*,34.02374,72.55302,Male,KPK,3,0,1237,0
87,Govt:High School Zarobi (M) 3rd P.S (P)*,34.02374,72.55305,Male,KPK,3,0,1278,0
81,Govt:Primary School No.2 Zarobi (M) 3rd PS (P)*,34.03245,72.56342,Male,KPK,2,0,913,0
80,Govt:Primary School No.2 Zarobi (M) 2nd PS (P)*,34.03249,72.56348,Male,KPK,3,0,1218,0
79,Govt:Primary School No.2 Zarobi (M) 1st PS (P)*,34.0325,72.56351,Male,KPK,3,0,1717,0
82,Govt: Girls Primary School No.1 Zarobi (F) (P)*,34.033,72.56464,Female,KPK,0,3,0,1516
36,Govt Girls High School Batakara (F) 1st PS (P)*,34.03462,72.60121,Female,KPK,0,2,0,1029
37,Govt Girls High School Batakara (F) 2nd PS (P)*,34.03462,72.60124,Female,KPK,0,3,0,1323
33,Govt:High School Batakara (M) 1st PS (P)*,34.03476,72.59949,Male,KPK,3,0,1390,0
34,Govt:High School  Batakara (M) 2nd PS (P)*,34.03476,72.59952,Male,KPK,3,0,1228,0
35,Govt:High School  Batakara (M) 3rd PS (P)*,34.03476,72.59955,Male,KPK,2,0,693,0
89,Govt Girls Primary School  No.2  Zarobi (F) 1st PS (P)*,34.03493,72.56288,Female,KPK,0,2,0,883
90,Govt Girls Primary School  No.2  Zarobi (F) 2nd PS (P)*,34.03493,72.56291,Female,KPK,0,3,0,1443
83,Govt: Girls Primary School No.3 Zarobi (F) 1st PS (P)*,34.03609,72.57468,Female,KPK,0,2,0,890
84,Govt: Girls Primary School No.3 Zarobi (F) 2nd PS (P)*,34.03609,72.57471,Female,KPK,0,2,0,949
26,Govt Primary School Gallah (Combined)  (P)*,34.04724,72.64362,Combined,KPK,2,1,730,592
76,Govt:Primary School Qadar Abad Khazana Kalabat (M) (P)*,34.04760368084909,72.54930807426966,Male,KPK,3,0,1410,0
24,Govt Girls High School  Pehur Himlet (Topi) (F) 1st PS(P)*,34.05338,72.64379,Female,KPK,0,2,0,987
30,Govt Girls High School  Pehur Himlet (Topi) (F) 2nd PS(P)*,34.05338,72.64382,Female,KPK,0,2,0,648
31,Govt Girls High School  Pehur Himlet (Topi) (F) 3rd PS(P)*,34.05346,72.64382,Female,KPK,0,1,0,467
22,Govt:High School Pehur Himlet (Topi) (M)  (P)*,34.0538,72.63624,Male,KPK,3,0,1319,0
27,Govt:Primary School Pehur Himlet (Topi) (M) 1st PS  (P)*,34.05412,72.6411,Male,KPK,2,0,888,0
28,Govt:Primary School Pehur Himlet (Topi) (M) 2nd PS  (P)*,34.05421,72.64114,Male,KPK,2,0,625,0
3,Govt Primary School No.2 Topi (E-I) (F) (P)*,34.06406,72.63168,Female,KPK,0,3,0,1522
11,Govt:Higher Secondary School Topi (W-I) (M) 1st PS (P)*,34.06741,72.61266,Male,KPK,3,0,1038,0
12,Govt:Higher Secondary School Topi (W-I) (M) 2nd PS (P)*,34.06747,72.61287,Male,KPK,3,0,1130,0
