StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
109,Govt Girls Primary School Allah Dher Jehangira (F) (P)*,33.952843230869,72.27067249553716,Female,KPK,0,2,0,729
108,Govt Middle School Allah Dher Jehangira (M) (P)*,33.95304,72.27068,Male,KPK,3,0,1110,0
99,Govt:Higher Secondary School Jehangira (M) 1st  P.S (P)*,33.96442,72.22245,Male,KPK,3,0,1115,0
100,Govt:Higher Secondary School Jehangira (M) 2nd P.S (P)*,33.96442,72.22248,Male,KPK,3,0,1297,0
97,Govt:Primary School No.2 Jehangira (F)  (P)*,33.96497,72.22112,Female,KPK,0,3,0,1369
102,Govt Girls High School Jehangira (F) 2nd PS (P)*,33.96581530737225,72.21983720182193,Female,KPK,0,3,0,1074
101,Govt Girls High School Jehangira (F) 1st PS (P)*,33.96584653851289,72.21982701214871,Female,KPK,0,2,0,917
106,Govt Girls Primary School Ismail abad Jehangira (F) (P)*,33.96634,72.24172,Female,KPK,0,3,0,1394
93,Govt:Primary School No.3 Mian Isa Road Jehangira (M)  (P)*,33.968643566456585,72.22094836048478,Male,KPK,3,0,1230,0
98,Govt:Girls Primary School Hayat Abad Jehangira (F) (P)*,33.969514625347436,72.22396801003211,Female,KPK,0,3,0,1361
107,Govt Girls Primary School No.3 Mustaqeem abad Jehangira (F) (P)*,33.96982,72.25508,Female,KPK,0,3,0,1580
80,Govt Girls High/Girls Middle School Bazar  Tano Beka (F)  (P)*,33.97012,72.30962,Female,KPK,0,2,0,1030
81,Govt Primary School Jabbar Tano Beka (Comb:),33.9703714984805,72.2873487137354,Combined,KPK,2,1,609,481
103,Govt:Primary School Wisal Abad Jehangira (M) 1st PS (P)*,33.97067228525001,72.24259528706393,Male,KPK,3,0,1111,0
105,Govt:Middle School Wisal Abad Jehangira (M) (P)*,33.97068,72.24261,Male,KPK,3,0,1219,0
104,Govt:Primary School Wisal Abad Jehangira (M) 2nd PS (P)*,33.97070610618091,72.24259578274375,Male,KPK,3,0,1525,0
79,Govt Primary School No.1 Bazar Tano Beka (M) (P)*,33.974936514637896,72.3065850596577,Male,KPK,3,0,1414,0
145,Govt: Primary School No.3 Tordher-I (M) 2nd PS (P)*,33.98319,72.27494,Male,KPK,3,0,1179,0
140,Govt: Primary School Bagh-e-HaramTordher M.Changan-II (M)  (P)*,33.98335771414964,72.28708909899456,Male,KPK,2,0,878,0
141,Govt: Girls Primary School Bagh-e-HaramTordher M.Changan-II (M)  (P)*,33.98338368458513,72.28717547621213,Male,KPK,3,0,1224,0
139,Govt: Primary School Sheikh Baba Tordher M.Changan-II (M)  (P)*,33.98424,72.29424,Male,KPK,3,0,1131,0
94,Govt:Primary School Gharib Abad Jehangira (M) (P)*,33.985485356375186,72.24256610824165,Male,KPK,3,0,975,0
146,Govt: Primary School Wilayat Khel Tordher-I (M) (P)*,33.98698392166718,72.28671638601692,Male,KPK,3,0,955,0
95,Govt:Primary School Azim Garhi Jehangira (M) 1st P.S (P)*,33.98834464197589,72.23481281340662,Male,KPK,3,0,1015,0
150,Govt: Primary School Dhok Loharan Tordher-II (M)  (P)*,33.98891766445156,72.2517390099672,Male,KPK,3,0,1314,0
136,Govt Primary School No.2 Tordher M.Changan-I (M) P)*,33.99014550299187,72.28948950386416,Male,KPK,3,0,1170,0
71,Govt Girls Primary School No.1 Beka (F) 2nd PS (P)*,33.99033,72.34491,Female,KPK,0,3,0,1650
70,Govt Girls Primary School No.1 Beka  (F) 1st  PS (P)*,33.99037397891215,72.34486419217247,Female,KPK,0,2,0,1066
147,Govt: Girls Primary School No.1 Mohallah Khan Khel  Tordher-I (F) (P)*,33.99075,72.28735,Female,KPK,0,3,0,1250
142,Govt Girls High School No.1 Tordher M.Changan-II (F) 1st  PS (P)*,33.990984042341,72.2890973135652,Female,KPK,0,3,0,1347
143,Govt Girls High School No.1 Tordher M.Changan-II (F) 2nd  PS (P)*,33.99101070717382,72.28913919984144,Female,KPK,0,3,0,1201
152,BHU Basic Health Unit Tordher-II (F)  (P)*,33.99127,72.27198,Female,KPK,0,3,0,1200
149,Govt: Primary School Ghulam Muhammad Baba Tordher-II (M) (P)*,33.99295029945375,72.2690281946288,Male,KPK,3,0,1108,0
68,Govt:High School Beka (M) 2nd PS (P)*,33.99304433622625,72.3533501860754,Male,KPK,3,0,1233,0
67,Govt:High School Beka (M) 1st PS (P)*,33.99304489877825,72.35332480531399,Male,KPK,3,0,1443,0
