StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
69,govt ; primary school no2 kanderoo (P) male ps no1,34.10262605327085,72.16842702109098,Male,KPK,4,0,1480,0
70,govt; primary school no 2 kandar p male ps no 2,34.10262605327085,72.168457021091,Male,KPK,3,0,1118,0
74,GOVT ; GIRLS HIGH SCHOOL MUHAMMAD WALI KILLI  (p)  MALE PS  NO1,34.103451480044896,72.14109056671812,Male,KPK,4,0,1763,0
75,govt girls high school muhammad wali killi ps no2 (P) female,34.103451480044896,72.1411205667181,Female,KPK,0,3,0,1297
77,govt primary school akhonzadgan killi (T) male,34.104015698652496,72.17497744769518,Male,KPK,3,0,1324,0
78,govt; girls primary school gad bano  killi toru (T) female,34.10405633574668,72.17499867557642,Female,KPK,0,3,0,1021
55,GOVT  HIGH  SCHOOL  SHAMSHAD ABAD PS NO 1 COMBINED,34.1063977662984,72.1042847152236,Combined,KPK,2,1,507,416
58,GOVT HIGH SCHOOL SHAMSHAD ABAD MALE  PS NO 2,34.1063977662984,72.1043147152236,Male,KPK,3,0,1450,0
59,GOVT HIGH SCHOOL SHAMSHAD ABAD PS NO 3 FEMALE,34.1063977662984,72.1043447152236,Female,KPK,0,3,0,1050
88,Govt: high School Anar Baig (P) Combind,34.106667815491264,72.20055528714852,Combined,KPK,1,1,380,293
65,govt high school toru mera muhammad wali killi ps no 1 (P)  male,34.10888336351032,72.13610938127131,Male,KPK,4,0,2120,0
66,govt high school muhammad wali killi ps no 2 (P) female,34.10888336351032,72.1361393812713,Female,KPK,0,4,0,1577
50,Govt: Girls Primary School No.3 Zaid Khel Toru (P) Combined.,34.12046741195873,72.09993516581402,Combined,KPK,2,1,563,425
53,govt degree college toru male ps no 1,34.12046741195873,72.099965165814,Male,KPK,4,0,1566,0
56,govt degree college toru  male  p s no 3,34.12046741195873,72.099995165814,Male,KPK,3,0,1220,0
57,GOVT DEGREE COLLEGE TORU FEMALE P S NO 4,34.12046741195873,72.100025165814,Female,KPK,0,2,0,886
54,govt degree college  toru female ps no 2,34.12049962269598,72.09998891305602,Female,KPK,0,3,0,1114
72,GOVT; PRIMARY SCHOOL QASIM MALE,34.12448014603942,72.13765563209783,Male,KPK,4,0,1851,0
73,GOVT; GIRLS PRIMARY SCHOOL NO 1 QASIM (p) FEMALE,34.13072147513717,72.1376220503983,Female,KPK,0,3,0,1406
51,govt girls higher secondary school toru (p) combined ps s no 1,34.14219500961986,72.09815870636443,Combined,KPK,2,2,946,546
52,govt  girls higher secondary school toru (P) combined P S no 2,34.14219500961986,72.0981887063644,Combined,KPK,2,2,1115,1028
60,GOVT HIGHER SECONDARY SCHOOL SOWARRYAN  M PS NO1,34.14519457379635,72.10484874379362,Male,KPK,4,0,1492,0
61,govt; higher secondary school sowarryan(P) male ps no. 2,34.14519457379635,72.1048787437936,Male,KPK,4,0,1482,0
63,govt- higher secondary school  sowarryan (P) male ps no. 3,34.14519457379635,72.1049087437936,Male,KPK,3,0,1177,0
43,Govt: Girls Primary School Nawan Killi ( female),34.14602723500133,72.09450000291156,Female,KPK,0,3,0,1022
42,govt high school nawi killi male ps  no 2,34.146350480245786,72.09006636484487,Male,KPK,3,0,1395,0
45,GOVENMENT HIGH SCHOOL TORU P S 1 (P) COMBINED,34.146350480245786,72.0900963648449,Combined,KPK,2,1,560,491
46,Govt: High School Toru PS No.2 (P) (Male),34.146350480245786,72.0901263648449,Male,KPK,3,0,1424,0
41,govt primary school  nawi killi (female),34.146354819986655,72.09061078099623,Female,KPK,0,4,0,1875
40,govt  high school nawa  killi ps no 1 (p) male,34.14636126327608,72.09007524498556,Male,KPK,3,0,1327,0
44,govt high school nawi killi male ps no 3,34.14636126327608,72.0901052449856,Male,KPK,3,0,1357,0
45,GOVENMENT HIGH SCHOOL TORU P S 1 (P) COMBINED,34.14636126327608,72.0901352449856,Combined,KPK,2,1,560,491
47,Govt: High School Toru PS No.3 (P) Male,34.14636126327608,72.0901652449856,Male,KPK,2,0,854,0
48,Govt: Primry School Toru PS No.1 (P) female,34.14638208581861,72.09064488798757,Female,KPK,0,2,0,809
49,Govt: primary School Toru (P) Female PS No.2,34.14638208581861,72.0906748879876,Female,KPK,0,3,0,1166
84,GOVT JIKA MODEL SCHOOL GUMBAT COMBINED,34.14689364086813,72.1986258089945,Combined,KPK,2,2,1035,851
82,GOVT ; GIRLS  HIGH SCHOOL GUMBAT (p) MALE PS NO1,34.14806715644561,72.1957432494236,Male,KPK,3,0,1150,0
83,GOVT ; GIRLS HIGH SCHOOL GUMBAT   (p) FEMALE PS NO 2,34.14806715644561,72.1957732494236,Female,KPK,0,2,0,918
86,Govt: High School Dakki Gumbat (P) Male,34.14806715644561,72.1958032494236,Male,KPK,3,0,1204,0
85,GOVT PRIMARY SCHOOL NO 1 GUMBAT COMBINED,34.149835183880704,72.19377832358423,Combined,KPK,2,2,1143,854
79,govt high school gumbat ps no 1 (P) combined,34.149835183880704,72.1938083235842,Combined,KPK,2,2,947,813
80,GOVT; HIGH SCHOOL GUMBAT PS NO 2 (p) COMBINED,34.149835183880704,72.1938383235842,Combined,KPK,1,1,381,312
81,GOVT;  HIGH SCHOOL GUMBAT  PS NO 3 (p)  COMBINED,34.149835183880704,72.1938683235842,Combined,KPK,2,2,704,549
76,govt; girls middle school gad bano killi (T) combined,34.1559574215325,72.18305189285654,Combined,KPK,2,1,674,461
39,govt  primary school zor mandi mayar combined,34.159405441436675,72.09648289073239,Combined,KPK,2,2,827,579
32,govt primary schoool bhati korona (female),34.15961622460328,72.07689894208028,Female,KPK,0,3,0,1161
89,Govt: High School Geedar (P) Male,34.161890807735396,72.17625620781612,Male,KPK,3,0,1188,0
90,Govt: primary school geedar (P) Female,34.16229690669377,72.1783356087895,Female,KPK,0,2,0,907
71,GOVT ; HUGH SCHOOL KANDAR P FEMALE,34.162391955064635,72.16175461729738,Female,KPK,0,4,0,1850
37,govt girls high school mayar male ps no 1,34.16363231897505,72.08458804148361,Male,KPK,3,0,1288,0
38,govt girls high school  mayar female p.s no 2,34.16363231897505,72.0846180414836,Female,KPK,0,2,0,984
36,govt primary school mayar no 1 (p) female,34.163853971348736,72.08547010098964,Female,KPK,0,3,0,1230
29,GOVT HIGHER SECONDARY SCHOOL MAYAR PS NO 1 (P) COMBINED,34.16434422121169,72.07692890132296,Combined,KPK,2,1,804,575
30,govt higher secondary school mayar ps no 2 (p)  combined,34.16434422121169,72.076958901323,Combined,KPK,2,2,927,637
31,govt higher secondary school mayar p. s no 3 (p)  male,34.16434422121169,72.076988901323,Male,KPK,4,0,1475,0
35,govt  primary school mayar no 2 (rented building ) male,34.16458706912678,72.08203618708063,Male,KPK,4,0,1643,0
