StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
9,Govt.Girls High School- Maho Dheri(P) Male,34.14775549912355,71.99445683036471,Male,KPK,4,0,1810,0
1,Govt.High School-  Sarband (P) combined,34.14806,71.96209,Combined,KPK,2,2,1002,656
3,Govt.Girls Primary School- Khwaja Rashaka(P) Female,34.14806,71.96212,Female,KPK,0,2,0,748
4,Govt.Higher Secondary School- Khanjar(P) Male,34.15336,71.95358,Male,KPK,4,0,1511,0
88,Govt.Girls High School- Tambulak (P)  Female PS No.1,34.16488971924234,72.01674539693745,Female,KPK,0,2,0,938
92,Govt.Girls High School- Tambulak (P) P.S No. 2 Female,34.16488971924234,72.0167753969374,Female,KPK,0,2,0,613
7,Govt.Girls High School-Bakri Banda(P) P.S No.2(Female),34.16561,71.98537,Female,KPK,0,2,0,838
6,Govt.Girls High School-Bakri Banda(P) P.S No.1 (Male),34.16561,71.9854,Male,KPK,3,0,1147,0
89,Govt.Girls Primary School-  Tambulak (P) Male,34.16624119553521,72.01644540393029,Male,KPK,2,0,890,0
90,Govt. Primary School-  Tambulak SHAHEED Abad (P) Female,34.166601901549804,72.01618775051436,Female,KPK,0,2,0,663
8,Govt.High School- Bakri Banda(P) combined,34.16714,71.98334,Combined,KPK,2,1,698,506
45,Govt.High School- Khazana Dheri(P) Combined,34.167607615725224,71.95247964000481,Combined,KPK,2,2,833,543
91,Govt. Primary School-  Tambulak (P)  Male,34.16773292530843,72.01796493369594,Male,KPK,2,0,922,0
87,Govt. High School- Tambulak (P)   Male,34.16882217146938,72.01763031080145,Male,KPK,3,0,1127,0
16,Govt Girls High School- Koragh (Combined),34.17070157721512,71.99514161536969,Combined,KPK,2,2,767,615
19,Govt.Higher Secondary School- Chamatar-P.S.No.1(P) (Male),34.17545550505541,71.98408683271774,Male,KPK,4,0,1966,0
20,Govt.Higher Secondary School- Chamtar P.S.No.2(P) (Female),34.17545550505541,71.9841168327177,Female,KPK,0,3,0,1386
43,Govt.Primary School-  Arabi Fazal Killi(P)              ( male) PS No.1,34.179650004063895,71.94448347731054,Male,KPK,3,0,1483,0
44,Govt.Primary School-  Arabi Fazal Killi(P)       (Female) PS No.2,34.179650004063895,71.9445134773105,Female,KPK,0,2,0,942
51,Govt.Primary School- Qudrat Killi(P) (Male),34.184316404252435,71.95965707890218,Male,KPK,3,0,1213,0
85,Govt:Primary School- Railway Station (Male),34.18582306477027,72.03193284270274,Male,KPK,3,0,1343,0
86,Cooperative Office- Bagh-e-Iram Road- Mardan  (Female),34.18671437560618,72.03109215301534,Female,KPK,0,3,0,1013
93,Govt.High School- Bicket Gunj No.1-P.S.No.1(P) Male,34.18867042753022,72.037243607139,Male,KPK,2,0,852,0
82,Govt.Primary School- Jan abad(P) P.S No.1 Male,34.189329409563854,72.02300940804167,Male,KPK,3,0,1027,0
83,Govt.Primary School- Jan abad(P) P.S No.2 (Male),34.189329409563854,72.0230394080417,Male,KPK,2,0,889,0
84,Govt.Girls Primary School- Jan abad(P)(Female),34.189514918877975,72.02349561378676,Female,KPK,0,3,0,1467
77,Govt.Girls Middle School-  Bijli ghar(P)  (Female),34.19082494944432,72.03178775095411,Female,KPK,0,2,0,526
79,Govt. Middle  School- Bijli Ghar (Police Line) Mardan(P) Male,34.19082494944432,72.0318177509541,Male,KPK,3,0,1399,0
116,The Falcon Public School First floor Amir haider khan hoti road kas korona Female,34.19180788725603,72.05293499502321,Female,KPK,0,2,0,662
100,District Veternary Hospital & Livestock Dairy Development Center Mardan Female,34.19219857934767,72.04207639216376,Female,KPK,0,2,0,1014
76,Govt. Middle School-  Bijli ghar(P)  Male Police Line Mardan,34.19280000849768,72.03142489711092,Male,KPK,4,0,1878,0
75,Govt.Primary School- Police Line Mardan (P)  Male,34.192911977848794,72.03111427166105,Male,KPK,2,0,629,0
97,Govt.Girls Primary School-Bicket Gunj No.1 (P) Male P.S No.1,34.193193295985985,72.03969265764654,Male,KPK,2,0,578,0
96,Govt..Girls High School-Shamsi Road Town Hall Female,34.19568795523961,72.05498758821395,Female,KPK,0,3,0,1232
107,Govt.. Centenial Model High School-No.3 (P) Female PS NO 03,34.196029413400325,72.0396577734791,Female,KPK,0,2,0,906
108,Govt. Higher Secondary School- No.1 Mardan Male P.S No.3,34.19837814421169,72.05347675850163,Male,KPK,3,0,1073,0
104,Govt.Higher Secondary School- No.1 Mardan (P) P.S No.1 Male,34.19837814421169,72.0535067585016,Male,KPK,3,0,1155,0
103,( Govt:Centinial Modle School  No.3 Mardan) (Combined) PS No. 01,34.19890541482463,72.05289599236869,Combined,KPK,2,2,786,665
101,Govt..Primary School- Mardan No.2.P.S.No.1(P) Male,34.199193979937625,72.0524352728236,Male,KPK,2,0,816,0
102,Govt..Primary School- Mardan No.2.P.S.No.2 (P) Female,34.199193979937625,72.0524652728236,Female,KPK,0,1,0,546
109,Govt.Girls Higher Secondary School-  Mardan Rustam Khel (P)  Female PS No.3,34.19957770137607,72.05356193586465,Female,KPK,0,2,0,823
105,Govt.Girls Higher Secondary School- Mardan Rustam Khel (P)  Female PS No.2,34.19957770137607,72.0535919358646,Female,KPK,0,2,0,841
42,Govt. Primary School Ibrahim khan killi (Female),34.19967455597526,71.96435634772335,Female,KPK,0,2,0,941
41,Govt.High School- Ibrahim Khan Killil(P) (Male),34.200847085911576,71.96470301534413,Male,KPK,3,0,1275,0
17,Govt.Girls Middle School- Sugar Cane(P) Combined,34.201317201347095,71.96992990179253,Combined,KPK,1,1,97,65
40,Govt.Middle School- Sheikh Yousaf (P) (Combined),34.20528183810352,71.95222168543127,Combined,KPK,1,1,387,308
106,Govt.Primary School Marget (Hoti)  Male,34.205606528758715,72.05472913462658,Male,KPK,3,0,1323,0
24,Govt.Primary School- Sharif Abad(P) Male,34.20661531034454,72.0188563841105,Male,KPK,4,0,1798,0
63,Govt. Girls Post Graduate College Baghdada Mardan,34.20707272388854,72.03010501358172,Combined,KPK,2,2,716,592
113,The Legand Public School Amir Haider Khan Road Kas korona.    Male,34.20714149349605,72.043584688863,Male,KPK,3,0,945,0
