StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
100,Govt: Hayat Ullah Shaheed Middle School- Ijara Aman ullah Khan- (Male),34.1527265,71.7473734,Male,KPK,4,0,1367,0
91,Govt: Primary School Mulyano Killy (Male),34.1539562,71.7502508,Male,KPK,2,0,836,0
119,Govt: Shaheed Rizwan Sareer Higher Secondary School No.1- Utmanzai- Polling Station No.I- (Male),34.1539562,71.7502808,Male,KPK,3,0,1050,0
123,Govt: Shaheed Rizwan Sarir Higher Secondary School Utmanzai- Polling Station No.II- (Male),34.1539562,71.7503108,Male,KPK,4,0,1671,0
129,Govt: Shaheed Rizwan Sarir Higher Secondary School Utmanzai- Polling Station No.III- (Female),34.1539562,71.7503408,Female,KPK,0,3,0,1384
130,Govt: Shaheed Hamza Ali Kakar High School Utmanzai  Polling Station No.I- (Male),34.155184,71.7609507,Male,KPK,3,0,954,0
131,Govt: Girls Higher Secondary School- Utmanzai- Polling Station No.I (Female),34.155184,71.7609807,Female,KPK,0,2,0,797
132,Govt: Shaheed Hamza Ali Kakar High School Utmanzai  Polling Station No.II- (Male),34.155184,71.7610107,Male,KPK,3,0,1336,0
133,Govt: Girls Higher Secondary School- Utmanzai- Polling Station No.II (Female),34.155184,71.7610407,Female,KPK,0,3,0,1123
134,Govt: Girls Higher Secondary School- Utmanzai- Polling Station No.III (Female),34.155184,71.7610707,Female,KPK,0,4,0,1892
135,Govt Girls Primary School Utmanzai (Male),34.155184,71.7611007,Male,KPK,3,0,1153,0
107,Govt: Shaheed Shamwail Tariq High School- Turangzai (Male),34.155184,71.7611307,Male,KPK,4,0,1604,0
109,Govt: Girls High School- Turangzai (Female),34.155184,71.7611607,Female,KPK,0,2,0,1052
125,Govt: Girls Middle School Tariq Abad- Utmanzai- P Station No.I (Female),34.155184,71.7611907,Female,KPK,0,2,0,982
126,Govt: Girls Middle School Tariq Abad- Utmanzai- P Station No.II (Female),34.155184,71.7612207,Female,KPK,0,4,0,2185
127,Govt: Girls Primary School- Parich Khel-Polling Station No. I- (Male),34.155184,71.7612507,Male,KPK,4,0,1571,0
74,Govt: Girls High School Behlola- Polling Station No.I- (Male),34.1573941,71.7727492,Male,KPK,3,0,948,0
75,Govt: Girls High School Behlola- Polling Station No.II- (Female),34.1573941,71.7727792,Female,KPK,0,3,0,1302
82,Govt: Primary School- Behlola (Combined),34.1573941,71.7728092,Combined,KPK,2,2,780,535
73,Govt: Girls Middle School Khair Muhammad Koroona Kuladhand Payan (Female),34.1573941,71.7728392,Female,KPK,0,3,0,1686
94,Govt: High School Ghazgi-Polling Station No.I- (Male),34.1573941,71.7728692,Male,KPK,4,0,1284,0
95,Govt: High School- Ghazgai-Polling Station No.II- (Male),34.1573941,71.7728992,Male,KPK,3,0,1137,0
124,Govt: Primary School Tariq Abad (Male),34.1819,71.7691,Male,KPK,4,0,2179,0
117,Govt: Girls Primary School Mera Utmanzai (Female),34.188,71.786,Female,KPK,0,2,0,1212
120,Govt: Primary School No.3 Utmanzai (Male),34.19146,71.76315,Male,KPK,4,0,1531,0
111,Govt: Middle School Kot- (Combined),34.1916,71.70879,Combined,KPK,2,1,924,697
128,Municipal Committee Office- Utmanzai(Male),34.1925,71.7614,Male,KPK,3,0,1042,0
121,Govt: Girls Primary School Sultan Abad Utmanzai (Female),34.1931,71.7652,Female,KPK,0,2,0,864
122,Govt: Shaheed Sami Ullah Middle School Utmanzai  (Female),34.19312,71.76482,Female,KPK,0,2,0,1194
116,Govt: Primary School Mera Utmanzai (Male),34.197262649936576,71.79350735308402,Male,KPK,4,0,1575,0
110,Govt: Primary School- Nimorai Baba- (Combined),34.20635,71.71624,Combined,KPK,2,1,575,417
79,Govt: High School- Behlola- Polling Station No.II- (Male),34.20640824931052,71.71626368383016,Male,KPK,3,0,952,0
113,Govt: Primary School- Marwandi Akbar Abad (Anwar Mahall) (Male),34.2075723273767,71.79835034859921,Male,KPK,3,0,1130,0
115,Govt: Girls Primary School- Shaheen Killi (Anwar Mahall) (Female),34.209233148711675,71.79773304192364,Female,KPK,0,3,0,1626
118,Govt: Middle School Sadat Abad (Combined),34.2098,71.7884,Combined,KPK,2,2,1222,855
32,Govt: Primary School Hisara Nehri- (Male),34.2104,71.7062,Male,KPK,3,0,1203,0
108,Govt: Girls Primary School- Turangzai (Female),34.211,71.7573,Female,KPK,0,4,0,2290
89,Govt: Girls Primary School Khat Koroona- Turangzai- (Male),34.21117632684729,71.7574037934042,Male,KPK,3,0,1034,0
88,Govt: Primary School- Khat Killi (Gardeen)( Male),34.212329864749144,71.76049327944303,Male,KPK,3,0,1283,0
93,Govt: Girls Community Model School Khat Qilla (Female),34.21464,71.76727,Female,KPK,0,2,0,744
104,Govt: Middle School Dheri Hamid Mian- (Male),34.2162,71.7173,Male,KPK,4,0,1420,0
105,Govt: Middle School Dheri Hamid Mian-  (Female),34.2162,71.71733,Female,KPK,0,3,0,1196
114,Govt: Primary School Nai Abadi Anwar Mahal (Male),34.21783,71.80197,Male,KPK,3,0,1062,0
106,Govt: Primary School- Wadigram Turangzai- (Male),34.2191,71.7466,Male,KPK,4,0,2240,0
112,Govt: Primary School Gango (Combined),34.2202,71.6888,Combined,KPK,2,1,858,703
86,Govt: Girls Primary School- Didar Abad (Male),34.2205,71.74969,Male,KPK,3,0,1163,0
101,Govt: Girls Middle School-Maqbool Abad Tebana- (Male),34.22137697584322,71.79081121892588,Male,KPK,4,0,1552,0
46,Govt: Shaheed Nangyal Tariq Sintinintal  Model School- TurangzaiP Station No.I (Male),34.22345407328696,71.74219871631793,Male,KPK,4,0,1297,0
