StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
48,Govt: Primary School No.2- Dheri Zardad- (Male),34.07635048314863,71.84087134623786,Male,KPK,3,0,995,0
50,Govt: Girls Community Model  School- Shuja Abad- (Male),34.08021806092119,71.84070932543143,Male,KPK,2,0,1251,0
56,Govt: Primary School- Turlandai Zherizardad( Female),34.08602725639867,71.82193182239435,Female,KPK,0,3,0,1383
57,JICA Model School Turlandi (Female),34.08779,71.82968,Female,KPK,0,3,0,1435
53,Govt: Primary School Stana Gul Kily Dheri Zardad (Female),34.08795,71.86342,Female,KPK,0,2,0,624
27,Govt: Shaheed Shahoor Alam Higher Secondary School Nisatta- Polling Station No.I- (Male),34.09837328758979,71.80452671060169,Male,KPK,4,0,1967,0
28,Govt: Shaheed Shahoor Alam Higher Secondary School Nisatta- Polling Station No.II- (Male),34.09837328758979,71.8045567106017,Male,KPK,3,0,1318,0
32,Govt: Shaheed Shahoor Alam Higher Secondary School Nisatta- Polling Station No.III- (Male),34.09837328758979,71.8045867106017,Male,KPK,3,0,1153,0
34,Govt: Shaheed Shahoor Alam Higher Secondary School Nisatta- Polling Station No.IV- (Male),34.09837328758979,71.8046167106017,Male,KPK,3,0,1167,0
49,Govt: Primary School Yousaf Khan Talawo Dheri Zardad (Male),34.09969,71.87042,Male,KPK,4,0,1541,0
36,Govt: Primary School Mulyan Nisatta (Male),34.10296,71.79345,Male,KPK,2,0,797,0
38,Govt: Girls Primary School No.2-  Nisatta Dag Wall- Polling Station No.I (Female),34.10333824047434,71.79928085552089,Female,KPK,0,3,0,1584
39,Govt: Girls Primary School No.2-  Nisatta Dag Wall- Polling Station No.II- (Female),34.10333824047434,71.7993108555209,Female,KPK,0,3,0,1434
30,Govt Primary School BHU Nisatta Polling Staion  (Female),34.10497,71.80514,Female,KPK,0,3,0,1530
29,Basic Health Unit Nisatta (Male),34.10498,71.80508,Male,KPK,3,0,1399,0
61,Govt: High Secondary School Boobak- Polling Station No.II- (Male),34.10666018787601,71.85884109341796,Male,KPK,1,0,495,0
60,Govt: High Secondary School Boobak- Polling Station No.I- (Male),34.10666018787601,71.858871093418,Male,KPK,3,0,1107,0
47,Govt: Primary School Sheikh Abad Nisatta (Male),34.11074,71.81152,Male,KPK,3,0,951,0
46,Govt: Girls Middle School Sheikh Abad Nisatta (Male),34.11118,71.81168,Male,KPK,4,0,1387,0
63,Govt: Girls High School- Boobak- Polling Station No.I- (Female),34.11133533977241,71.86503107007367,Female,KPK,0,3,0,1399
64,Govt: Primary School- Rahat Abad Nisatta- (Male),34.11424266006115,71.79527952891584,Male,KPK,3,0,1255,0
62,Govt: Middle School Nazo Killy (Combined),34.12041,71.87965,Combined,KPK,2,1,576,440
58,Govt: High School Aziz Abad (Male),34.12134858209463,71.86689289752194,Male,KPK,4,0,1889,0
59,Govt: Girls Primary School Aziz Abad (Female),34.12772373874849,71.86776854246656,Female,KPK,0,3,0,1477
138,Govt: Primary School No.3 Dosehra(Male),34.14593,71.90527,Male,KPK,2,0,539,0
130,Govt: Middle School- Shah Dhand- PS No.I (Male),34.14923,71.86614,Male,KPK,3,0,1116,0
131,Govt: Middle School Shah Dhand PS No.II(combined),34.14923,71.86617,Combined,KPK,2,2,776,584
127,Govt: High School- Ibrahimzai- PS No.I (Male),34.14931,71.85249,Male,KPK,3,0,965,0
128,Govt: High School Ibrahimzai PS No.II (Male),34.14931,71.85252,Male,KPK,2,0,912,0
1,Basic Health Unit- Baz Mian Killi (Male),34.1512132444071,71.77406342872766,Male,KPK,3,0,1401,0
66,Govt: Hayat Ullah Shaheed High School  Rajjar- Polling Station No.I- (Male),34.1527265,71.7473734,Male,KPK,3,0,1386,0
67,Govt: Hayat Ullah Shaheed High School  Rajjar- Polling Station No.II- (Male),34.1527265,71.7474034,Male,KPK,2,0,1001,0
69,Govt: Higher School No.2 Rajjar- Polling Station No.I- (Female),34.1527265,71.7474334,Female,KPK,0,2,0,1113
70,Govt: Higher School No.2 Rajjar- Polling Station No.II- (Female),34.1527265,71.7474634,Female,KPK,0,3,0,1413
72,Govt: Primary School No.1 Rajjar-Polling Station No.I- (Male),34.1527265,71.7474934,Male,KPK,3,0,1467,0
73,Govt: Primary School No.1 Rajjar-Polling Station No.II- (Male),34.1527265,71.7475234,Male,KPK,4,0,1667,0
77,Govt: Primary School- Angaar Koroona (Combined),34.1527265,71.7475534,Combined,KPK,2,2,1242,1035
80,Govt: Regional Institute teacher of Education Female- Rajjar-Polling Station No.I (Male),34.1527265,71.7475834,Male,KPK,3,0,1317,0
81,Govt: Regional Institute teacher of Education Female- Rajjar-Polling Station No.II (Male),34.1527265,71.7476134,Male,KPK,4,0,1668,0
120,Govt: Primary School- Kuda Khel (Male),34.1535839,71.7337696,Male,KPK,4,0,1656,0
121,Govt: Girls Community Model School- Koda Khel- (Female),34.1535839,71.7337996,Female,KPK,0,3,0,1226
40,Govt: Primary School- Palosa Jadeed No.1- (Male),34.1535839,71.7338296,Male,KPK,4,0,1604,0
21,Govt: Middle School- Dhab Banda Polling Station No.I (Male),34.1535839,71.7338596,Male,KPK,4,0,1688,0
23,Basic Health Unit- Zarin Abad (Female),34.1535839,71.7338896,Female,KPK,0,3,0,1394
25,Govt: Primary School- Zarin Abad(Male),34.1535839,71.7339196,Male,KPK,2,0,657,0
26,Govt: Primary School- Dheray Koroona (Female),34.1535839,71.7339496,Female,KPK,0,2,0,537
83,Govt: High School Wardaga- Polling Station No.I- (Female),34.1536892,71.7516439,Female,KPK,0,3,0,1595
84,Govt: High School Wardaga- Polling Station No.II- (Female),34.1536892,71.7516739,Female,KPK,0,3,0,1483
87,Govt: Girls High School Wardaga Polling Station No. 1 (Male),34.1536892,71.7517039,Male,KPK,4,0,1966,0
88,Govt: Girls High School Wardaga Polling Station No. 2 (Male),34.1536892,71.7517339,Male,KPK,3,0,1080,0
89,Govt: High School- Shakar Dhand (Male),34.1536892,71.7517639,Male,KPK,3,0,1312,0
91,Govt: Girls Middle School- Hikmat Abad (Female),34.1536892,71.7517939,Female,KPK,0,3,0,1489
132,Govt: Primary School- Shah Dhand (Female),34.1536892,71.7518239,Female,KPK,0,2,0,922
44,Govt: Middle School Shah Pasand Killy (Male),34.1536892,71.7518539,Male,KPK,2,0,882,0
