StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
76,Govt Girls Primiry School Tarkha (Female),34.16241,71.62112,Female,KPK,0,4,0,1403
74,Govt Primiry School Tarkha PS No1 (Male),34.16243,71.62127,Male,KPK,3,0,1296,0
75,Govt Primiry School Tarkha PS No2 (Male),34.16243,71.6213,Male,KPK,2,0,700,0
73,Govt Primiry School Haji Zai (Female),34.16799,71.59727,Female,KPK,0,4,0,1683
71,Govt High School Haji Zai PS No1 (Male),34.1692,71.59775,Male,KPK,3,0,952,0
72,Govt High School Haji Zai PS No2 (Male),34.1692,71.59778,Male,KPK,3,0,1298,0
77,Govt Girls Middle School Mahzara PS No1 (Male),34.17756,71.59675,Male,KPK,4,0,1392,0
78,Govt Girls Middle School Mahzara PS No2 Male,34.17756,71.59678,Male,KPK,3,0,1122,0
79,Govt Primiry School Mahzara PS No1 (Female),34.17768,71.59697,Female,KPK,0,3,0,1047
80,Govt Primiry School Mahzara PS No2 (Female),34.17768,71.597,Female,KPK,0,2,0,870
121,Govt Primiry School Dalazak No1 (Female),34.1811,71.55151,Female,KPK,0,3,0,1251
118,Govt High School Dalazak PS No1 (Male),34.1815,71.55591,Male,KPK,3,0,1142,0
120,Govt High School Dalazak PS No2 (Male),34.1815,71.55594,Male,KPK,4,0,1562,0
119,Govt Girls Primiry School No1 Dalazak (Male),34.18512,71.56672,Male,KPK,2,0,816,0
83,Govt Girls Community Model School Sheikhan Ocha Wala (Male),34.18577,71.58469,Male,KPK,2,0,884,0
81,Govt Primiry School No1 Ocha Wala (Male),34.18615,71.58871,Male,KPK,4,0,1527,0
82,Govt Primiry School No2 Ocha Wala (Male),34.18808,71.58221,Male,KPK,2,0,880,0
84,Govt Girls Middle School Ocha Wala PS No1 (Femlae),34.19066,71.58762,Female,KPK,0,3,0,1138
85,Govt Girls Middle School Ocha Wala PS No2 (Femlae),34.19066,71.58765,Female,KPK,0,3,0,1260
9,Govt Primiry School Shara (Female),34.19993,71.55361,Female,KPK,0,4,0,1192
113,Govt High School Subhan Khwar PS No1 (Male),34.20613,71.53938,Male,KPK,3,0,1161,0
114,Govt High School Subhan Khwar PS No2 (Male),34.20613,71.53941,Male,KPK,3,0,1155,0
115,Govt High School Subhan Khwar PS No3 (Male),34.20613,71.53944,Male,KPK,2,0,776,0
117,Govt: Girls High School Pir Qila Polling Station No.II(Female),34.20613,71.53947,Female,KPK,0,3,0,981
35,Govt High School Attaki PS No1 (Male),34.20636,71.58967,Male,KPK,4,0,1636,0
36,Govt High School Attaki PS No2 (Male),34.20636,71.5897,Male,KPK,3,0,1175,0
38,Govt Primiry School No2 Ataki (Female),34.20757,71.58697,Female,KPK,0,3,0,1148
11,Govt High School Rahmat Ullah Khan PS No2 (Male),34.21094,71.55929,Male,KPK,4,0,1465,0
10,Govt High School Rahmat Ullah Khan PS No1 (Male),34.21094,71.55932,Male,KPK,3,0,1251,0
12,Govt High School Rahmat Ullah Khan PS No3 (Male),34.21094,71.55935,Male,KPK,3,0,494,0
13,Govt Primiry School Rahmat Ullah Khan (Male),34.21098,71.55914,Male,KPK,4,0,1365,0
15,Govt Girls High School Rahmat Ullah Khan (Female),34.21109,71.55878,Female,KPK,0,3,0,1004
5,Govt Primiry School Sadiq Abad (Male),34.21214,71.55288,Male,KPK,4,0,1613,0
20,Govt Girls Primiry Scholl Pehlawan Qella PS No1 (Female),34.21309,71.56998,Female,KPK,0,4,0,1676
21,Govt Girls Primiry School Pehlawan Qella PS No2 (Female),34.21309,71.57001,Female,KPK,0,4,0,1145
7,Civil Hospital Shabqadar PS No2 (Female),34.21475,71.54958,Female,KPK,0,3,0,894
6,Civil Hospital Shabqadar PS No1 (Female),34.21475,71.54961,Female,KPK,0,3,0,1082
29,Govt Girls Primiry School Nusrat Zai (Female),34.21628,71.5907,Female,KPK,0,3,0,1002
8,Govt Primiry School Aranda (Female),34.21715,71.54606,Female,KPK,0,4,0,1162
28,Govt Primiry School Nusrat Zai (Male),34.21827,71.59115,Male,KPK,4,0,1461,0
19,Govt Degree College Shabqadar (Male),34.22038,71.58427,Male,KPK,4,0,1368,0
25,Govt High School Shabqadar Fort PS No1 (Female),34.22195,71.56934,Female,KPK,0,3,0,1126
26,Govt High School Shabqadar Fort PS No2 (Female),34.22195,71.56937,Female,KPK,0,3,0,858
27,Govt High School Shabqadar Fort PS No3 (Female),34.22195,71.5694,Female,KPK,0,3,0,1082
1,Govt High School Haleem Zai PS No1 (Male),34.22227,71.55672,Male,KPK,4,0,1498,0
3,Govt High School Haleem Zai PS No2 (Male),34.22227,71.55675,Male,KPK,3,0,1013,0
4,Govt Primiry School Haleem Zai (Male),34.22255,71.55901,Male,KPK,2,0,671,0
33,Govt Girls Primiry School Gonda (Female),34.22263,71.59975,Female,KPK,0,4,0,1519
30,Govt High School Gonda PS No1 (Male),34.22293,71.59961,Male,KPK,2,0,807,0
31,Govt High School Gonda PS No2 (Male),34.22293,71.59964,Male,KPK,3,0,1317,0
32,Govt High School Gonda PS No3 (Male),34.22293,71.59967,Male,KPK,4,0,1595,0
17,Govt Girls Higher Secondary School Shabqadar PS No1 (Male),34.22411,71.57085,Male,KPK,3,0,1165,0
18,Govt Girls Higher Secondary School Shabqadar PS No2 (Male),34.22411,71.57088,Male,KPK,4,0,1622,0
22,Govt Primiry School No2 Shabqadar Fort PS No1 (Male),34.22446,71.57078,Male,KPK,4,0,1604,0
23,Govt Primiry School No2 Shabqadar Fort PS No2 (Male),34.22446,71.57081,Male,KPK,4,0,1587,0
103,Govt High School Shah Baz Khan (Combined),34.23079,71.54033,Combined,KPK,2,2,804,410
102,Govt High School Khawaja Hawas PS No1 )(Male),34.23303,71.54623,Male,KPK,4,0,1650,0
