StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
44,GHS Chasmai (Combined),33.7775342,72.2317524,Combined,KPK,2,1,567,423
36,GPS Khawrai (Male),33.7786808,72.021893,Male,KPK,4,0,1824,0
84,GGMS Garu (Female),33.7786808,72.021923,Female,KPK,0,4,0,1513
19,GPS Esori Payan (Male),33.7832313,72.1699351,Male,KPK,4,0,1368,0
60,GHS Inzari (Male),33.7832313,72.1699651,Male,KPK,4,0,1934,0
64,GHS Kahi 2nd PS (Male),33.7832313,72.1699951,Male,KPK,4,0,1327,0
68,GGHS Kahi 1st PS (Female),33.7832313,72.1700251,Female,KPK,0,3,0,1211
69,GGHS Kahi 2nd PS (Female),33.7832313,72.1700551,Female,KPK,0,3,0,1019
71,GPS Mama Khel (Combined),33.7832313,72.1700851,Combined,KPK,1,1,487,422
78,GHSS Nizam Pur 1st PS (Male),33.78744259,72.02474879,Male,KPK,3,0,1185,0
79,GHSS Nizam Pur 2nd PS (Male),33.78744259,72.02477879,Male,KPK,2,0,850,0
73,GPS Shagai (Combined),33.78805355,72.0554337,Combined,KPK,2,2,784,584
45,GGHS Mandori (Combined),33.8045368,72.2110248,Combined,KPK,2,2,912,863
31,GHSS Khair Abad 1st PS (Male),33.8091544,72.0066297,Male,KPK,3,0,1052,0
32,GHSS Khair Abad 2nd PS (Male),33.8091544,72.0066597,Male,KPK,4,0,1561,0
63,GGPS No 2 Kahi (Female),33.8145,72.08803,Female,KPK,0,3,0,1032
61,GGHS Inzari (Female),33.8445748,72.12761195,Female,KPK,0,4,0,1754
34,GGHSS Khair Abad 1st PS (Female),33.89527547,72.22884223,Female,KPK,0,4,0,1674
35,GGHSS Khair Abad 2nd PS (Female),33.89527547,72.22887223,Female,KPK,0,3,0,1511
42,GGPS Dargai (Combined),33.9339788,72.4038067,Combined,KPK,2,2,635,519
27,GPS Nodeh (Male),33.9435189,72.2212149,Male,KPK,3,0,1273,0
90,GHS Jahangira 1st PS (Male),33.9606903,72.2032515,Male,KPK,4,0,1543,0
91,GHS Jehangira Road 2nd PS (Male),33.9606903,72.2032815,Male,KPK,4,0,1501,0
30,GGPS Katti Miana (Combined),33.9606903,72.2033115,Combined,KPK,2,2,956,824
26,GGPS Nari (Female),33.9608893,72.2113949,Female,KPK,0,2,0,845
92,GGMS Habibullah Korona Jehangira 1st PS (Female),33.9635537,72.204362,Female,KPK,0,3,0,1166
93,GGMS Habibullah Korona Jehangira 2nd PS (Female),33.9635537,72.204392,Female,KPK,0,3,0,1185
95,GGPS Dobandi (Female),33.9658865,72.2132457,Female,KPK,0,3,0,1000
109,GGMS Shaidu (Female),33.974689865064875,72.17745719916782,Female,KPK,0,3,0,1061
103,GPS No 1 Shaidu (Male),33.975766003559094,72.17659772190078,Male,KPK,4,0,913,0
108,GGPS NO 2 Shaidu (Female),33.976588,72.1877043,Female,KPK,0,4,0,1400
100,GMS Shaidu (Male),33.97884889,72.18217538,Male,KPK,4,0,1727,0
106,GGPS No 1 Shaidu(Female),33.9791945,72.1803006,Female,KPK,0,4,0,1569
107,GGHS Shaidu 2nd PS (Female),33.98054231,72.18529103,Female,KPK,0,4,0,1989
96,GHSS Shaidu 1st PS (Male),33.98054231,72.18532103,Male,KPK,4,0,1810,0
15,GHS Adam Zai 1st PS (Male),33.98139568,72.15325027,Male,KPK,4,0,1558,0
16,GHS Adamzai 2nd P.S (Male),33.98139568,72.15328027,Male,KPK,4,0,1552,0
122,Govt Girls Community Model School Rifaqat Abad (Female),33.9845933,72.2849694,Female,KPK,0,4,0,1332
14,GPS No 1 Mian Essa (Female),33.99529833,72.19026191,Female,KPK,0,3,0,1167
121,GPS Iraq Abad Akora Khattak(Male),34.0039783,71.9873454,Male,KPK,4,0,1814,0
76,GGPS Gaju Khel (Female),34.0103319,71.9766251,Female,KPK,0,3,0,1217
88,GMS Piran (Combined),34.0108039,71.9738931,Combined,KPK,2,2,918,682
87,GPS Namal Bala (Combined),34.010853,71.9739394,Combined,KPK,2,2,762,630
111,GCMHS Akora Khattak 1st PS (Male),34.0152425,72.1648101,Male,KPK,4,0,1545,0
115,GCMHS Akora Khattak 2nd PS (Male),34.0152425,72.1648401,Male,KPK,4,0,1457,0
116,GGHSS Akora 1st PS (Female),34.0152425,72.1648701,Female,KPK,0,3,0,1164
117,GGHSS Akora 2nd PS (Female),34.0152425,72.1649001,Female,KPK,0,3,0,1262
119,GGPS Akora Khattak (Female),34.0152425,72.1649301,Female,KPK,0,3,0,1188
110,GHS Baghbanpura Akora Khattak 1st PS (Male),34.0152425,72.1649601,Male,KPK,3,0,1204,0
114,GHS Baghbanpora Akora Khattak 2nd PS (Male),34.0152425,72.1649901,Male,KPK,4,0,1596,0
120,GGMS Baghban Pora (Female),34.0152425,72.1650201,Female,KPK,0,4,0,1549
1,Government Middle School Mishak P.S (Male),34.0152425,72.1650501,Male,KPK,4,0,1578,0
3,GHS Mughulki P.S (Male),34.0152425,72.1650801,Male,KPK,4,0,1607,0
4,GHS Mughalki 2nd P.S (Male),34.0152425,72.1651101,Male,KPK,4,0,1609,0
5,JICA Mughalki (Female),34.01956,72.1676,Female,KPK,0,3,0,1227
86,GPS Namal Payan (Combined),34.0262714,71.998171,Combined,KPK,2,2,820,621
