StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
90,GHSS/GPS No.2/3 Urmar Payan (Male) (P) PS-I,33.95556,71.73181,Male,KPK,4,0,2391,0
91,GHSS/GPS No.2/3 Urmar Payan (Male) PS-2 (P),33.95556,71.73184,Male,KPK,4,0,1814,0
94,GHSS/GPS No.2/3 Urmar Payan (Male) PS-3,33.95556,71.73187,Male,KPK,4,0,1283,0
95,GHSS/GPS No.2/3 Urmar Payan (Male) PS-4,33.95556,71.7319,Male,KPK,4,0,1364,0
98,GGPS No.2 Urmar Payan (Female) PS-I,33.95694,71.72631,Female,KPK,0,3,0,1242
99,GGPS No.2 Urmar Payan (Female) PS-II,33.95694,71.72634,Female,KPK,0,4,0,1590
96,GGPS Urmar Payan No.1 (Female)  PS-I,33.96216,71.72849,Female,KPK,0,4,0,1897
97,GGPS Urmar Payan No.1 (Female)  PS-II,33.96216,71.72852,Female,KPK,0,3,0,1448
100,GPS No.4 Urmar Payan (Female),33.96251,71.72559,Female,KPK,0,3,0,1365
92,GGHSS Urmar Payan (Male)  PS-I,33.96525,71.72262,Male,KPK,2,0,1072,0
93,GGHSS Urmar Payan (Male)       PS-II,33.96525,71.72265,Male,KPK,4,0,1646,0
80,GHS Zahir Abad Mira Kachori (Male) PS-I  (P),33.97184,71.6804,Male,KPK,4,0,1349,0
81,GHS Zahir Abad Mira Kachori (Male) PS-II  (P),33.97184,71.68043,Male,KPK,4,0,1614,0
86,GGPS Arbab Banglow (Female),33.9749,71.67355,Female,KPK,0,4,0,1697
84,GPS Mira Kachori (Male) PS-I,33.97502,71.67473,Male,KPK,3,0,943,0
85,GPS Mira Kachori (Male) PS-II,33.97502,71.67476,Male,KPK,4,0,1500,0
89,GG Community MS Ghari Akhter Biland (Female),33.97891,71.69366,Female,KPK,0,4,0,1590
82,GGPS Miralam (Female) PS-1,33.98055,71.6847,Female,KPK,0,2,0,1004
83,GGPS Miralam (Female) PS-2,33.98055,71.68473,Female,KPK,0,3,0,1159
61,GMS/GPS Phandu Payan (Male) PS-I (P),33.98508,71.63344,Male,KPK,4,0,1526,0
62,GMS/GPS Phandu Payan (Male) PS-II (P),33.98508,71.63347,Male,KPK,4,0,1611,0
63,GMS/GPS Phandu Payan (Male) PS-III (P),33.98508,71.6335,Male,KPK,4,0,1407,0
87,GPS Nasir Garhi (Male) PS-1,33.98672,71.69399,Male,KPK,3,0,958,0
88,GPS Nasir Garhi (Male) PS-2,33.98672,71.69402,Male,KPK,3,0,1235,0
64,BHU Phandu (Female) PS-1,33.99133,71.63401,Female,KPK,0,4,0,1657
65,BHU Phandu (Female) PS-2,33.99133,71.63404,Female,KPK,0,3,0,1406
72,GPS Chuha Gujar (Male) PS-1,33.99549,71.62894,Male,KPK,4,0,1368,0
73,GPS Chuha Gujar (Male) PS-2,33.99549,71.62897,Male,KPK,4,0,1148,0
79,GGPS  Chuha Gujar NO.1 (Female),34.00143,71.63171,Female,KPK,0,4,0,1779
71,GPS No.2 Chamkani  (Male),34.00565,71.64667,Male,KPK,4,0,1525,0
66,GHSS Chamkani (Male) PS-1,34.00575,71.64722,Male,KPK,4,0,1599,0
67,GHSS Chamkani (Male) PS-2,34.00575,71.64725,Male,KPK,4,0,1685,0
68,GHSS Chamkani (Male) PS-3,34.00575,71.64728,Male,KPK,4,0,1548,0
69,GHSS Chamkani (Male) PS-4,34.00575,71.64731,Male,KPK,4,0,1406,0
70,GHSS Chamkani (Male) PS-5,34.00575,71.64734,Male,KPK,3,0,1012,0
78,GGPS No.2 Chamkani (Female),34.00575,71.64737,Female,KPK,0,3,0,1300
