StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
79,GPS  Garhi Chandan Bala (Combined),33.8271,71.70399,Combined,KPK,1,1,430,360
67,GHS Maryamzai (Male) PS-I (P),33.82853,71.59293,Male,KPK,4,0,1507,0
68,GHS Maryamzai (Male) PS-II (P),33.82853,71.59296,Male,KPK,4,0,1769,0
69,GHS Maryamzai (Male) PS-III (P),33.82853,71.59299,Male,KPK,4,0,1853,0
70,GGPS No.3 Bahar Ghari (Female),33.82925,71.58864,Female,KPK,0,4,0,1627
71,GPS No.3 Maryam Zai  (Female),33.83317,71.58995,Female,KPK,0,4,0,2214
78,GGPS  Garhi Chandan Miana (Female),33.8481,71.70143,Female,KPK,0,2,0,729
27,GPS Garhi Faizullah No. 2 (Female),33.86687,71.72042,Female,KPK,0,4,0,1512
75,GHS Garhi Chandan Payan (Male) PS-1,33.86893,71.68885,Male,KPK,3,0,984,0
76,GHS Garhi Chandan Payan (Male) PS-2,33.86893,71.68888,Male,KPK,4,0,1258,0
77,GGPS Garhi Chandan Payan (Female),33.86985,71.68955,Female,KPK,0,3,0,1148
45,GPS Ghari Muhammad Hassan Telaband (Female),33.8757,71.634,Female,KPK,0,3,0,1229
40,GHS Tela Band Inzary (Male) PS-I,33.88289,71.64439,Male,KPK,4,0,1622,0
41,GHS  Tela Band Inzary (Male) PS-II,33.88289,71.64442,Male,KPK,4,0,1372,0
44,GGPS Yousaf Abad- Telaband- Peshawar (Female),33.88392,71.66046,Female,KPK,0,3,0,1100
19,GPS Ghari Niaz Badshah Dr. Qilla (Combined),33.89682,71.67472,Combined,KPK,2,1,667,434
23,GPS No.1 Garhi Faizullah (Male),33.89984,71.69827,Male,KPK,4,0,1246,0
61,GG Community MS Shah Muhammad Qilla Telaband Road (Male),33.90152,71.57694,Male,KPK,4,0,1965,0
51,GPS Libas Khan Korona Lalma Badaber (Male),33.90611,71.58617,Male,KPK,3,0,1145,0
18,GPS Garhi Fazli Rahim (Female),33.91271,71.64604,Female,KPK,0,2,0,591
57,GPS No.4 Badshah Khel Badhber Hurizai (Male) (P),33.91554,71.56239,Male,KPK,3,0,1183,0
56,GPS No.3 Badhber Hurizai (Male) (P),33.91809,71.55601,Male,KPK,3,0,1227,0
47,GGPS Badhber Maryam Zai (Old GHS Building) Kohat Road Opp. GHS (Male) PS-1,33.91875,71.55862,Male,KPK,4,0,1535,0
48,GGPS Badhber Maryam Zai (Old GHS Building) Kohat Road Opp. GHS (Male) PS-2,33.91875,71.55865,Male,KPK,4,0,1498,0
73,GPS Garhi Baghbanan (Male) PS-1,33.9194,71.68626,Male,KPK,4,0,1875,0
74,GPS Garhi Baghbanan (Male) PS-2,33.9194,71.68629,Male,KPK,3,0,938,0
64,GGHS Khwada Khel Badaber Hurizai (Female) PS-1,33.91959,71.56085,Female,KPK,0,3,0,1296
65,GGHS Khwada Khel Badaber Hurizai (Female) PS-2,33.91959,71.56088,Female,KPK,0,3,0,1221
59,GPS No.2 Badhber (P)(Male) PS-1,33.92111,71.56843,Male,KPK,3,0,1037,0
60,GPS No.2 Badhber (P)(Male) PS-2,33.92111,71.56846,Male,KPK,4,0,1286,0
52,GGHSS Badhber Kohat Road (Female) PS-I (P),33.92475,71.55606,Female,KPK,0,4,0,1705
53,GGHSS Badhber Kohat Road (Female) PS-II (P),33.92475,71.55609,Female,KPK,0,4,0,1383
54,GGHSS Badhber Kohat Road (Female) PS-III (P),33.92475,71.55612,Female,KPK,0,4,0,1638
55,GGPS Razim Khan Koruna Badaber Dehri (Female),33.92559,71.57334,Female,KPK,0,2,0,714
46,GMPS Badhber No.1 Kohat Road (Male),33.92762,71.55679,Male,KPK,4,0,1325,0
49,GHS Badhber Kohat Road (Male) (P) PS-1,33.92846,71.55671,Male,KPK,4,0,1548,0
50,GHS Badhber Kohat Road (Male) (P) PS-2,33.92846,71.55674,Male,KPK,3,0,1016,0
72,GGPS Garhi Baghbanan Saifoor Koruna (Female),33.94164,71.6755,Female,KPK,0,4,0,2069
16,GGPS Garhi Wajid (Female),33.94955,71.64201,Female,KPK,0,4,0,1457
21,GPS Urmar Bala No.2 (Male) PS-1,33.95104,71.67719,Male,KPK,3,0,1106,0
22,GPS Urmar Bala No.2 (Male) PS-2,33.95104,71.67722,Male,KPK,4,0,1487,0
39,GPS Surizai Bala (Male),33.9523,71.5912,Male,KPK,4,0,1479,0
37,GHS Surizai Bala (Male) PS-I (P),33.95289,71.59053,Male,KPK,4,0,1365,0
38,GHS Surizai Bala (Male) PS-II (P),33.95289,71.59056,Male,KPK,4,0,1578,0
25,GPS No.1 Urmar Bala (Female) PS-I,33.9547,71.68328,Female,KPK,0,3,0,1420
