StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
4,GPS Sheikhan (Female) (P),33.90969,71.47003,Female,KPK,0,4,0,1901
6,GPS Mushtarzai No.1 (Male) PS-1,33.91,71.48697,Male,KPK,4,0,1881,0
7,GPS Mushtarzai No.1 (Male) PS-2,33.91,71.487,Male,KPK,2,0,682,0
1,GHSS Sheikhan (Male) PS-I (P),33.91005,71.46816,Male,KPK,4,0,1244,0
2,GHSS Sheikhan (Male) PS-II (P),33.91005,71.46819,Male,KPK,4,0,1447,0
3,GHSS Sheikhan (Male) PS-III (P),33.91005,71.46822,Male,KPK,4,0,2254,0
5,GGCMS Bara Sheikhan (Female),33.91087,71.47359,Female,KPK,0,4,0,1612
8,GMS/GPS No.2 Mushtarzai (Female),33.91249,71.48646,Female,KPK,0,4,0,1981
64,GPS Sangu Landi Bala  (Male) PS-1,33.93433,71.47541,Male,KPK,4,0,1286,0
65,GPS Sangu Landi Bala  (Male) PS-2,33.93433,71.47544,Male,KPK,4,0,1312,0
66,G Shaheed Shayan Nasir MS Sangu Landi Bala (Female),33.93467,71.47545,Female,KPK,0,4,0,1752
49,G. Shaheed Maheer Rizwan HS- Pishtakhara Payan  (Male) PS-1,33.93545,71.46853,Male,KPK,4,0,1437,0
50,G. Shaheed Maheer Rizwan HS- Pishtakhara Payan  (Male) PS-2,33.93545,71.46856,Male,KPK,4,0,1711,0
51,G. Shaheed Maheer Rizwan HS- Pishtakhara Payan  (Male) PS-3,33.93545,71.46859,Male,KPK,3,0,1026,0
63,GGPS No.1 Sangu (Female),33.93545,71.46862,Female,KPK,0,3,0,1376
60,GPS No.1 Sangu (Male)  PS-1,33.93628,71.47075,Male,KPK,4,0,1808,0
61,GPS No.1 Sangu (Male)   PS-2,33.93628,71.47078,Male,KPK,4,0,2057,0
62,GPS No.2 Sangu (Female),33.93789,71.46928,Female,KPK,0,3,0,1318
40,GPS- No.1 Sarband  (Male),33.93834,71.48388,Male,KPK,4,0,1838,0
41,GGPS No.1 Sarband  (Female),33.93834,71.48391,Female,KPK,0,3,0,1344
37,G. Shaheed Farhan Jalal HS- Sarband  (Male)   PS-1,33.9394,71.4851,Male,KPK,4,0,1772,0
38,G. Shaheed Farhan Jalal HS- Sarband  (Male)   PS-2,33.9394,71.48513,Male,KPK,4,0,1661,0
39,G. Shaheed Farhan Jalal HS Sarband (Male)  PS-3,33.9394,71.48516,Male,KPK,4,0,1418,0
42,GGPS No.2/3 Sarbad (Female) PS-1,33.94024,71.4819,Female,KPK,0,3,0,1531
43,GGPS No.2/3 Sarband (Female) PS-2,33.94024,71.48193,Female,KPK,0,4,0,1893
47,GGPS Pishtakhara Bala  (Female) PS-1,33.95045,71.49413,Female,KPK,0,4,0,1607
48,GGPS Pishtakhara Bala  (Female) PS-2,33.95045,71.49416,Female,KPK,0,4,0,1609
44,GHS Pishtakhara Bala (Male)  PS-1,33.95175,71.49275,Male,KPK,4,0,1578,0
