StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
46,G. Shaheed Hamza Ali Kakar MS Swati Tanki/GPS (Male) PS-1,33.9767,71.53132,Male,KPK,4,0,1274,0
47,G. Shaheed Hamza Ali Kakar MS Swati Tanki/GPS (Male) PS-2,33.9767,71.53135,Male,KPK,4,0,1609,0
48,G. Shaheed Hamza Ali Kakar MS Swati Tanki/GPS (Male) PS-3,33.9767,71.53138,Male,KPK,4,0,1655,0
52,GGPS- Umeed Abad No.2  (Female) PS,33.97681,71.53043,Female,KPK,0,4,0,1715
51,GGMS- Swati Gate- Peshawar (Female) PS,33.97684,71.53116,Female,KPK,0,3,0,1349
49,GGPS Swati Tanki (Female) PS-1,33.97738,71.53123,Female,KPK,0,3,0,1574
50,GGPS Swati Tanki (Female) PS-2,33.97738,71.53126,Female,KPK,0,3,0,1203
45,GPS- Manakrao (Male) PS,33.97809,71.54482,Male,KPK,4,0,1916,0
70,GGHS Bara Line (Female) PS-1,33.97849,71.51987,Female,KPK,0,3,0,1421
71,GGHS Bara Line (Female) PS-2,33.97849,71.5199,Female,KPK,0,3,0,1265
72,GGPS Bara Line No.2 Inside GGHS  (Female) PS,33.97849,71.51993,Female,KPK,0,2,0,817
68,GMS Boys Rasakey Nodeh Payan (Male) PS,33.97867,71.51976,Male,KPK,4,0,1588,0
69,GPS No.2 Nodeh Payan Inside GMS (Male) PS-1,33.97867,71.51979,Male,KPK,4,0,1297,0
73,GPS No.2 Nodeh Payan Inside GMS (Male) PS-2,33.97867,71.51982,Male,KPK,4,0,1564,0
42,G. Shaheed Zain Iqbal H.S  Manakrao (Male) PS-1,33.97894,71.54604,Male,KPK,4,0,1461,0
43,G. Shaheed Zain Iqbal H.S  Manakrao (Male) PS-2,33.97894,71.54607,Male,KPK,3,0,990,0
44,G. Shaheed Zain Iqbal H.S  Manakrao (Male) PS-3,33.97894,71.5461,Male,KPK,4,0,1946,0
54,GGPS Charkhana (Female) PS,33.98067,71.5405,Female,KPK,0,3,0,1234
53,GMS Charkha Khel (Male) PS,33.98095,71.54058,Male,KPK,4,0,1616,0
41,GGPS- Landi Arbab No.1 (Female) PS,33.98148,71.54554,Female,KPK,0,3,0,992
36,G. Shaheed Abdullah Ghani HS Landi Arbab (Male ) PS-1,33.98363,71.54808,Male,KPK,4,0,1313,0
37,G. Shaheed Abdullah Ghani HS Landi Arbab (Male ) PS-2,33.98363,71.54811,Male,KPK,4,0,1399,0
