StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
3,GPS  Hasan Garhi (Female) PS-1,34.0233,71.54495,Female,KPK,0,3,0,1210
61,PESCO High School- WAPDA House. (Female) PS-1,34.02344,71.56121,Female,KPK,0,3,0,1446
62,PESCO High School- WAPDA House. (Female) PS-2,34.02344,71.56124,Female,KPK,0,3,0,1294
14,GPS No.1 Afghan Colony (Female) PS-1,34.0239,71.58705,Female,KPK,0,3,0,1243
28,GPS  Afghan Colony (Female) PS-2,34.0239,71.58708,Female,KPK,0,4,0,1646
29,GPS  Afghan Colony (Female) PS-3,34.0239,71.58711,Female,KPK,0,4,0,1585
1,Government Dispensary F.G.Colony Hasan Garhi (Male) PS-1,34.02435,71.55375,Male,KPK,4,0,2051,0
2,Government Dispensary F.G.Colony Hasan Garhi (Male) PS-2,34.02435,71.55378,Male,KPK,4,0,1771,0
5,Government Dispensary F.G Colony Hasan Garhi (Male) PS-3,34.02435,71.55381,Male,KPK,4,0,2084,0
6,G Shaheed Khuzaifa Aftab HS Hasan Garhi (Female),34.0244,71.54661,Female,KPK,0,4,0,2047
4,GPS  Hasan Garhi (Female) PS-2,34.02462,71.59637,Female,KPK,0,3,0,1191
40,GPS Dalazak Colony Corporatoin Colony (Male)  PS-1,34.02462,71.5964,Male,KPK,4,0,1669,0
41,GPS Dalazak Colony Corporatoin Colony (Male)  PS-2,34.02462,71.59643,Male,KPK,4,0,1527,0
42,Industrial Home (Corporation Colony) (Female) PS-1,34.02473,71.59673,Female,KPK,0,3,0,1051
43,Industrial Home (Corporation Colony) (Female) PS-2,34.02473,71.59676,Female,KPK,0,3,0,1300
11,GGPS  No. 1 Din Bahar (Female) PS-II,34.02476,71.5688,Female,KPK,0,3,0,1464
9,GGPS  No. 1 Din Bahar (Female) PS-I,34.02476,71.56883,Female,KPK,0,4,0,1719
51,GHS/GPS No.1 Din Bahar (Male) PS-2,34.02557,71.57295,Male,KPK,4,0,1331,0
57,GHS/GPS No.1 Din Bahar (Male) PS-1,34.02557,71.57298,Male,KPK,3,0,1126,0
37,GPS Faisal Colony (Male) PS-1,34.02766,71.59796,Male,KPK,3,0,1151,0
38,G.PS Faisal Colony (Male) PS-2,34.02766,71.59799,Male,KPK,4,0,1201,0
39,GGPS Faisal Colony (Female) PS-1,34.02766,71.59802,Female,KPK,0,4,0,2358
12,GGPS  Afghan Colony  (Male) PS-1,34.02845,71.58816,Male,KPK,4,0,1803,0
13,GGPS  Afghan Colony  (Male) PS-2,34.02845,71.58819,Male,KPK,4,0,2532,0
18,GGPS Afghan Colony  (Male) PS-3,34.02845,71.58822,Male,KPK,4,0,2133,0
47,GPS Ghari Rajkol Dalazak Road (Male),34.03122,71.60085,Male,KPK,4,0,1481,0
30,GGHSS Khyber Colony Yousaf Abad (Male) PS-1,34.03181,71.58816,Male,KPK,4,0,1376,0
31,GGHSS- Khyber Colony- Yousaf Abad (Male) PS-3,34.03181,71.58819,Male,KPK,4,0,1341,0
32,GGHSS Khyber Colony Yousaf Abad (Male) PS-2,34.03181,71.58822,Male,KPK,4,0,1426,0
33,GGHSS Khyber Colony Yousaf Abad (Male) PS-4,34.03181,71.58825,Male,KPK,3,0,1197,0
34,GGPS Khyber Colony- Yousaf Abad (Female) PS-1,34.03181,71.58828,Female,KPK,0,3,0,1201
35,GGPS Khyber Colony- Yousaf Abad (Female) PS-2,34.03181,71.58831,Female,KPK,0,4,0,1533
59,GHS Mal Mandi Bashir Abad (Male) PS-I,34.03215,71.55527,Male,KPK,4,0,1583,0
60,GHS Mal Mandi Bashir Abad (Male) PS-II,34.03215,71.5553,Male,KPK,4,0,1821,0
21,O/O SDO Wapda Gul Bela Sub Division Shalimar Colony (Jalarian) PS-1 (Female),34.03389,71.58282,Female,KPK,0,3,0,1374
22,O/O SDO Wapda Gul Bela Sub Division Shalimar Colony (Jalarian) PS-2 (Female),34.03389,71.58285,Female,KPK,0,3,0,1001
16,GPS No.2- Ghari Baloch- Peshawar (Male),34.03621,71.58855,Male,KPK,4,0,1713,0
54,GPS  Rethi Gate Sardar Colony (Female),34.03725,71.58377,Female,KPK,0,4,0,2042
26,GGPS- No.2 Sardar Colony- Peshawar (Male)  PS-1,34.03864,71.5801,Male,KPK,4,0,1222,0
27,GGPS- No.2 Sardar Colony- Peshawar (Male)  PS-2,34.03864,71.58013,Male,KPK,4,0,1512,0
15,GPS Latif Abad (Female),34.04452,71.5928,Female,KPK,0,4,0,1882
17,Gvot. Primary School  Qazi Kali  (Female),34.04699,71.5863,Female,KPK,0,4,0,2155
