StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
78,GMS Kagwala (Female),33.94099,71.54311,Female,KPK,0,4,0,2084
74,GPS No.1 Utmanzai (Kagawala) (Male) PS-I,33.94133,71.54569,Male,KPK,4,0,1603,0
75,GPS No.1 Utmanzai (Kagawala) (Male) PS-II,33.94133,71.54572,Male,KPK,4,0,1316,0
76,GPS Alizai  (Male) PS-I,33.94521,71.55209,Male,KPK,4,0,1686,0
77,GPS Ali Zai (Kagawala) (Male) PS-II,33.94521,71.55212,Male,KPK,4,0,1678,0
79,GHS  Kagwala PS-I (Female),33.94596,71.55379,Female,KPK,0,3,0,1277
80,GHS  Kagwala PS-II (Female),33.94596,71.55382,Female,KPK,0,3,0,1103
68,BHU Bazid Khel (Female),33.94946,71.5387,Female,KPK,0,3,0,1347
62,GPS No.1 Bazid Khel (Male) (P),33.95018,71.53509,Male,KPK,4,0,1788,0
65,GPS Bazid Khel No.2 (P)  (Male),33.95084,71.53824,Male,KPK,3,0,896,0
63,GMS Bazid Khel (Male) (P) PS-1,33.95093,71.5355,Male,KPK,4,0,1255,0
64,GMS Bazid Khel (Male) (P) PS-2,33.95093,71.53553,Male,KPK,3,0,1037,0
66,GGPS Bazid Khel No.2 (Female) (P) PS-1,33.95304,71.53951,Female,KPK,0,3,0,1175
67,GGPS Bazid Khel No.2 (Female) (P) PS-2,33.95304,71.53954,Female,KPK,0,3,0,1008
73,GGPS No.2 Ahmad Khel  (Female) (P),33.95472,71.54723,Female,KPK,0,4,0,1551
72,GPS No.3 Ahmed Khel (Female) (P),33.9556,71.5414,Female,KPK,0,3,0,1290
69,GHS Ahmed Khel (Male) (P) PS-1,33.95857,71.54269,Male,KPK,4,0,1784,0
71,GHS Ahmed Khel (Male) (P) PS-2,33.95857,71.54272,Male,KPK,4,0,1523,0
70,GPS Garhi Shahidan (Male) (P),33.95876,71.55648,Male,KPK,4,0,1316,0
3,GGPS No.1 Marozai- Dehbahader (Female) PS-I (P),33.9644,71.5513,Female,KPK,0,3,0,982
4,GGPS No.1 Marozai- Dehbahader (Female) PS-II,33.9644,71.55133,Female,KPK,0,2,0,966
1,GGMS/GGPS No.1 Dehbahader  (Male) PS-1,33.96548,71.54836,Male,KPK,4,0,1604,0
2,GGMS/GGPS No.1 Dehbahader  (Male) PS-2,33.96548,71.54839,Male,KPK,4,0,1374,0
57,GGPS No.3 Achar (Female),33.96548,71.54842,Female,KPK,0,3,0,1053
55,GGPS No.1 Achar (Female),33.96949,71.55254,Female,KPK,0,4,0,1551
5,GHSS Musazai (Male) PS-I,33.97305,71.61902,Male,KPK,4,0,2381,0
6,GHSS Musazai (Male) PS-II,33.97305,71.61905,Male,KPK,4,0,1329,0
7,GHSS Musazai (Male) PS-III,33.97305,71.61908,Male,KPK,4,0,1355,0
33,GGPS Gulshan Rehman Colony (Male),33.97494,71.56123,Male,KPK,3,0,1094,0
53,GGMS Gulshan Rehman Colony (Male)  PS-1,33.97494,71.56126,Male,KPK,4,0,1204,0
54,GGMS Gulshan Rehman Colony (Male)  PS-2,33.97494,71.56129,Male,KPK,4,0,1214,0
32,G Shaheed Saad ur Rahman HS Gulshan Rehman Colony (Male) PS-1,33.97575,71.56177,Male,KPK,4,0,1220,0
34,G Shaheed Saad ur Rahman HS Gulshan Rehman Colony (Male) PS-2,33.97575,71.5618,Male,KPK,3,0,1163,0
51,GPS Gulshan Rehman Colony (Male),33.97575,71.56183,Male,KPK,4,0,1849,0
56,GPS for Boys Gulshan Rehman Colony (Male) PS-II,33.97575,71.56186,Male,KPK,4,0,1704,0
8,GGPS No.2 Musazai (Female) PS-1,33.97577,71.60883,Female,KPK,0,4,0,1634
