StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
389,Govt: Girls High School Landi Jalander Miraj ud Din (Female),32.86448,70.9185,Female,KPK,0,4,0,1298
385,GGPS Firdos Kamal Chitta Khel (Comb),32.86927,70.8898,Combined,KPK,2,2,1154,774
387,Govt: High School Kotka Ayaz Bander Killa (Comb),32.86927,70.88983,Combined,KPK,2,2,1179,849
388,Govt: Degree College Landi Jalander  (Male),32.881,70.91409,Male,KPK,4,0,1771,0
219,Govt: Working Folks Grammer School Ghoriwala (Comb) PS-I,32.89183,70.7118,Combined,KPK,2,2,1215,833
221,Govt: Working Folks Grammer School Ghoriwala (Comb) PS-II,32.89183,70.71183,Combined,KPK,2,2,649,510
432,GHS Bati Kala Khunjak (Comb),32.90035,70.84703,Combined,KPK,2,2,1043,901
205,Govt: High School Barati Michin Khel (Male),32.90053,70.7551,Male,KPK,4,0,1164,0
206,GPS Bharati Michin Khel (Female),32.90059,70.75533,Female,KPK,0,4,0,1111
215,Govt: Girls High School Ghoriwala (Female) PS-I,32.90351,70.72632,Female,KPK,0,4,0,1997
218,Govt: Girls High School Ghoriwala (Female) PS-II,32.90351,70.72635,Female,KPK,0,4,0,1186
220,Govt: Primary School No.1 Ghuriwala (Comb),32.90459,70.7261,Combined,KPK,2,2,947,772
213,Govt: High School Ghoriwala (Male) PS-I,32.90623,70.726,Male,KPK,3,0,857,0
214,Govt: High School Ghoriwala (Male) PS-III,32.90623,70.72603,Male,KPK,4,0,1461,0
216,Govt: High School Ghoriwala (Male) PS-II,32.90623,70.72606,Male,KPK,2,0,677,0
217,Govt: High School Ghoriwala (Male) PS-II,32.90623,70.72609,Male,KPK,3,0,755,0
222,Govt: Primary School Kot Mehter (Comb),32.90659,70.7161,Combined,KPK,2,2,733,601
384,Govt: Girls Primary School Kotka Inayatullah (Combined),32.9187,70.86886,Combined,KPK,1,1,397,300
394,Govt: High School Azim Kila (Comb),32.92198,70.91948,Combined,KPK,2,2,806,643
201,Govt: Girls High School Shamshi Khel (Male) PS-I,32.92239,70.74854,Male,KPK,4,0,1335,0
203,Govt: Girls High School Shamshi Khel (Male) PS-II,32.92239,70.74857,Male,KPK,3,0,806,0
202,GHS Shamshi Khel (Female) PS-I,32.92453,70.7468,Female,KPK,0,4,0,1166
204,GHS Shamshi Khel (Female) PS-II,32.92453,70.74683,Female,KPK,0,3,0,755
395,GGPS Kotka Rajab Ali (Combined),32.93282,70.93541,Combined,KPK,2,2,1035,833
199,GMS Jalal Sada Khel (Combined),32.93808,70.7797,Combined,KPK,2,2,997,662
386,GGPS Haq Nawaz Eidal Khel (Combined),32.93876,70.8843,Combined,KPK,2,1,761,504
393,GPS Wazir Killa (Female),32.93962,70.90269,Female,KPK,0,4,0,1281
182,Govt: High School Shahbaz Azmat Khel (Male) PS-I,32.94028,70.66361,Male,KPK,4,0,1509,0
184,Govt: High School Shahbaz Azmat Khel (Male) PS-II,32.94028,70.66364,Male,KPK,4,0,1511,0
187,Govt: Girls High School Shahbaz Azmat Khel (Female) PS-II,32.94028,70.66367,Female,KPK,0,3,0,851
186,Govt: Girls High School Shahbaz Azmat Khel (Male) PS-I,32.94028,70.6637,Male,KPK,4,0,1003,0
392,GMS Ayub Khan Killa (Male),32.94199,70.89591,Male,KPK,4,0,1366,0
200,GMS Adamai Rasool Khan (Comb),32.94216,70.7336,Combined,KPK,2,2,546,461
399,GGHS Abas Khan Sirki Khel (Combined),32.94681,70.8699,Combined,KPK,2,2,1198,1011
183,G.C.M.S (ADJ) Govt: Primary School Shahbaz Azmat Khel (Female) PS-I,32.95139,70.67389,Female,KPK,0,4,0,1277
185,G.C.M.S (ADJ) Govt: Primary School Shahbaz Azmat Khel (Female) PS-II,32.95139,70.67392,Female,KPK,0,4,0,1158
194,Govt: Middle School No.2 Jhandu Khel (Malk Daraz) (Male),32.95165816504195,70.7149853633344,Male,KPK,3,0,942,0
195,Govt: Middle School No.2 Jhandu Khel (Malk Daraz) (Male),32.95165816504195,70.7150153633344,Male,KPK,4,0,1426,0
196,GHS Jandu Khel (Female),32.9534,70.7147,Female,KPK,0,4,0,1894
198,Govt: Girls High School Adami Sultan Shah (Comb),32.95834,70.73784,Combined,KPK,2,2,843,646
402,Govt: High School Kotka Awal Khan Qamer Killa (Female),32.96252,70.91527,Female,KPK,0,4,0,1490
404,GHS Qamar Killa (F),32.96357,70.91026,Female,KPK,0,4,0,1025
375,Govt: High School Ghazi Marjan (M) PS-I,32.96558,70.72795,Male,KPK,4,0,1628,0
376,Govt: High School Ghazi Marjan (F) PS-II,32.96558,70.72798,Female,KPK,0,4,0,1441
189,Government Primary School Mardi Khel (Combined),32.96664,70.6777,Combined,KPK,2,1,453,381
197,GPS Fazal Manan Jandu Khel (Combined),32.96677,70.70811,Combined,KPK,2,2,927,706
390,Govt: High School Kotka Muhammad Khan (Comb) PS-I,32.96714,70.88703,Combined,KPK,2,1,518,416
391,Govt: High School Kotka Muhammad Khan (Comb) PS-II,32.96714,70.88706,Combined,KPK,2,2,989,761
188,Government Primary School Ghani Michin Khel (Combined),32.96917,70.71194,Combined,KPK,2,2,601,473
180,Govt: Primary School No.2 Slima Sikander Khel (F),32.9698,70.66264,Female,KPK,0,4,0,1029
179,Govt: Higher Secondary School Slima Sikander Khel (M),32.97055,70.66778,Male,KPK,4,0,1206,0
181,Govt: Primary School Kotka Behram shah (Comb),32.972,70.68713,Combined,KPK,2,2,579,422
381,Govt: High School Sher Ajam Khan Painda Khel (M) PS-I,32.97415,70.8083,Male,KPK,4,0,1472,0
382,Govt: High School Sher Ajam Khan Painda Khel (M) PS-II,32.97415,70.80833,Male,KPK,4,0,1371,0
190,Govt Primary School Emal Khel (Comb),32.97667,70.65722,Combined,KPK,2,2,944,728
178,Govt: Primary School Gandili (Comb),32.97667,70.65725,Combined,KPK,2,2,946,739
383,Govt: Girls Middle School Farid Painda Khel (F),32.98362,70.80582,Female,KPK,0,4,0,1834
433,Govt. Girls Primary School Dogar Umerzai (Haji Muqadam) (comb),32.98758,70.72169,Combined,KPK,2,1,472,340
377,Govt: Middle School Tirkhoba Gul Jawar (Male) PS-I,32.99213,70.75972,Male,KPK,4,0,1608,0
378,Govt: Middle School Tirkhoba Gul Jawar (F) PS-II,32.99213,70.75975,Female,KPK,0,4,0,1170
431,Govt. Middle School Doger Umer Zai (Comb),32.99298,70.71561,Combined,KPK,2,2,821,601
379,Govt: High School Bodin Khel (Iqbal) (Comb),32.99524,70.78893,Combined,KPK,2,2,957,696
380,Govt: Degree College Badin Khel (Doctor Khan) (Comb),33.00552,70.77994,Combined,KPK,2,2,931,612
