StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
54,BHU Dara Pezu(F),32.31213073787078,70.73111963747478,Female,KPK,0,3,0,1308
57,Govt Girls Primary School Wanda Jugi (M),32.31334787831486,70.70702780705119,Male,KPK,3,0,529,0
56,Govt Primary School Wanda Jugi(M),32.314335829182575,70.70600597189377,Male,KPK,3,0,1119,0
52,Govt Girls Primary School DARA PEZU (M),32.31757544299377,70.7363890217011,Male,KPK,3,0,1227,0
53,Govt Primary School DARA PEZU NO.2 (M),32.31982911544877,70.7323887606046,Male,KPK,3,0,516,0
51,Govt High School Dara Pezu ©,32.321319777090324,70.73397195861655,Combined,KPK,2,1,393,357
58,Dak Bangla Dara Pezu ©,32.32236623928755,70.73551507269211,Combined,KPK,2,1,465,348
49,C&W Rest House Dara Pezu (M),32.3233474645951,70.73626959736144,Male,KPK,4,0,1211,0
50,Govt Girls Middle School Dara Pezu(F),32.32380887416254,70.73628180668754,Female,KPK,0,2,0,952
60,Govt Primary School NO.2 AGHZAR Khel (F),32.35788,70.81107,Female,KPK,0,2,0,868
59,Govt Primary School No.1 Aghzar Khel(M),32.36270044248979,70.81796099181224,Male,KPK,4,0,1187,0
30,Govt Primary School CHUHAR Khel NO.2 (M),32.38145749,70.85933149,Male,KPK,4,0,1740,0
31,Govt Primary School No.1 Chuhar Khel (F),32.382442651495595,70.8551622520506,Female,KPK,0,3,0,1474
24,Govt Primary School Alawal Khel ©,32.38312022,70.89856572,Combined,KPK,1,1,429,359
29,Govt High School Chuhar Khel ©,32.383939621768114,70.8484190647722,Combined,KPK,2,2,575,469
99,Govt Primary School No.1 Hayat Khel(F),32.3994544105163,70.77410611123611,Female,KPK,0,3,0,1174
23,Govt Primary School No.1 Abdul Khel (F),32.39987141251045,70.91291679953268,Female,KPK,0,3,0,1361
98,Govt Middle School Hayat Khel(M),32.400681626767074,70.77207537853701,Male,KPK,4,0,1342,0
22,Govt High School Abdul Khel (M),32.40198622,70.90812056,Male,KPK,4,0,1529,0
68,BHU Shahbaz Khel(M),32.402271362597894,70.7500131266448,Male,KPK,4,0,1173,0
66,Govt High School Shahbaz Khel (M)W/S,32.40234,70.741,Male,KPK,3,0,814,0
67,Govt High School Shahbaz Khel (F)E/S,32.40234078899988,70.74100929032878,Female,KPK,0,2,0,706
63,Govt Primary School SHAHBAZ Khel (F),32.40585242142801,70.74396215570124,Female,KPK,0,2,0,857
64,Govt Primary School No.1 Shahbaz Khel(M),32.40872,70.74542,Male,KPK,3,0,877,0
65,Govt Girls High School Shahbaz Khel W/side (F),32.40926536879826,70.74592383462382,Female,KPK,0,2,0,746
62,Govt Girls High School Shahbaz Khel E/side (M),32.40927109110298,70.7458113273676,Male,KPK,3,0,1020,0
69,Govt Girls Primary School Shahbaz Khel(F),32.40928,70.74519,Female,KPK,0,3,0,1005
27,Govt Primary School Samadar Titer Khel(M),32.41967335707772,70.80536525488897,Male,KPK,3,0,923,0
25,Govt High School Jhang Khel E/side (M),32.421168175844,70.88030446924324,Male,KPK,4,0,1387,0
26,Govt High School Jhang Khel W/side (F),32.421172420536145,70.88030750535792,Female,KPK,0,3,0,1210
28,Govt Middle School Samander Titer Khel (F),32.42745650713018,70.80390425372384,Female,KPK,0,2,0,773
70,Govt Girls Primary School Zer Mala Khel©,32.436957139975014,70.7755405383108,Combined,KPK,2,1,411,320
130,Govt Primary School Nawaz Mala Khel©,32.44022,70.67369,Combined,KPK,1,1,296,282
94,GHSS Masha Mansoor(M),32.4441795166116,70.79912505484143,Male,KPK,4,0,1288,0
97,Govt Girls Primary School MASHA MANSOOR NO.2(F),32.44499129,70.79839209,Female,KPK,0,2,0,715
93,Govt Primary School Umer Titer Khel©,32.44637512,70.76288288,Combined,KPK,2,2,749,572
96,GGH School Masha Mansoor(F),32.446924617209326,70.78496804586604,Female,KPK,0,3,0,1041
101,Govt Primary School BADNI Khel(F),32.44886288614745,70.85847388438691,Female,KPK,0,3,0,1113
100,Govt Middle School Badni Khel(M),32.4513450808342,70.86120495030644,Male,KPK,4,0,1142,0
126,Govt High School Tabbi Murad(M),32.45245047748709,70.73737823625929,Male,KPK,4,0,1503,0
127,Govt Girls Middle School Tabbi Murad (F),32.456807071406665,70.72286247470065,Female,KPK,0,3,0,1288
128,Govt Primary School No.2 Ghazi Khel(M),32.45717,70.6941,Male,KPK,3,0,1002,0
129,Govt Girls Primary School No.1 Ghazi Khel(F),32.458487965747146,70.69574178924441,Female,KPK,0,3,0,909
89,Govt Primary School No.1 Sheri Khel (M),32.47478620575766,70.6593025190584,Male,KPK,3,0,1033,0
91,Govt Primary School Langer Pacca (M),32.48341,70.70126,Male,KPK,3,0,1047,0
92,Govt Middle School Langer Khel Pacca(F),32.48534966717179,70.69877632133989,Female,KPK,0,3,0,909
88,Govt Primary School Pahar Khel Pacca (F),32.488991724645345,70.61683690501475,Female,KPK,0,3,0,1037
140,Govt Girls Primary School ZANGI Khel NO.2(F),32.48945,70.85275,Female,KPK,0,2,0,723
139,Govt Girls Primary School No.1 Zangi Khel (F),32.49031918539159,70.86563616268045,Female,KPK,0,3,0,1321
138,Govt Primary School ZANGI Khel NO.1(M),32.49249819010125,70.85844712700982,Male,KPK,3,0,903,0
137,Govt High School Zangi Khel (M),32.49389431371234,70.86363032414917,Male,KPK,4,0,1609,0
87,Govt High School Pahar Khel Pacca(M),32.49878829632439,70.61238465587869,Male,KPK,4,0,1243,0
123,Govt Primary School Titter Khel NO.4(F),32.49989438,70.74011997,Female,KPK,0,3,0,1123
124,Govt Primary School Titter Khel No. 1 (M),32.500685024509025,70.7283378176244,Male,KPK,4,0,1359,0
122,Govt High School Titter Khel(M),32.50076464658762,70.72831365778612,Male,KPK,4,0,1551,0
125,Govt Primary School Titter Khel NO.2(F),32.50108623256473,70.73525588109078,Female,KPK,0,3,0,1085
121,Govt Girls Primary School No.1 Titter Khel (F),32.50160427,70.7363178,Female,KPK,0,3,0,840
120,Govt Girls High School Titter Khel (M),32.50164658033472,70.73597706126885,Male,KPK,4,0,1095,0
79,Govt Primary School Karim JABU Khel ©,32.523647504902115,70.67829500672853,Combined,KPK,2,2,768,652
84,Govt Primary School KHERU Khel PACCA NO.1(M),32.524418485257506,70.60597976003586,Male,KPK,4,0,1221,0
